Text,X,1: Positive Control,X,2: Negative Control,X,3: NAM. 18S
59.89,59.89,3.598077297,60.19,1.805142283,60.34,2.162203312
60.48,60.48,3.599603176,60.35,1.799038649,60.41,2.168307066
60.55,60.55,3.59349966,60.6,1.795986891,60.57,2.157625675
60.63,60.63,3.590447903,60.72,1.794461012,60.74,2.160677433
60.73,60.73,3.596551418,60.78,1.794461012,60.84,2.157625675
60.94,60.94,3.591973782,60.96,1.795986891,61,2.156099796
61.03,61.03,3.588922024,61.06,1.791409135,61.08,2.149996281
61.2,61.2,3.590447903,61.24,1.794461012,61.26,2.154573917
61.35,61.35,3.595025539,61.4,1.794461012,61.44,2.15152216
61.55,61.55,3.595025539,61.56,1.799038649,61.59,2.153048038
61.7,61.7,3.587396145,61.75,1.795986891,61.8,2.145418406
61.87,61.87,3.591973782,61.9,1.795986891,61.95,2.148470402
62.08,62.08,3.596551418,62.1,1.795986891,62.1,2.146944284
62.16,62.16,3.585870028,62.22,1.794461012,62.27,2.15152216
62.28,62.28,3.588922024,62.3,1.795986891,62.33,2.15152216
62.49,62.49,3.59349966,62.53,1.794461012,62.54,2.143892527
62.65,62.65,3.58281827,62.69,1.791409135,62.74,2.146944284
62.88,62.88,3.591973782,62.89,1.792935014,62.89,2.148470402
62.98,62.98,3.590447903,63.05,1.792935014,63.1,2.148470402
63.23,63.23,3.591973782,63.28,1.792935014,63.32,2.146944284
63.41,63.41,3.584344149,63.45,1.794461012,63.48,2.149996281
63.62,63.62,3.590447903,63.69,1.792935014,63.73,2.146944284
63.71,63.71,3.590447903,63.75,1.795986891,63.81,2.140840769
63.96,63.96,3.590447903,63.98,1.789883256,64,2.146944284
64.07,64.07,3.588922024,64.11,1.791409135,64.15,2.148470402
64.27,64.27,3.584344149,64.33,1.791409135,64.38,2.148470402
64.51,64.51,3.585870028,64.56,1.791409135,64.59,2.145418406
64.72,64.72,3.58281827,64.76,1.791409135,64.75,2.142366648
64.84,64.84,3.588922024,64.92,1.795986891,65.01,2.143892527
65.15,65.15,3.591973782,65.17,1.794461012,65.18,2.140840769
