Text,X,1: Positive Control,X,2: Negative Control,X,3: NAM. 18S
59.89,59.89,1.533531666,60.19,1.118486285,60.34,1.275654197
60.48,60.48,1.532005787,60.35,1.113908648,60.41,1.275654197
60.55,60.55,1.528954029,60.6,1.11238265,60.57,1.274128318
60.63,60.63,1.528954029,60.72,1.110856771,60.74,1.277180076
60.73,60.73,1.532005787,60.78,1.109330893,60.84,1.274128318
60.94,60.94,1.532005787,60.96,1.109330893,61,1.27107656
61.03,61.03,1.532005787,61.06,1.113908648,61.08,1.266498804
61.2,61.2,1.528954029,61.24,1.115434527,61.26,1.266498804
61.35,61.35,1.532005787,61.4,1.115434527,61.44,1.264972925
61.55,61.55,1.535057545,61.56,1.11238265,61.59,1.268024683
61.7,61.7,1.535057545,61.75,1.115434527,61.8,1.27107656
61.87,61.87,1.530479908,61.9,1.115434527,61.95,1.266498804
62.08,62.08,1.530479908,62.1,1.113908648,62.1,1.27107656
62.16,62.16,1.525902152,62.22,1.109330893,62.27,1.27107656
62.28,62.28,1.525902152,62.3,1.107805014,62.33,1.269550681
62.49,62.49,1.532005787,62.53,1.110856771,62.54,1.269550681
62.65,62.65,1.52742815,62.69,1.113908648,62.74,1.268024683
62.88,62.88,1.525902152,62.89,1.109330893,62.89,1.269550681
62.98,62.98,1.528954029,63.05,1.109330893,63.1,1.27107656
63.23,63.23,1.532005787,63.28,1.106279135,63.32,1.268024683
63.41,63.41,1.530479908,63.45,1.104753137,63.48,1.269550681
63.62,63.62,1.532005787,63.69,1.107805014,63.73,1.264972925
63.71,63.71,1.533531666,63.75,1.115434527,63.81,1.263447046
63.96,63.96,1.532005787,63.98,1.109330893,64,1.264972925
64.07,64.07,1.530479908,64.11,1.110856771,64.15,1.268024683
64.27,64.27,1.530479908,64.33,1.109330893,64.38,1.266498804
64.51,64.51,1.532005787,64.56,1.11238265,64.59,1.264972925
64.72,64.72,1.532005787,64.76,1.115434527,64.75,1.260395169
64.84,64.84,1.532005787,64.92,1.115434527,65.01,1.260395169
65.15,65.15,1.532005787,65.17,1.115434527,65.18,1.260395169
65.27,65.27,1.528954029,65.32,1.115434527,65.36,1.261921167
65.47,65.47,1.52742815,65.51,1.113908648,65.54,1.264972925
65.69,65.69,1.522850394,65.74,1.109330893,65.77,1.268024683
65.86,65.86,1.525902152,65.94,1.107805014,65.99,1.268024683
66.05,66.05,1.528954029,66.08,1.109330893,66.12,1.264972925
66.24,66.24,1.522850394,66.28,1.110856771,66.31,1.264972925
66.4,66.4,1.528954029,66.44,1.104753137,66.49,1.264972925
66.6,66.6,1.528954029,66.64,1.109330893,66.68,1.263447046
66.79,66.79,1.528954029,66.82,1.110856771,66.86,1.260395169
66.97,66.97,1.528954029,67,1.115434527,67.03,1.261921167
67.12,67.12,1.52742815,67.21,1.113908648,67.27,1.261921167
67.32,67.32,1.530479908,67.3,1.109330893,67.33,1.27107656
67.52,67.52,1.52742815,67.56,1.113908648,67.6,1.266498804
67.7,67.7,1.52742815,67.75,1.116960406,67.79,1.261921167
67.92,67.92,1.522850394,67.95,1.109330893,67.98,1.268024683
68.11,68.11,1.52742815,68.16,1.109330893,68.2,1.266498804
68.28,68.28,1.530479908,68.32,1.109330893,68.39,1.263447046
68.53,68.53,1.530479908,68.63,1.115434527,68.68,1.25886929
68.7,68.7,1.530479908,68.75,1.113908648,68.81,1.25886929
68.92,68.92,1.530479908,68.96,1.116960406,69,1.266498804
69.12,69.12,1.524376273,69.18,1.113908648,69.23,1.264972925
69.36,69.36,1.524376273,69.39,1.107805014,69.43,1.268024683
69.55,69.55,1.524376273,69.59,1.107805014,69.63,1.261921167
