Text,1: Positive Control,2: Negative Control,3: NAM. 18S
1,1.02693212,1.008621335,1.042191148
2,1.029983997,1.020828605,1.045243025
3,1.022354484,1.011673093,1.048294783
4,1.022354484,1.010147214,1.042191148
5,1.029983997,1.016250849,1.03913939
6,1.025406241,1.017776728,1.045243025
7,1.022354484,1.011673093,1.042191148
8,1.019302607,1.013199091,1.043717146
9,1.028458118,1.019302607,1.03913939
10,1.025406241,1.01472497,1.037613511
11,1.023880363,1.017776728,1.040665269
12,1.020828605,1.011673093,1.042191148
13,1.028458118,1.017776728,1.034561634
14,1.023880363,1.01472497,1.042191148
15,1.025406241,1.017776728,1.03913939
16,1.02693212,1.016250849,1.031509876
17,1.020828605,1.008621335,1.03913939
18,1.031509876,1.017776728,1.037613511
19,1.020828605,1.013199091,1.043717146
20,1.028458118,1.016250849,1.048294783
21,1.022354484,1.008621335,1.060502052
22,1.020828605,1.016250849,1.069657445
23,1.025406241,1.010147214,1.078812838
24,1.023880363,1.011673093,1.103227258
25,1.028458118,1.01472497,1.12458992
26,1.037613511,1.010147214,1.13679719
27,1.048294783,1.019302607,1.158159733
28,1.069657445,1.011673093,1.182574153
29,1.091020107,1.011673093,1.200885057
30,1.123064041,1.01472497,1.216144085
31,1.145952582,1.016250849,1.223773599
32,1.184100151,1.01472497,1.242084384
33,1.206988573,1.01472497,1.249713898
34,1.23445487,1.01472497,1.25886929
35,1.264972925,1.01472497,1.260395169
36,1.286335588,1.013199091,1.264972925
37,1.316853642,1.017776728,1.264972925
38,1.336690307,1.028458118,1.268024683
39,1.351949334,1.029983997,1.268024683
40,1.368734241,1.034561634,1.269550681
41,1.385519147,1.040665269,1.27107656
42,1.408407688,1.054398417,1.274128318
43,1.422140837,1.06355381,1.280231953
44,1.44197762,1.07576108,1.272602439
45,1.457236648,1.078812838,1.275654197
46,1.475547433,1.092545986,1.27107656
47,1.486228704,1.098649621,1.278706074
48,1.492332339,1.101701379,1.277180076
49,1.509117246,1.109330893,1.27107656
50,1.52742815,1.120012164,1.268024683
