Text,1: Positive Control,2: Negative Control,3: NAM. 18S
1,1.4190890789032,1.36568248271942,1.4251925945282
2,1.4221408367157,1.37636375427246,1.42671859264374
3,1.42061495780945,1.37483787536621,1.43434810638428
4,1.42671859264374,1.37483787536621,1.43129622936249
5,1.42671859264374,1.37636375427246,1.43129622936249
6,1.42671859264374,1.37483787536621,1.42671859264374
7,1.42061495780945,1.37026011943817,1.42824447154999
8,1.42366671562195,1.36873424053192,1.42366671562195
9,1.4190890789032,1.36415660381317,1.42366671562195
10,1.41603720188141,1.36720836162567,1.4190890789032
11,1.41451132297516,1.36415660381317,1.41145956516266
12,1.40688180923462,1.35957884788513,1.41145956516266
13,1.40688180923462,1.35957884788513,1.40993356704712
14,1.40688180923462,1.35500109195709,1.40230405330658
15,1.40230405330658,1.35500109195709,1.40535593032837
16,1.40230405330658,1.35500109195709,1.39925229549408
17,1.39925229549408,1.34889757633209,1.40688180923462
18,1.39467465877533,1.3458456993103,1.40535593032837
19,1.39620053768158,1.35042345523834,1.41298544406891
20,1.39009690284729,1.3458456993103,1.4221408367157
21,1.39162278175354,1.34431982040405,1.45113301277161
22,1.39925229549408,1.3427939414978,1.47859919071198
23,1.41145956516266,1.34431982040405,1.53505754470825
24,1.42671859264374,1.33974206447601,1.58846414089203
25,1.46181428432465,1.33669030666351,1.66018164157867
26,1.51827263832092,1.33974206447601,1.74563205242157
27,1.60067141056061,1.33516442775726,1.826504945755
28,1.72732126712799,1.33363854885101,1.91042959690094
29,1.89059281349182,1.33363854885101,1.98062109947205
30,2.06912326812744,1.33363854885101,2.04623484611511
31,2.25986123085022,1.32906079292297,2.10574507713318
32,2.44754719734192,1.32600903511047,2.14999628067017
33,2.62455177307129,1.32448315620422,2.18509197235107
34,2.79240107536316,1.32295715808868,2.21866178512573
35,2.94804310798645,1.31990540027618,2.24612808227539
36,3.09910726547241,1.31990540027618,2.26443886756897
37,3.23338675498962,1.32143127918243,2.2781720161438
38,3.36308836936951,1.31837952136993,2.29037928581238
39,3.47295331954956,1.31685364246368,2.30258631706238
40,3.58129239082336,1.31532764434814,2.30258631706238
41,3.67895007133484,1.31075000762939,2.30563831329346
42,3.77813386917114,1.30922412872314,2.31021595001221
43,3.86358428001404,1.30922412872314,2.30869007110596
44,3.94445705413818,1.30617225170136,2.31631946563721
45,4.01922655105591,1.3046463727951,2.31326770782471
46,4.09094381332397,1.3046463727951,2.31174182891846
47,4.14892816543579,1.3046463727951,2.31479358673096
48,4.20996427536011,1.3046463727951,2.31326770782471
49,4.25726699829102,1.3015946149826,2.31631946563721
50,4.29846668243408,1.3046463727951,2.32089734077454

