Text,X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
59.93,59.93,30.57908058,61.07,15.72747421,61.11,22.14084053,61.07,17.88815117,60.99,13.48134613,60.88,6.936751366,60.87,24.67994118,60.91,10.05874729,60.96,8.627450943
61.18,61.18,31.03379822,61.28,16.01281738,61.28,22.51316071,61.3,18.17502022,61.32,13.68734264,61.35,6.95353651,61.37,25.08278084,61.38,10.28000259,61.4,8.569466591
61.53,61.53,30.99717712,61.64,15.98687744,61.64,22.48111725,61.64,18.13687325,61.67,13.67666149,61.72,6.90775919,61.75,25.03395081,61.78,10.31357288,61.79,8.42145443
61.91,61.91,30.62638283,62.07,15.78087997,62.1,22.11947823,62.12,17.86526299,62.16,13.49202728,62.19,6.775005817,62.21,24.70283127,62.24,10.22659683,62.27,8.171206474
62.48,62.48,29.99313354,62.58,15.455863,62.61,21.63118935,62.64,17.48836517,62.67,13.20973492,62.7,6.610208511,62.71,24.2282753,62.73,10.09689522,62.76,7.925536156
62.97,62.97,29.2408638,63.16,15.06675816,63.2,21.08796883,63.21,17.09773445,63.22,12.93202114,63.23,6.437781334,63.26,23.69878769,63.3,9.904630661,63.34,7.66613245
63.59,63.59,28.58320045,63.74,14.73106003,63.78,20.62256813,63.82,16.65674782,63.86,12.6115818,63.9,6.248569489,63.92,23.07469368,63.95,9.68184948,63.98,7.370107651
64.25,64.25,27.80346298,64.37,14.30685902,64.4,20.04577637,64.43,16.20508194,64.46,12.29266834,64.5,6.068512917,64.52,22.43533897,64.56,9.472801208,64.59,7.107652187
64.86,64.86,27.06797981,64.97,13.93911648,65,19.50713348,65.03,15.77325058,65.06,11.95849514,65.09,5.905241489,65.12,21.88448906,65.14,9.282063484,65.16,6.875715256
65.46,65.46,26.35385704,65.6,13.53627872,65.63,18.95475769,65.66,15.34447289,65.69,11.62584877,65.72,5.738918304,65.75,21.26649857,65.78,9.039444923,65.82,6.6254673
66.05,66.05,25.66567421,66.22,13.20057964,66.26,18.47257233,66.27,14.92942715,66.3,11.32371998,66.33,5.572594643,66.36,20.70191574,66.39,8.839550972,66.42,6.401159763
66.72,66.72,24.94544983,66.88,12.82063007,66.92,17.96902466,66.97,14.47928619,66.98,10.9697113,67.01,5.398642063,67.04,20.05340576,67.1,8.599985123,67.15,6.144808292
67.38,67.38,24.24658585,67.53,12.45593929,67.56,17.44106293,67.61,14.05203342,67.68,10.64927101,67.71,5.235370636,67.75,19.44457245,67.78,8.378728867,67.8,5.937285423
68.07,68.07,23.56450844,68.18,12.09430122,68.21,16.91157341,68.25,13.67360973,68.3,10.33340931,68.32,5.093461514,68.33,18.9318676,68.34,8.186465263,68.36,5.754177094
68.55,68.55,22.96788025,68.79,11.78606892,68.83,16.49195099,68.85,13.29976368,68.84,10.09994698,68.83,4.977492809,68.83,18.50003815,68.87,8.029296875,68.92,5.56191349
69.19,69.19,22.40634727,69.33,11.50682831,69.38,16.04638672,69.45,12.97627258,69.51,9.768825531,69.57,4.824902534,69.59,17.90340996,69.6,7.81109333,69.61,5.372701645
69.92,69.92,21.6998558,70.12,11.10399055,70.15,15.51232147,70.18,12.55817509,70.23,9.449912071,70.27,4.675364494,70.31,17.25032425,70.34,7.580682278,70.37,5.152971745
70.66,70.66,21.01930237,70.83,10.76829147,70.86,15.04234409,70.9,12.16296673,70.93,9.153886795,70.98,4.53650713,71.01,16.70100021,71.06,7.367055893,71.1,4.957656384
