Text,X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
60.08,60.08,37.83779526,60.85,28.35126305,60.78,19.41252708,60.76,35.97314453,60.79,24.04974365,60.87,11.75402451,60.92,41.13222122,60.96,23.68810654,60.95,8.528266907
60.96,60.96,38.78232956,60.96,28.99214172,60.98,19.5788517,61.02,36.59571075,61.03,24.56092072,61.06,11.79980183,61.07,42.23239517,61.1,24.42816734,61.12,8.560311317
61.32,61.32,38.76859665,61.4,28.85481071,61.44,19.41405296,61.48,36.43396759,61.52,24.44190216,61.54,11.70061779,61.54,42.00045776,61.57,24.37628746,61.61,8.392461777
61.85,61.85,38.18875504,61.86,28.49469757,61.9,19.026474,61.96,35.92126465,61.98,24.10925484,61.98,11.54497623,62,41.58846283,62.03,24.06653023,62.06,8.137636185
62.28,62.28,37.51125336,62.38,27.96063232,62.42,18.74876022,62.45,35.28038406,62.49,23.6392765,62.53,11.28252125,62.54,40.58136749,62.57,23.7048912,62.6,7.920958042
62.84,62.84,36.70252609,62.97,27.31822777,63.02,18.20859146,63.07,34.45487213,63.11,23.09758186,63.13,10.94682217,63.15,39.85503769,63.2,23.14030647,63.25,7.646296024
63.47,63.47,35.7717247,63.6,26.62394142,63.62,17.76150131,63.65,33.64309311,63.69,22.5421524,63.74,10.6431675,63.77,38.68009567,63.8,22.53910065,63.82,7.382314682
64.05,64.05,34.90196228,64.23,25.9204998,64.24,17.39223289,64.25,32.88014221,64.26,22.00350952,64.31,10.38529015,64.33,37.93240356,64.39,21.97299194,64.43,7.153429508
64.63,64.63,34.11306763,64.8,25.33913231,64.82,16.98176575,64.85,32.04241943,64.89,21.45571136,64.93,10.18844891,64.96,36.90089417,65.01,21.52742767,65.04,6.923018456
65.31,65.31,33.12275696,65.47,24.58075905,65.5,16.45380402,65.54,31.20622635,65.58,20.82246208,65.62,9.852750778,65.64,35.94110107,65.69,20.83924675,65.72,6.659037113
65.95,65.95,32.30029678,66.13,23.92614555,66.14,16.03570557,66.16,30.34256554,66.19,20.29297256,66.22,9.64827919,66.27,35.07743835,66.31,20.25177383,66.36,6.433203697
66.65,66.65,31.38628197,66.8,23.25017166,66.85,15.60082436,66.88,29.43770599,66.92,19.63378334,66.97,9.318684578,66.99,34.11611938,67.02,19.56969643,67.05,6.202792168
67.29,67.29,30.50431061,67.47,22.55893707,67.51,15.18577862,67.55,28.61982155,67.6,19.04173279,67.64,8.998245239,67.67,32.98390198,67.72,18.98680115,67.75,5.96475172
67.98,67.98,29.60708046,68.19,21.8524456,68.21,14.68223095,68.25,27.76379013,68.3,18.46341705,68.34,8.784619331,68.36,32.07904053,68.39,18.44510651,68.4,5.770962238
68.61,68.61,28.85023308,68.83,21.27260208,68.85,14.3007555,68.88,27.01914978,68.91,17.94155884,68.95,8.609140396,68.98,31.27641678,69.02,17.93087578,69.05,5.589379787
69.33,69.33,27.99572754,69.52,20.65003395,69.56,13.92233181,69.58,26.20126724,69.6,17.41206932,69.64,8.29938221,69.67,30.32883263,69.72,17.27016068,69.76,5.369649887
69.98,69.98,27.20073318,70.21,20.04272461,70.23,13.52101898,70.25,25.4489975,70.26,16.91157341,70.31,8.1437397,70.33,29.38429832,70.38,16.73609543,70.43,5.192645073
70.7,70.7,26.37979698,70.9,19.44915009,70.91,13.11665535,70.92,24.73334885,70.94,16.39124107,70.98,7.884336472,71.01,28.57557106,71.07,16.1715107,71.12,5.015640736
