Text,1: Assay1: 0.2uM,2: Assay1: 0.1uM,3: Assay1: neg,4: Assay2: 0.2uM,5: Assay2: 0.1uM,6: Assay2: neg,7: Assay3: 0.2uM,8: Assay3: 0.1uM,9: Assay3: neg
1,4.621957779,4.310673714,3.36156249,4.065003395,3.767452478,4.342717648,3.387502909,3.083848238,3.764400721
2,4.701304436,4.377813339,3.413443089,4.145876408,3.862058401,4.501411438,3.442435265,3.12962532,3.871213913
3,4.734874725,4.400702,3.430228233,4.173342705,3.900206089,4.637216568,3.466849804,3.155565739,3.907835484
4,4.77912569,4.444952965,3.456168413,4.200808525,3.91241312,4.554818153,3.482108831,3.195239067,3.955138445
5,4.798962593,4.454108715,3.443961143,4.184023857,3.884947062,4.577706337,3.459220171,3.196765184,3.915465117
6,4.847791195,4.513618469,3.48363471,4.237430573,3.915465117,4.623483658,3.530937672,3.250171661,3.974975109
7,4.818799019,4.521248341,3.476005077,4.220645428,3.878843307,4.603646755,3.518730402,3.242542267,3.962768078
8,4.899672031,4.608224392,3.547722578,4.296940804,3.933775902,5.961699963,3.573662996,3.277637959,4.010070801
9,4.876783371,4.611276627,3.529411793,4.27862978,3.91241312,6.036468983,3.558403969,3.256275177,3.9856565
10,4.872205734,4.670786381,3.533989429,4.284733295,3.909361362,6.102082729,3.552300215,3.250171661,3.988708258
11,5.029373646,4.831006527,3.604181051,4.364080429,3.971923351,6.198214531,3.613336325,3.299000502,4.089417934
12,5.070572853,4.893568516,3.564507484,4.328984737,3.942931175,6.178378105,3.564507484,3.274586201,4.090943813
13,5.201800346,5.127031326,3.562981606,4.328984737,3.965819836,6.243991852,3.572137117,3.266956568,4.159609318
14,5.397116184,5.442893028,3.588922024,4.350347042,4.003967285,6.326390266,3.562981606,3.256275177,4.290836811
15,5.746547699,5.508506775,3.633173227,4.417486668,4.162661076,6.512550354,3.601129055,3.280689716,4.399176121
16,6.028839588,5.481040478,3.610284567,4.568551064,4.188601494,6.709392071,3.555352211,3.242542267,4.397650242
17,6.034943104,5.532921314,3.694209099,4.635690689,4.470893383,7.003890991,3.535515308,3.244068146,4.397650242
18,6.146334171,5.595483303,3.804074049,4.867628098,4.463263988,7.095445156,3.526360035,3.244068146,4.46173811
19,6.211947918,5.720607281,3.909361362,5.517662525,4.600594997,7.125963211,3.523308039,3.239490271,4.452582359
20,6.439307213,5.893034458,3.862058401,5.47798872,4.834058285,7.078660488,3.506523132,3.224231243,4.478522778
21,6.877241135,6.259250641,3.871213913,5.949492455,4.93934536,7.109178066,3.541619062,3.245594025,4.631113052
22,7.461661816,6.68650341,3.840695858,6.12497139,4.991226196,7.064927101,3.498893738,3.207446337,4.606698513
23,8.436713219,7.440299034,3.805600166,6.520180225,5.22011137,7.086289883,3.518730402,3.196765184,4.641794682
24,9.851224899,8.572518349,3.831540346,7.362478256,5.688563347,7.086289883,3.538567066,3.2028687,4.678416252
25,11.30693531,9.935149193,3.836118221,8.622873306,6.460669994,7.133592606,3.630121231,3.201342821,4.721141338
26,13.21583843,11.53582096,3.88647294,10.47379303,7.692072868,7.158007145,3.797970533,3.242542267,4.769970417
27,15.08812046,13.26008987,3.927672148,12.89082146,9.323262215,7.183947563,4.11841011,3.300526381,4.798962593
28,17.03974915,14.86686516,4.007019043,15.45891476,11.06279087,7.234302044,4.718089581,3.399710178,4.827954292
29,18.96391296,16.09826851,4.184023857,17.94766235,12.62836647,7.241931915,5.815213203,3.587396145,4.858472347
30,20.56000519,16.69184494,4.473945141,19.86114311,13.6430912,7.258716583,7.667658329,3.921568632,4.867628098
31,22.10421944,17.01838684,4.942397118,21.26039505,14.22293472,7.31059742,10.56534672,4.551766396,4.90119791
32,22.81834221,17.09010506,5.578698635,21.8310833,14.41977596,7.351796627,14.12527657,5.48714447,4.919508457
33,23.15556526,17.21370316,6.372167587,22.27969742,14.54489994,7.388418198,17.88357353,6.918440342,4.933241844
34,23.4439621,17.26558304,7.292286396,22.43076134,14.64713478,7.402151585,20.86518669,8.686961174,4.974441051
35,23.29289627,17.2976265,8.20477581,22.45365143,14.62882423,7.373159409,22.50247955,10.34409142,4.954604626
36,23.4653244,17.31441307,9.126420975,22.48264313,14.63950539,7.463187695,23.2471199,11.58007145,4.98664856
37,23.48363495,17.35866356,10.01754761,22.51010895,14.68986034,7.557793617,23.80254745,12.26977921,4.994277954
38,23.79796982,17.48226166,10.91477871,22.65354347,14.72037888,7.521172047,24.18249702,12.61463356,5.018692493
39,23.75982285,17.39223289,11.60296059,22.53452301,14.6532383,7.612726212,24.23590469,12.68940258,4.994277954
40,23.76440048,17.46395111,12.28198719,22.60318947,14.69901562,7.66613245,24.51819611,12.95338345,5.035477161
