X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
61.21,0.74440036,61.21,0.326467586,61.21,0.518366911,61.21,0.382931034,61.21,0.24393806,61.21,0.21005829,61.21,0.392763215,61.21,0.041496061,61.21,0.411410441
61.84566038,0.74440036,61.84566038,0.326467586,61.84566038,0.518366911,61.84566038,0.382931034,61.84566038,0.24393806,61.84566038,0.21005829,61.84566038,0.392763215,61.84566038,0.041496061,61.84566038,0.411410441
62.48132075,1.10728363,62.48132075,0.514532527,62.48132075,0.750973708,62.48132075,0.578407411,62.48132075,0.407490423,62.48132075,0.273861492,62.48132075,0.733743687,62.48132075,0.198018374,62.48132075,0.456509009
63.11698113,1.238506384,63.11698113,0.620938684,63.11698113,0.876315526,63.11698113,0.696127406,63.11698113,0.502121268,63.11698113,0.302612616,63.11698113,0.935581305,63.11698113,0.302984686,63.11698113,0.467240569
63.75264151,1.239075853,63.75264151,0.652519722,63.75264151,0.911528489,63.75264151,0.737938838,63.75264151,0.53734858,63.75264151,0.302987461,63.75264151,1.009151821,63.75264151,0.347884368,63.75264151,0.454342344
64.38830189,1.214102721,64.38830189,0.646688985,64.38830189,0.904958606,64.38830189,0.735318618,64.38830189,0.545084544,64.38830189,0.292295752,64.38830189,1.011372131,64.38830189,0.357693552,64.38830189,0.430624135
65.02396226,1.185040511,65.02396226,0.623500291,65.02396226,0.87320589,65.02396226,0.712651558,65.02396226,0.538018267,65.02396226,0.279520732,65.02396226,0.98542291,65.02396226,0.355997633,65.02396226,0.404456752
65.65962264,1.148002459,65.65962264,0.595561107,65.65962264,0.830826562,65.65962264,0.687325215,65.65962264,0.52280219,65.65962264,0.268859676,65.65962264,0.958619635,65.65962264,0.350371447,65.65962264,0.38139891
66.29528302,1.106218782,66.29528302,0.573863926,66.29528302,0.800140743,66.29528302,0.666209816,66.29528302,0.507224208,66.29528302,0.259084525,66.29528302,0.934721931,66.29528302,0.342143725,66.29528302,0.362145083
66.9309434,1.071806892,66.9309434,0.560712066,66.9309434,0.79031001,66.9309434,0.64833526,66.9309434,0.493408444,66.9309434,0.247960607,66.9309434,0.908497374,66.9309434,0.334685529,66.9309434,0.34548274
67.56660377,1.050194969,67.56660377,0.548157411,67.56660377,0.783918091,67.56660377,0.628808275,67.56660377,0.483093507,67.56660377,0.237045591,67.56660377,0.881360588,67.56660377,0.327746406,67.56660377,0.332540383
68.20226415,1.028239391,68.20226415,0.532748724,68.20226415,0.76611428,68.20226415,0.606735821,68.20226415,0.475899602,68.20226415,0.227540864,68.20226415,0.858083145,68.20226415,0.318584534,68.20226415,0.322293534
68.83792453,0.992431791,68.83792453,0.51817195,68.83792453,0.74400826,68.83792453,0.584472674,68.83792453,0.468781472,68.83792453,0.218733114,68.83792453,0.84047378,68.83792453,0.308596111,68.83792453,0.308840583
69.47358491,0.957819398,69.47358491,0.506415108,69.47358491,0.718013636,69.47358491,0.56460679,69.47358491,0.457686096,69.47358491,0.211147501,69.47358491,0.837243816,69.47358491,0.302712747,69.47358491,0.292657946
70.10924528,0.936799682,70.10924528,0.494951234,70.10924528,0.685684068,70.10924528,0.546711157,70.10924528,0.44036916,70.10924528,0.204188346,70.10924528,0.845587046,70.10924528,0.301518032,70.10924528,0.277345679
70.74490566,0.921994187,70.74490566,0.484390322,70.74490566,0.657812791,70.74490566,0.528296211,70.74490566,0.421862175,70.74490566,0.196436657,70.74490566,0.860632981,70.74490566,0.305005066,70.74490566,0.261960958
71.38056604,0.904608661,71.38056604,0.47357373,71.38056604,0.642816952,71.38056604,0.516978569,71.38056604,0.406229229,71.38056604,0.188221379,71.38056604,0.881353264,71.38056604,0.315673537,71.38056604,0.248456094
72.01622642,0.878549038,72.01622642,0.460890423,72.01622642,0.638232109,72.01622642,0.514188434,72.01622642,0.393739904,72.01622642,0.180219698,72.01622642,0.888895411,72.01622642,0.332922203,72.01622642,0.239741371
72.65188679,0.845785845,72.65188679,0.443973908,72.65188679,0.632649612,72.65188679,0.505558778,72.65188679,0.382530211,72.65188679,0.173971691,72.65188679,0.862957848,72.65188679,0.346535755,72.65188679,0.234237889
73.28754717,0.810879868,73.28754717,0.42139699,73.28754717,0.619354957,73.28754717,0.485365199,73.28754717,0.372301999,73.28754717,0.170477021,73.28754717,0.797852748,73.28754717,0.340440551,73.28754717,0.229508408
73.92320755,0.783531522,73.92320755,0.40309784,73.92320755,0.604948681,73.92320755,0.467141948,73.92320755,0.36437023,73.92320755,0.167707803,73.92320755,0.710178086,73.92320755,0.311806917,73.92320755,0.223856266
74.55886792,0.77164332,74.55886792,0.395997366,74.55886792,0.594945554,74.55886792,0.460291524,74.55886792,0.357865654,74.55886792,0.163042903,74.55886792,0.636098881,74.55886792,0.274923368,74.55886792,0.215205985
75.1945283,0.76563556,75.1945283,0.390928699,75.1945283,0.587188271,75.1945283,0.456356575,75.1945283,0.350152345,75.1945283,0.156324367,75.1945283,0.604288952,75.1945283,0.247093182,75.1945283,0.20450031
75.83018868,0.753752759,75.83018868,0.379611894,75.83018868,0.589111003,75.83018868,0.444765038,75.83018868,0.340535488,75.83018868,0.148846991,75.83018868,0.612317887,75.83018868,0.236668719,75.83018868,0.194746305
76.46584906,0.738930807,76.46584906,0.365671277,76.46584906,0.608805343,76.46584906,0.426505161,76.46584906,0.32955634,76.46584906,0.141786697,76.46584906,0.640394929,76.46584906,0.24039523,76.46584906,0.187203489
77.10150943,0.734011616,77.10150943,0.354201737,77.10150943,0.64472626,77.10150943,0.411927323,77.10150943,0.319138231,77.10150943,0.137058731,77.10150943,0.669863795,77.10150943,0.251841799,77.10150943,0.181147662
77.73716981,0.745251512,77.73716981,0.346080891,77.73716981,0.704674367,77.73716981,0.404409438,77.73716981,0.309693763,77.73716981,0.13537648,77.73716981,0.683643916,77.73716981,0.260140121,77.73716981,0.174151491
78.37283019,0.760399344,78.37283019,0.339142043,78.37283019,0.807190897,78.37283019,0.393803459,78.37283019,0.298439264,78.37283019,0.134266031,78.37283019,0.669513601,78.37283019,0.254237306,78.37283019,0.164667676
79.00849057,0.768726604,79.00849057,0.332585441,79.00849057,0.960952836,79.00849057,0.374101695,79.00849057,0.283898647,79.00849057,0.13114182,79.00849057,0.64654622,79.00849057,0.237902748,79.00849057,0.154684325
79.64415094,0.771229881,79.64415094,0.325021083,79.64415094,1.156120556,79.64415094,0.356407444,79.64415094,0.272495689,79.64415094,0.126303739,79.64415094,0.65427693,79.64415094,0.229930989,79.64415094,0.145813597
80.27981132,0.761776159,80.27981132,0.31771301,80.27981132,1.352447947,80.27981132,0.368945286,80.27981132,0.27850807,80.27981132,0.122187802,80.27981132,0.725461646,80.27981132,0.249460931,80.27981132,0.137677822
80.9154717,0.725581854,80.9154717,0.310063769,80.9154717,1.477933769,80.9154717,0.464472049,80.9154717,0.327799742,80.9154717,0.119307757,80.9154717,0.887125909,80.9154717,0.30435236,80.9154717,0.131039538
81.55113208,0.658735038,81.55113208,0.298479776,81.55113208,1.465509897,81.55113208,0.707187427,81.55113208,0.458217392,81.55113208,0.116088724,81.55113208,1.172094769,81.55113208,0.399500772,81.55113208,0.12677452
82.18679245,0.57952342,82.18679245,0.284267596,82.18679245,1.29753727,82.18679245,1.106701678,82.18679245,0.682066179,82.18679245,0.112232422,82.18679245,1.609361099,82.18679245,0.536430261,82.18679245,0.123626696
