timeSinceBootSeconds,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQStg1Liquid,dataQStg1Slug
6038.2,24.34,24.34,50.0,60.0,,,,,,
6038.35,24.35,24.35,50.0,60.0,,,,,,
6038.499,24.61,24.61,50.0,60.0,,,,,,
6038.65,25.36,25.36,50.0,60.0,,,,,,
6038.8,26.6,26.6,50.0,60.0,,,,,,
6038.95,28.22,28.22,50.0,60.0,,,,,,
6039.024,,,,,,,,,22.76,
6039.1,29.79,29.79,50.0,60.0,,,,,,
6039.25,31.36,31.36,50.0,60.0,,,,,,
6039.4,33.23,33.23,50.0,60.0,,,,,,
6039.55,35.01,35.01,50.0,60.0,,,,,,
6039.7,36.83,36.83,50.0,60.0,,,,,,
6039.85,38.54,38.54,50.0,60.0,,,,,,
6040.0,40.24,40.24,50.0,60.0,,,,,22.87,
6040.15,41.76,41.76,50.0,60.0,,,,,,
6040.3,43.45,43.45,50.0,60.0,,,,,,
6040.45,45.08,45.08,50.0,60.0,,,,,,
6040.6,46.69,46.69,50.0,60.0,,,,,,
6040.75,48.27,48.27,50.0,60.0,,,,,,
6040.9,49.82,49.82,50.0,60.0,,,,,22.81,
6041.05,51.34,51.34,50.0,60.0,,,,,,
6041.2,52.84,52.84,50.0,60.0,,,,,,
6041.35,54.34,54.34,50.0,60.0,,,,,,
6041.5,55.81,55.81,50.0,60.0,,,,,,
6041.65,57.24,57.24,50.0,60.0,,,,,,
6041.802,58.63,58.63,50.0,60.0,,,,,,
6041.952,59.86,59.86,50.0,60.0,,,,,22.88,
6042.1,60.35,60.35,50.0,60.0,,,,,,
6042.25,60.11,60.11,50.0,60.0,,,,,,
6042.4,59.78,59.78,50.0,60.0,,,,,,
6042.55,59.63,59.63,50.0,60.0,,,,,,
6042.7,59.63,59.63,50.0,60.0,,,,,,
6042.85,59.67,59.67,50.0,60.0,,,,,,
6043.0,59.7,59.7,50.0,60.0,,,,,22.86,
6043.15,59.7,59.7,50.0,60.0,,,,,,
6043.3,59.7,59.7,50.0,60.0,,,,,,
6043.45,59.67,59.67,50.0,60.0,,,,,,
6043.6,59.66,59.66,50.0,60.0,,,,,,
6043.75,59.63,59.63,50.0,60.0,,,,,,
6043.9,59.61,59.61,50.0,60.0,,,,,,
6044.05,59.61,59.61,50.0,60.0,,,,,22.97,
6044.2,59.58,59.58,50.0,60.0,,,,,,
6044.35,59.56,59.56,50.0,60.0,,,,,,
6044.5,59.53,59.53,50.0,60.0,,,,,,
6044.65,59.52,59.52,50.0,60.0,,,,,,
6044.8,59.5,59.5,50.0,60.0,,,,,,
6044.95,59.48,59.48,50.0,60.0,,,,,22.89,
6045.1,59.45,59.45,50.0,60.0,,,,,,
6045.25,59.43,59.43,50.0,60.0,,,,,,
6045.4,59.4,59.4,50.0,60.0,,,,,,
6045.55,59.37,59.37,50.0,60.0,,,,,,
6045.7,59.36,59.36,50.0,60.0,,,,,,
6045.851,59.36,59.36,50.0,60.0,,,,,,
6046.0,59.34,59.34,50.0,60.0,,,,,22.9,
6046.15,59.34,59.34,50.0,60.0,,,,,,
6046.3,59.33,59.33,50.0,60.0,,,,,,
6046.45,59.3,59.3,50.0,60.0,,,,,,
6046.6,59.3,59.3,50.0,60.0,,,,,,
6046.75,59.29,59.29,50.0,60.0,,,,,,
6046.9,59.27,59.27,50.0,60.0,,,,,,
6047.05,59.27,59.27,50.0,60.0,,,,,22.94,
6047.2,59.26,59.26,50.0,60.0,,,,,,
6047.35,59.23,59.23,50.0,60.0,,,,,,
6047.5,59.22,59.22,50.0,60.0,,,,,,
6047.65,59.2,59.2,50.0,60.0,,,,,,
6047.8,59.2,59.2,50.0,60.0,,,,,,
6047.95,59.19,59.19,50.0,60.0,,,,,,
6048.101,59.17,59.17,50.0,60.0,,,,,23.06,
6048.25,59.18,59.18,50.0,60.0,,,,,,
6048.4,59.16,59.16,50.0,60.0,,,,,,
6048.55,59.14,59.14,50.0,60.0,,,,,,
6048.7,59.14,59.14,50.0,60.0,,,,,,
6048.85,59.12,59.12,50.0,60.0,,,,,,
6049.0,59.12,59.12,50.0,60.0,,,,,23.04,
6049.15,59.11,59.11,50.0,60.0,,,,,,
6049.3,59.1,59.1,50.0,60.0,,,,,,
6049.45,59.09,59.09,50.0,60.0,,,,,,
6049.6,59.09,59.09,50.0,60.0,,,,,,
6049.75,59.07,59.07,50.0,60.0,,,,,,
6049.9,59.06,59.06,50.0,60.0,,,,,,
6050.05,59.04,59.04,50.0,60.0,,,,,23.18,
6050.2,59.03,59.03,50.0,60.0,,,,,,
6050.35,59.03,59.03,50.0,60.0,,,,,,
6050.5,59.03,59.03,50.0,60.0,,,,,,
6050.65,59.02,59.02,50.0,60.0,,,,,,
6050.8,59.01,59.01,50.0,60.0,,,,,,
6050.95,59.02,59.02,50.0,60.0,,,,,,
6051.1,59.02,59.02,50.0,60.0,,,,,23.25,
6051.25,59.02,59.02,50.0,60.0,,,,,,
6051.4,59.02,59.02,50.0,60.0,,,,,,
6051.55,59.01,59.01,50.0,60.0,,,,,,
6051.7,59.0,59.0,50.0,60.0,,,,,,
6051.85,59.0,59.0,50.0,60.0,,,,,,
6052.0,59.0,59.0,50.0,60.0,,,,,23.35,
6052.15,58.99,58.99,50.0,60.0,,,,,,
6052.3,58.97,58.97,50.0,60.0,,,,,,
6052.451,58.98,58.98,50.0,60.0,,,,,,
6052.6,58.96,58.96,50.0,60.0,,,,,,
6052.75,58.95,58.95,50.0,60.0,,,,,,
6052.9,58.94,58.94,50.0,60.0,,,,,,
6053.05,58.94,58.94,50.0,60.0,,,,,23.39,
6053.2,58.94,58.94,50.0,60.0,,,,,,
6053.35,58.93,58.93,50.0,60.0,,,,,,
6053.5,58.93,58.93,50.0,60.0,,,,,,
6053.65,58.92,58.92,50.0,60.0,,,,,,
6053.8,58.91,58.91,50.0,60.0,,,,,,
6053.95,58.91,58.91,50.0,60.0,,,,,,
