timeSinceBootSeconds,stage1TempC,stage1FilteredTempC,stage1SetTempC,dataQLiquidStg1
61.495,75.35,74.52,90,0
61.51,0,0,0,0
61.595,75.59,74.74,90,0
61.61,0,0,0,0
61.695,75.83,74.97,90,0
61.71,0,0,0,0
61.795,76.07,75.2,90,0
61.81,0,0,0,0
61.895,76.24,75.43,90,0
61.911,0,0,0,0
61.995,76.57,75.66,90,0
62.01,0,0,0,0
62.095,76.73,75.9,90,0
62.11,0,0,0,0
62.195,77.07,76.13,90,35.57
62.21,0,0,0,0
62.295,77.23,76.37,90,0
62.31,0,0,0,0
62.4,77.57,76.61,90,0
62.425,0,0,0,0
62.496,77.74,76.86,90,0
62.511,0,0,0,0
62.596,78.08,77.1,90,0
62.611,0,0,0,0
62.696,78.25,77.35,90,0
62.711,0,0,0,0
62.796,78.6,77.6,90,0
62.811,0,0,0,0
62.896,78.78,77.85,90,0
62.911,0,0,0,0
62.996,79.04,78.1,90,0
63.011,0,0,0,0
63.096,79.3,78.35,90,0
63.111,0,0,0,0
63.196,79.57,78.6,90,36.23
63.211,0,0,0,0
63.296,79.66,78.86,90,0
63.311,0,0,0,0
63.396,80.11,79.1,90,0
63.411,0,0,0,0
63.496,80.38,79.36,90,0
63.511,0,0,0,0
63.596,80.56,79.61,90,0
63.611,0,0,0,0
63.696,80.84,79.87,90,0
63.711,0,0,0,0
63.796,81.12,80.13,90,0
63.811,0,0,0,0
63.896,81.3,80.38,90,0
63.911,0,0,0,0
63.996,81.68,80.64,90,0
64.011,0,0,0,0
64.096,81.87,80.9,90,0
64.111,0,0,0,0
64.196,82.15,81.16,90,36.92
64.211,0,0,0,0
64.296,82.34,81.42,90,0
64.311,0,0,0,0
64.396,82.73,81.68,90,0
64.411,0,0,0,0
64.496,82.82,81.95,90,0
64.511,0,0,0,0
64.596,83.02,82.2,90,0
64.611,0,0,0,0
64.696,82.92,82.44,90,0
64.711,0,0,0,0
64.796,82.82,82.63,90,0
64.811,0,0,0,0
64.897,82.44,82.75,90,0
64.912,0,0,0,0
64.996,81.87,82.79,90,0
65.011,0,0,0,0
65.096,81.4,82.71,90,0
65.111,0,0,0,0
65.196,80.75,82.52,90,37.07
65.211,0,0,0,0
65.296,80.11,82.21,90,0
65.311,0,0,0,0
65.396,79.3,81.79,90,0
65.411,0,0,0,0
65.496,78.69,81.27,90,0
65.511,0,0,0,0
65.596,77.91,80.67,90,0
65.611,0,0,0,0
65.696,77.23,80.02,90,0
65.711,0,0,0,0
65.796,76.73,79.34,90,0
65.811,0,0,0,0
65.896,76.24,78.65,90,0
65.911,0,0,0,0
65.996,75.91,77.98,90,0
66.011,0,0,0,0
66.096,75.75,77.36,90,0
66.111,0,0,0,0
66.196,75.75,76.83,90,36.85
66.211,0,0,0,0
66.296,75.75,76.4,90,0
66.311,0,0,0,0
66.396,75.91,76.08,90,0
66.411,0,0,0,0
66.496,76.07,75.87,90,0
66.511,0,0,0,0
66.596,76.24,75.77,90,0
66.611,0,0,0,0
66.696,76.4,75.76,90,0
66.711,0,0,0,0
66.796,76.57,75.82,90,0
66.811,0,0,0,0
66.896,76.9,75.95,90,0
66.911,0,0,0,0
66.996,77.07,76.13,90,0
67.011,0,0,0,0
67.096,77.23,76.34,90,0
67.112,0,0,0,0
67.196,77.4,76.56,90,38.28
67.211,0,0,0,0
67.296,77.74,76.79,90,0
67.311,0,0,0,0
67.396,77.83,77.03,90,0
67.411,0,0,0,0
67.496,78,77.25,90,0
67.511,0,0,0,0
67.596,78.08,77.47,90,0
67.611,0,0,0,0
67.696,78.25,77.67,90,0
67.711,0,0,0,0
67.796,78.43,77.85,90,0
67.811,0,0,0,0
67.896,78.6,78.02,90,0
67.911,0,0,0,0
67.996,78.69,78.18,90,0
68.011,0,0,0,0
68.096,78.78,78.33,90,0
68.111,0,0,0,0
68.196,78.95,78.47,90,38.42
68.211,0,0,0,0
68.296,79.13,78.61,90,0
68.311,0,0,0,0
68.396,79.3,78.74,90,0
68.411,0,0,0,0
68.496,79.3,78.88,90,0
68.511,0,0,0,0
68.596,79.48,79.01,90,0
68.611,0,0,0,0
68.696,79.66,79.14,90,0
68.711,0,0,0,0
68.796,79.84,79.27,90,0
68.811,0,0,0,0
68.896,80.02,79.41,90,0
68.911,0,0,0,0
68.996,80.02,79.55,90,0
69.011,0,0,0,0
69.096,80.2,79.69,90,0
69.111,0,0,0,0
69.199,80.38,79.83,90,0
69.214,0,0,0,38.42
69.296,80.56,79.98,90,0
69.311,0,0,0,0
69.396,80.75,80.12,90,0
69.411,0,0,0,0
69.496,80.84,80.27,90,0
69.511,0,0,0,0
69.596,80.93,80.42,90,0
69.611,0,0,0,0
69.696,81.12,80.57,90,0
69.711,0,0,0,0
69.796,81.3,80.71,90,0
69.811,0,0,0,0
69.896,81.4,80.85,90,0
69.911,0,0,0,0
69.996,81.49,80.99,90,0
70.011,0,0,0,0
70.096,81.68,81.14,90,0
70.111,0,0,0,0
70.196,81.87,81.29,90,0
70.21,0,0,0,0
70.296,81.96,81.43,90,38.88
70.311,0,0,0,0
70.396,82.06,81.58,90,0
70.411,0,0,0,0
70.496,82.25,81.72,90,0
70.511,0,0,0,0
70.596,82.44,81.87,90,0
70.611,0,0,0,0
70.696,82.63,82.01,90,0
70.711,0,0,0,0
70.796,82.63,82.16,90,0
70.811,0,0,0,0
70.896,82.82,82.3,90,0
70.911,0,0,0,0
70.996,82.92,82.44,90,0
71.011,0,0,0,0
71.097,83.02,82.58,90,0
71.112,0,0,0,0
71.196,83.21,82.71,90,0
71.211,0,0,0,0
71.296,83.31,82.84,90,39.17
71.311,0,0,0,0
71.396,83.51,82.98,90,0
71.411,0,0,0,0
71.496,83.61,83.11,90,0
71.511,0,0,0,0
71.596,83.71,83.24,90,0
71.611,0,0,0,0
71.696,83.9,83.37,90,0
71.711,0,0,0,0
71.796,84,83.5,90,0
71.811,0,0,0,0
71.896,84.1,83.64,90,0
71.911,0,0,0,0
71.996,84.3,83.77,90,0
72.011,0,0,0,0
72.096,84.3,83.9,90,0
72.111,0,0,0,0
72.196,84.41,84.03,90,0
72.211,0,0,0,0
72.295,0,0,0,39.58
72.296,84.61,84.15,90,0
72.319,0,0,0,0
72.407,84.71,84.27,90,0
72.432,0,0,0,0
72.5,84.81,84.4,90,0
72.515,0,0,0,0
72.6,85.02,84.52,90,0
72.615,0,0,0,0
72.7,85.12,84.64,90,0
72.715,0,0,0,0
72.8,85.22,84.77,90,0
72.815,0,0,0,0
72.9,85.22,84.89,90,0
72.915,0,0,0,0
73,85.43,85.01,90,0
73.015,0,0,0,0
73.1,85.53,85.12,90,0
73.115,0,0,0,0
73.2,85.64,85.24,90,0
73.215,0,0,0,0
73.3,85.74,85.35,90,40.2
73.315,0,0,0,0
73.4,85.85,85.46,90,0
73.416,0,0,0,0
73.5,86.06,85.57,90,0
73.515,0,0,0,0
73.6,86.16,85.69,90,0
73.615,0,0,0,0
73.7,86.27,85.81,90,0
73.715,0,0,0,0
73.8,86.37,85.93,90,0
73.815,0,0,0,0
73.9,86.48,86.04,90,0
73.915,0,0,0,0
74,86.59,86.16,90,0
74.015,0,0,0,0
74.1,86.69,86.28,90,0
74.115,0,0,0,0
74.201,86.69,86.39,90,0
74.216,0,0,0,0
74.3,86.91,86.5,90,40.66
74.315,0,0,0,0
74.4,87.02,86.61,90,0
74.415,0,0,0,0
74.5,87.12,86.72,90,0
74.515,0,0,0,0
74.6,87.12,86.83,90,0
74.615,0,0,0,0
74.7,87.34,86.93,90,0
74.715,0,0,0,0
74.8,87.45,87.03,90,0
74.815,0,0,0,0
74.9,87.56,87.14,90,0
74.915,0,0,0,0
74.999,87.56,87.25,90,0
75.014,0,0,0,0
75.1,87.78,87.35,90,0
75.115,0,0,0,0
75.2,87.78,87.45,90,0
75.213,0,0,0,0
75.3,87.89,87.55,90,40.8
75.314,0,0,0,0
75.4,88,87.65,90,0
75.415,0,0,0,0
75.5,88.11,87.74,90,0
75.515,0,0,0,0
75.6,88.22,87.83,90,0
75.615,0,0,0,0
75.7,88.22,87.93,90,0
75.715,0,0,0,0
75.8,88.33,88.02,90,0
75.815,0,0,0,0
75.9,88.44,88.11,90,0
75.915,0,0,0,0
76,88.44,88.19,90,0
76.015,0,0,0,0
76.1,88.56,88.27,90,0
76.115,0,0,0,0
76.2,88.78,88.35,90,0
76.215,0,0,0,0
76.3,88.78,88.44,90,41.13
76.315,0,0,0,0
