time,temp
0,35.5
5,43
10,49.8
15,55.5
20,61.9
25,63
30,67.5
35,70
40,71.5
45,72.8
50,73.3
55,74
60,74.7
65,75.5
70,76.4
75,77.3
80,77.9
85,75
90,65
95,66.9
100,67.6
105,67.5
110,67.1
115,66.8
120,66.7
125,66.8
130,66.9
135,67.1
140,67.2
145,67.3
150,67.4
155,67.5
160,67.5
165,67.6
170,67.6
175,67.7
180,67.8
185,67.8
190,67.9
195,67.9
200,68
205,68
210,68.7
215,69
220,75.2
225,80.9
230,81.9
235,85
240,87.2
245,88.5
250,89.3
255,89.7
260,90
265,90.5
270,90.9
275,91.5
280,90.4
285,88
290,88.1
295,88.5
300,88.9
305,89.1
310,89.5
315,89.7
320,89.9
325,90.2
330,90.4
335,90.6
340,90.7
345,90.9
350,91
355,91
360,91.6
365,91.8
370,91.9
375,92
