time,temp
0,24
5,33
10,40
15,46
20,53
25,56.6
30,59.7
35,63.3
40,65.9
45,67.1
50,67.6
55,68
60,68.5
65,69.6
70,70.1
75,70.9
80,71
85,72.4
90,65
95,59
100,60.9
105,61.7
110,61.9
115,61.7
120,61.6
125,61.8
130,62
135,62.3
140,62.6
145,62.8
150,63
155,63.2
160,63.3
165,63.5
170,63.7
175,63.9
180,64
185,64.2
190,64.3
195,64.5
200,64.6
205,64.7
210,64.9
215,65
220,67.6
225,73.5
230,78.9
235,79.2
240,82
245,84.3
250,85.5
255,85.6
260,86.8
265,87.2
270,87.7
275,88.3
280,88.9
285,86
290,85.5
295,85.8
300,86.3
305,86.6
310,87
315,87.4
320,87.7
325,87.9
330,88.2
335,88.5
340,88.8
345,89
350,89.2
355,89.5
360,89.7
365,89.9
370,90
375,90.2
380,90.4
385,90.6
390,90.7
395,90.9
400,91
405,91.2
410,91.3
415,91.4
420,91.5
425,91.7
430,91.8
435,91.9
440,92
445,92.1
450,92.2
455,92.2
460,92.3
465,92.5
470,92.4
475,92.5
480,91
485,80
490,72
495,69.5
500,70.6
505,68.2
510,65.6
515,62.5
520,60.3
525,59
530,57.9
535,57
540,56.5
545,56
550,55.5
555,55.1
560,54.6
565,54
570,58
575,61.3
580,61
585,60.3
590,59.6
595,58.9
600,58.2
605,57.5
610,57
615,56.3
620,56
625,56
630,56
635,56.1
640,56.1
645,56
650,55.9
655,55.8
660,55.6
665,55.6
670,55.4
675,55.3
680,55.1
685,55
690,53.5
