numericValue
1.244
1.379
1.346
1.275
1.313
1.502
1.339
1.198
1.298
1.211
1.42
1.272
1.311
1.204
1.264
1.383
1.203
1.206
1.517
1.433
1.302
1.367
1.286
1.205
1.38
1.425
1.231
1.449
1.276
1.552
