timeSinceBootSeconds,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQStg1Liquid,dataQStg1Slug
626.416,64.81,64.81,30.0,60.0,,,,,,
626.566,64.89,64.89,30.0,60.0,,,,,,
626.716,64.98,64.98,30.0,60.0,,,,,,
626.866,65.06,65.06,30.0,60.0,,,,,,
627.018,65.14,65.14,30.0,60.0,,,,,,
627.166,65.2,65.2,30.0,60.0,,,,,,
627.316,65.27,65.27,30.0,60.0,,,,,,
627.466,65.33,65.33,30.0,60.0,,,,,,
627.616,65.42,65.42,30.0,60.0,,,,,,
627.766,65.49,65.49,30.0,60.0,,,,,,
627.916,65.58,65.58,30.0,60.0,,,,,,
628.067,65.68,65.68,30.0,60.0,,,,,,
628.216,65.75,65.75,30.0,60.0,,,,,,
628.366,65.85,65.85,30.0,60.0,,,,,,
628.516,65.94,65.94,30.0,60.0,,,,,,
628.666,66.01,66.01,30.0,60.0,,,,,,
628.816,66.09,66.09,30.0,60.0,,,,,,
628.966,66.15,66.15,30.0,60.0,,,,,,
629.116,66.23,66.23,30.0,60.0,,,,,,
629.267,66.31,66.31,30.0,60.0,,,,,,
629.416,66.41,66.41,30.0,60.0,,,,,,
629.566,66.52,66.52,30.0,60.0,,,,,,
629.716,66.61,66.61,30.0,60.0,,,,,,
629.866,66.69,66.69,30.0,60.0,,,,,,
630.016,66.79,66.79,30.0,60.0,,,,,,
630.166,66.86,66.86,30.0,60.0,,,,,,
630.316,66.93,66.93,30.0,60.0,,,,,,
630.466,67.01,67.01,30.0,60.0,,,,,,
630.616,67.09,67.09,30.0,60.0,,,,,,
630.766,67.17,67.17,30.0,60.0,,,,,,
630.916,67.27,67.27,30.0,60.0,,,,,,
631.066,67.35,67.35,30.0,60.0,,,,,,
631.216,67.45,67.45,30.0,60.0,,,,,,
631.366,67.52,67.52,30.0,60.0,,,,,,
631.516,67.63,67.63,30.0,60.0,,,,,,
631.666,67.72,67.72,30.0,60.0,,,,,,
631.816,67.8,67.8,30.0,60.0,,,,,,
631.966,67.87,67.87,30.0,60.0,,,,,,
632.116,67.95,67.95,30.0,60.0,,,,,,
632.266,68.03,68.03,30.0,60.0,,,,,,
632.416,68.13,68.13,30.0,60.0,,,,,,
632.566,68.24,68.24,30.0,60.0,,,,,,
632.716,68.34,68.34,30.0,60.0,,,,,,
