Text,1: Positive Control,2: NTC,3: Extraction Control
1,-0.617401210453025,-0.605839138203046,-0.632771267252771
2,-0.606174487680962,-0.583932359005802,-0.612072778605521
3,-0.604135742416496,-0.587254768276618,-0.600811345537471
4,-0.59566603669495,-0.57703881130501,-0.603394542891364
5,-0.587194782751465,-0.569666775010749,-0.591844629657424
6,-0.579822113652751,-0.5639064261194,-0.593433210957703
7,-0.589734062278374,-0.570663932688683,-0.584940766904231
8,-0.572642813382084,-0.564622312414707,-0.582823805303933
9,-0.578156676329993,-0.571974223372381,-0.57356656703918
10,-0.579593076506578,-0.555461136665723,-0.567372324361319
11,-0.573897474376585,-0.556332478606105,-0.570048326167573
12,-0.581154371262494,-0.557899627606467,-0.560822948272516
13,-0.57336793023936,-0.548181252355644,-0.550915786315158
14,-0.56286979347987,-0.552552657961741,-0.563156757714998
15,-0.563685996531874,-0.543427943617672,-0.539063289742963
16,-0.556064264661574,-0.534050619481406,-0.539603615692136
17,-0.553504332436677,-0.543666895549723,-0.510374466227923
18,-0.5549527683476,-0.541597435427337,-0.50430724780408
19,-0.544924400823004,-0.520655936758719,-0.468504408065284
20,-0.548348978642798,-0.527263869670579,-0.433110184644852
21,-0.540327648435261,-0.520159740925915,-0.346406519164402
22,-0.513322294630991,-0.517407255654131,-0.257266883875012
23,-0.491675643630103,-0.514621355575935,-0.103439687970612
24,-0.446749457024321,-0.517516608052562,0.0544263260538413
25,-0.36749659064936,-0.51788722048053,0.254320677370146
26,-0.248884521282576,-0.504865806559609,0.491758204018596
27,-0.0911615715787806,-0.509327606976657,0.720866719465207
28,0.145705895124599,-0.509173412497505,0.951730687222647
29,0.429824005819435,-0.500207341181794,1.15301332144225
30,0.687847006668367,-0.496825226858594,1.33566410588828
31,0.927604956068293,-0.502015814413088,1.50460639644212
32,1.11587697623592,-0.503399931729179,1.62905941548648
33,1.26135182963173,-0.50080709780656,1.73675720919137
34,1.37728964250741,-0.499568774156024,1.83124967579599
35,1.4679329304612,-0.502134686866217,1.91410825645016
36,1.55610520290406,-0.495669742558643,1.96770502339
37,1.62950378767339,-0.487211580461604,2.01298437083283
38,1.71123699483794,-0.490002497138294,2.0466111003711
39,1.7749663861173,-0.491321989664262,2.08847896442298
40,1.86091684118553,-0.492921175679866,2.09098666957667
41,1.95827345214784,-0.499315165979941,2.10405747256124
42,2.08335901317573,-0.500316365795237,2.11939178721801
43,2.21195106416718,-0.495691274384507,2.11691091735176
44,2.3559201155018,-0.498037163115463,2.14095593798054
45,2.50195806778112,-0.496144661557323,2.13683598661818
46,2.65232524851978,-0.492070911036753,2.12959102972355
47,2.78829147993534,-0.488838695642537,2.13406172907086
48,2.93440089396028,-0.483050765761827,2.12661481519296
49,3.04999454318408,-0.488485881335708,2.12094899120029
50,3.16424369300356,-0.476697277535086,2.11555121527827

