timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,dataQStg1Slug
1707.456,59.86,59.86,50,60,,,,,,
1707.606,59.85,59.85,50,60,,,,,,
1707.606,59.85,59.85,50,60,,,,,,
1707.606,59.85,59.85,50,60,,,,,,
1707.606,59.85,59.85,50,60,,,,,,
1707.756,59.82,59.82,50,60,,,,,,
1707.756,59.82,59.82,50,60,,,,,,
1707.756,59.82,59.82,50,60,,,,,,
1707.756,59.82,59.82,50,60,,,,,,
1707.906,59.79,59.79,50,60,,,,,31.77,
1707.906,59.79,59.79,50,60,,,,,31.77,
1707.906,59.79,59.79,50,60,,,,,31.77,
1707.906,59.79,59.79,50,60,,,,,31.77,
1707.906,59.79,59.79,50,60,,,,,31.77,
1708.056,59.75,59.75,50,60,,,,,,
1708.056,59.75,59.75,50,60,,,,,,
1708.056,59.75,59.75,50,60,,,,,,
1708.056,59.75,59.75,50,60,,,,,,
1708.206,59.72,59.72,50,60,,,,,,
1708.206,59.72,59.72,50,60,,,,,,
1708.206,59.72,59.72,50,60,,,,,,
1708.206,59.72,59.72,50,60,,,,,,
1708.356,59.7,59.7,50,60,,,,,,
1708.356,59.7,59.7,50,60,,,,,,
1708.356,59.7,59.7,50,60,,,,,,
1708.356,59.7,59.7,50,60,,,,,,
1708.506,59.68,59.68,50,60,,,,,,
1708.506,59.68,59.68,50,60,,,,,,
1708.506,59.68,59.68,50,60,,,,,,
1708.506,59.68,59.68,50,60,,,,,,
1708.656,59.65,59.65,50,60,,,,,,
1708.656,59.65,59.65,50,60,,,,,,
1708.656,59.65,59.65,50,60,,,,,,
1708.656,59.65,59.65,50,60,,,,,,
1708.806,59.63,59.63,50,60,,,,,,
1708.806,59.63,59.63,50,60,,,,,,
1708.806,59.63,59.63,50,60,,,,,,
1708.806,59.63,59.63,50,60,,,,,,
1708.815,,,,,,,,,31.71,
1708.956,59.62,59.62,50,60,,,,,,
1708.956,59.62,59.62,50,60,,,,,,
1708.956,59.62,59.62,50,60,,,,,,
1708.956,59.62,59.62,50,60,,,,,,
1709.106,59.59,59.59,50,60,,,,,,
1709.106,59.59,59.59,50,60,,,,,,
1709.106,59.59,59.59,50,60,,,,,,
1709.106,59.59,59.59,50,60,,,,,,
1709.256,59.58,59.58,50,60,,,,,,
1709.256,59.58,59.58,50,60,,,,,,
1709.256,59.58,59.58,50,60,,,,,,
1709.256,59.58,59.58,50,60,,,,,,
1709.406,59.56,59.56,50,60,,,,,,
1709.406,59.56,59.56,50,60,,,,,,
1709.406,59.56,59.56,50,60,,,,,,
1709.406,59.56,59.56,50,60,,,,,,
1709.556,59.54,59.54,50,60,,,,,,
1709.556,59.54,59.54,50,60,,,,,,
1709.556,59.54,59.54,50,60,,,,,,
1709.556,59.54,59.54,50,60,,,,,,
1709.706,59.52,59.52,50,60,,,,,,
1709.706,59.52,59.52,50,60,,,,,,
1709.706,59.52,59.52,50,60,,,,,,
1709.706,59.52,59.52,50,60,,,,,,
1709.856,59.49,59.49,50,60,,,,,,
1709.856,59.49,59.49,50,60,,,,,,
1709.856,59.49,59.49,50,60,,,,,,
1709.856,59.49,59.49,50,60,,,,,,
1709.932,,,,,,,,,31.8,
1710.006,59.47,59.47,50,60,,,,,,
1710.006,59.47,59.47,50,60,,,,,,
1710.006,59.47,59.47,50,60,,,,,,
1710.006,59.47,59.47,50,60,,,,,,
1710.156,59.44,59.44,50,60,,,,,,
1710.156,59.44,59.44,50,60,,,,,,
1710.156,59.44,59.44,50,60,,,,,,
1710.156,59.44,59.44,50,60,,,,,,
1710.306,59.42,59.42,50,60,,,,,,
1710.306,59.42,59.42,50,60,,,,,,
1710.306,59.42,59.42,50,60,,,,,,
1710.306,59.42,59.42,50,60,,,,,,
1710.456,59.4,59.4,50,60,,,,,,
1710.456,59.4,59.4,50,60,,,,,,
1710.456,59.4,59.4,50,60,,,,,,
1710.456,59.4,59.4,50,60,,,,,,
1710.606,59.38,59.38,50,60,,,,,,
1710.606,59.38,59.38,50,60,,,,,,
1710.606,59.38,59.38,50,60,,,,,,
1710.606,59.38,59.38,50,60,,,,,,
1710.756,59.37,59.37,50,60,,,,,,
1710.756,59.37,59.37,50,60,,,,,,
1710.756,59.37,59.37,50,60,,,,,,
1710.756,59.37,59.37,50,60,,,,,,
1710.906,59.36,59.36,50,60,,,,,31.97,
1710.906,59.36,59.36,50,60,,,,,31.97,
1710.906,59.36,59.36,50,60,,,,,31.97,
1710.906,59.36,59.36,50,60,,,,,31.97,
1710.906,59.36,59.36,50,60,,,,,31.97,
1711.056,59.34,59.34,50,60,,,,,,
1711.056,59.34,59.34,50,60,,,,,,
1711.056,59.34,59.34,50,60,,,,,,
1711.056,59.34,59.34,50,60,,,,,,
1711.206,59.31,59.31,50,60,,,,,,
1711.206,59.31,59.31,50,60,,,,,,
1711.206,59.31,59.31,50,60,,,,,,
1711.206,59.31,59.31,50,60,,,,,,
1711.356,59.3,59.3,50,60,,,,,,
1711.356,59.3,59.3,50,60,,,,,,
1711.356,59.3,59.3,50,60,,,,,,
1711.356,59.3,59.3,50,60,,,,,,
1711.506,59.29,59.29,50,60,,,,,,
1711.506,59.29,59.29,50,60,,,,,,
1711.506,59.29,59.29,50,60,,,,,,
1711.506,59.29,59.29,50,60,,,,,,
1711.656,59.27,59.27,50,60,,,,,,
1711.656,59.27,59.27,50,60,,,,,,
1711.656,59.27,59.27,50,60,,,,,,
1711.656,59.27,59.27,50,60,,,,,,
1711.806,59.25,59.25,50,60,,,,,32.22,
1711.806,59.25,59.25,50,60,,,,,32.22,
1711.806,59.25,59.25,50,60,,,,,32.22,
1711.806,59.25,59.25,50,60,,,,,32.22,
1711.806,59.25,59.25,50,60,,,,,32.22,
1711.956,59.23,59.23,50,60,,,,,,
1711.956,59.23,59.23,50,60,,,,,,
1711.956,59.23,59.23,50,60,,,,,,
1711.956,59.23,59.23,50,60,,,,,,
1712.106,59.21,59.21,50,60,,,,,,
1712.106,59.21,59.21,50,60,,,,,,
1712.106,59.21,59.21,50,60,,,,,,
1712.106,59.21,59.21,50,60,,,,,,
1712.256,59.21,59.21,50,60,,,,,,
1712.256,59.21,59.21,50,60,,,,,,
1712.256,59.21,59.21,50,60,,,,,,
1712.256,59.21,59.21,50,60,,,,,,
1712.406,59.21,59.21,50,60,,,,,,
1712.406,59.21,59.21,50,60,,,,,,
1712.406,59.21,59.21,50,60,,,,,,
1712.406,59.21,59.21,50,60,,,,,,
1712.556,59.19,59.19,50,60,,,,,,
1712.556,59.19,59.19,50,60,,,,,,
1712.556,59.19,59.19,50,60,,,,,,
1712.556,59.19,59.19,50,60,,,,,,
1712.706,59.17,59.17,50,60,,,,,,
1712.706,59.17,59.17,50,60,,,,,,
1712.706,59.17,59.17,50,60,,,,,,
1712.706,59.17,59.17,50,60,,,,,,
1712.856,59.14,59.14,50,60,,,,,32.51,
1712.856,59.14,59.14,50,60,,,,,32.51,
1712.856,59.14,59.14,50,60,,,,,32.51,
1712.856,59.14,59.14,50,60,,,,,32.51,
1712.856,59.14,59.14,50,60,,,,,32.51,
1713.006,59.12,59.12,50,60,,,,,,
1713.006,59.12,59.12,50,60,,,,,,
1713.006,59.12,59.12,50,60,,,,,,
1713.006,59.12,59.12,50,60,,,,,,
1713.156,59.11,59.11,50,60,,,,,,
1713.156,59.11,59.11,50,60,,,,,,
1713.156,59.11,59.11,50,60,,,,,,
1713.156,59.11,59.11,50,60,,,,,,
1713.306,59.1,59.1,50,60,,,,,,
1713.306,59.1,59.1,50,60,,,,,,
1713.306,59.1,59.1,50,60,,,,,,
1713.306,59.1,59.1,50,60,,,,,,
1713.456,59.08,59.08,50,60,,,,,,
1713.456,59.08,59.08,50,60,,,,,,
1713.456,59.08,59.08,50,60,,,,,,
1713.456,59.08,59.08,50,60,,,,,,
1713.606,59.08,59.08,50,60,,,,,,
1713.606,59.08,59.08,50,60,,,,,,
1713.606,59.08,59.08,50,60,,,,,,
1713.606,59.08,59.08,50,60,,,,,,
1713.756,59.04,59.04,50,60,,,,,,
1713.756,59.04,59.04,50,60,,,,,,
1713.756,59.04,59.04,50,60,,,,,,
1713.756,59.04,59.04,50,60,,,,,,
1713.906,59.03,59.03,50,60,,,,,32.72,
1713.906,59.03,59.03,50,60,,,,,32.72,
1713.906,59.03,59.03,50,60,,,,,32.72,
1713.906,59.03,59.03,50,60,,,,,32.72,
1713.906,59.03,59.03,50,60,,,,,32.72,
1714.056,59.02,59.02,50,60,,,,,,
1714.056,59.02,59.02,50,60,,,,,,
1714.056,59.02,59.02,50,60,,,,,,
1714.056,59.02,59.02,50,60,,,,,,
1714.206,59.02,59.02,50,60,,,,,,
1714.206,59.02,59.02,50,60,,,,,,
1714.206,59.02,59.02,50,60,,,,,,
1714.206,59.02,59.02,50,60,,,,,,
1714.356,59,59,50,60,,,,,,
1714.356,59,59,50,60,,,,,,
1714.356,59,59,50,60,,,,,,
1714.356,59,59,50,60,,,,,,
1714.506,59,59,50,60,,,,,,
1714.506,59,59,50,60,,,,,,
1714.506,59,59,50,60,,,,,,
1714.506,59,59,50,60,,,,,,
1714.656,58.98,58.98,50,60,,,,,,
1714.656,58.98,58.98,50,60,,,,,,
1714.656,58.98,58.98,50,60,,,,,,
1714.656,58.98,58.98,50,60,,,,,,
1714.806,58.97,58.97,50,60,,,,,,
1714.806,58.97,58.97,50,60,,,,,,
1714.806,58.97,58.97,50,60,,,,,,
1714.806,58.97,58.97,50,60,,,,,,
1714.956,58.96,58.96,50,60,,,,,32.87,
1714.956,58.96,58.96,50,60,,,,,32.87,
1714.956,58.96,58.96,50,60,,,,,32.87,
1714.956,58.96,58.96,50,60,,,,,32.87,
1714.956,58.96,58.96,50,60,,,,,32.87,
1715.106,58.96,58.96,50,60,,,,,,
1715.106,58.96,58.96,50,60,,,,,,
1715.106,58.96,58.96,50,60,,,,,,
1715.106,58.96,58.96,50,60,,,,,,
1715.256,58.94,58.94,50,60,,,,,,
1715.256,58.94,58.94,50,60,,,,,,
1715.256,58.94,58.94,50,60,,,,,,
1715.256,58.94,58.94,50,60,,,,,,
1715.406,58.93,58.93,50,60,,,,,,
1715.406,58.93,58.93,50,60,,,,,,
1715.406,58.93,58.93,50,60,,,,,,
1715.406,58.93,58.93,50,60,,,,,,
1715.556,58.93,58.93,50,60,,,,,,
