timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
19382.864,53.9,53.9,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.014,53.85,53.85,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.164,53.8,53.8,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.314,53.73,53.73,50,60,,,,,,,
19383.464,53.67,53.67,50,60,,,,,,,
19383.464,53.67,53.67,50,60,,,,,,,
19383.464,53.67,53.67,50,60,,,,,,,
19383.464,53.67,53.67,50,60,,,,,,,
19383.614,53.61,53.61,50,60,,,,,30.6,24.83,
19383.614,53.61,53.61,50,60,,,,,30.6,24.83,
19383.614,53.61,53.61,50,60,,,,,30.6,24.83,
19383.614,53.61,53.61,50,60,,,,,30.6,24.83,
19383.614,53.61,53.61,50,60,,,,,30.6,24.83,
19383.614,53.61,53.61,50,60,,,,,30.6,24.83,
19383.764,53.56,53.56,50,60,,,,,,,
19383.764,53.56,53.56,50,60,,,,,,,
19383.764,53.56,53.56,50,60,,,,,,,
19383.764,53.56,53.56,50,60,,,,,,,
19383.934,53.5,53.5,50,60,,,,,,,
19383.934,53.5,53.5,50,60,,,,,,,
19383.934,53.5,53.5,50,60,,,,,,,
19383.934,53.5,53.5,50,60,,,,,,,
19384.084,53.45,53.45,50,60,,,,,,,
19384.084,53.45,53.45,50,60,,,,,,,
19384.084,53.45,53.45,50,60,,,,,,,
19384.084,53.45,53.45,50,60,,,,,,,
19384.235,53.4,53.4,50,60,,,,,,,
19384.235,53.4,53.4,50,60,,,,,,,
19384.235,53.4,53.4,50,60,,,,,,,
19384.235,53.4,53.4,50,60,,,,,,,
19384.384,53.34,53.34,50,60,,,,,,,
19384.384,53.34,53.34,50,60,,,,,,,
19384.384,53.34,53.34,50,60,,,,,,,
19384.384,53.34,53.34,50,60,,,,,,,
19384.534,53.28,53.28,50,60,,,,,,,
19384.534,53.28,53.28,50,60,,,,,,,
19384.534,53.28,53.28,50,60,,,,,,,
19384.534,53.28,53.28,50,60,,,,,,,
19384.684,53.22,53.22,50,60,,,,,30.61,24.84,
19384.684,53.22,53.22,50,60,,,,,30.61,24.84,
19384.684,53.22,53.22,50,60,,,,,30.61,24.84,
19384.684,53.22,53.22,50,60,,,,,30.61,24.84,
19384.684,53.22,53.22,50,60,,,,,30.61,24.84,
19384.684,53.22,53.22,50,60,,,,,30.61,24.84,
19384.834,53.17,53.17,50,60,,,,,,,
19384.834,53.17,53.17,50,60,,,,,,,
19384.834,53.17,53.17,50,60,,,,,,,
19384.834,53.17,53.17,50,60,,,,,,,
19384.984,53.11,53.11,50,60,,,,,,,
19384.984,53.11,53.11,50,60,,,,,,,
19384.984,53.11,53.11,50,60,,,,,,,
19384.984,53.11,53.11,50,60,,,,,,,
19385.134,53.04,53.04,50,60,,,,,,,
19385.134,53.04,53.04,50,60,,,,,,,
19385.134,53.04,53.04,50,60,,,,,,,
19385.134,53.04,53.04,50,60,,,,,,,
19385.284,52.98,52.98,50,60,,,,,,,
19385.284,52.98,52.98,50,60,,,,,,,
19385.284,52.98,52.98,50,60,,,,,,,
19385.284,52.98,52.98,50,60,,,,,,,
19385.434,52.92,52.92,50,60,,,,,,,
19385.434,52.92,52.92,50,60,,,,,,,
19385.434,52.92,52.92,50,60,,,,,,,
19385.434,52.92,52.92,50,60,,,,,,,
19385.584,52.87,52.87,50,60,,,,,30.51,24.76,
19385.584,52.87,52.87,50,60,,,,,30.51,24.76,
19385.584,52.87,52.87,50,60,,,,,30.51,24.76,
19385.584,52.87,52.87,50,60,,,,,30.51,24.76,
19385.584,52.87,52.87,50,60,,,,,30.51,24.76,
19385.584,52.87,52.87,50,60,,,,,30.51,24.76,
19385.734,52.82,52.82,50,60,,,,,,,
19385.734,52.82,52.82,50,60,,,,,,,
19385.734,52.82,52.82,50,60,,,,,,,
19385.734,52.82,52.82,50,60,,,,,,,
19385.884,52.78,52.78,50,60,,,,,,,
19385.884,52.78,52.78,50,60,,,,,,,
19385.884,52.78,52.78,50,60,,,,,,,
19385.884,52.78,52.78,50,60,,,,,,,
19386.034,52.73,52.73,50,60,,,,,,,
19386.034,52.73,52.73,50,60,,,,,,,
19386.034,52.73,52.73,50,60,,,,,,,
19386.034,52.73,52.73,50,60,,,,,,,
19386.184,52.69,52.69,50,60,,,,,,,
19386.184,52.69,52.69,50,60,,,,,,,
19386.184,52.69,52.69,50,60,,,,,,,
19386.184,52.69,52.69,50,60,,,,,,,
19386.335,52.63,52.63,50,60,,,,,,,
19386.335,52.63,52.63,50,60,,,,,,,
19386.335,52.63,52.63,50,60,,,,,,,
19386.335,52.63,52.63,50,60,,,,,,,
19386.484,52.58,52.58,50,60,,,,,,,
19386.484,52.58,52.58,50,60,,,,,,,
19386.484,52.58,52.58,50,60,,,,,,,
19386.484,52.58,52.58,50,60,,,,,,,
19386.634,52.54,52.54,50,60,,,,,30.52,24.76,
19386.634,52.54,52.54,50,60,,,,,30.52,24.76,
19386.634,52.54,52.54,50,60,,,,,30.52,24.76,
19386.634,52.54,52.54,50,60,,,,,30.52,24.76,
19386.634,52.54,52.54,50,60,,,,,30.52,24.76,
19386.634,52.54,52.54,50,60,,,,,30.52,24.76,
19386.784,52.49,52.49,50,60,,,,,,,
19386.784,52.49,52.49,50,60,,,,,,,
19386.784,52.49,52.49,50,60,,,,,,,
19386.784,52.49,52.49,50,60,,,,,,,
19386.934,52.45,52.45,50,60,,,,,,,
19386.934,52.45,52.45,50,60,,,,,,,
19386.934,52.45,52.45,50,60,,,,,,,
19386.934,52.45,52.45,50,60,,,,,,,
19387.084,52.41,52.41,50,60,,,,,,,
19387.084,52.41,52.41,50,60,,,,,,,
19387.084,52.41,52.41,50,60,,,,,,,
19387.084,52.41,52.41,50,60,,,,,,,
19387.234,52.35,52.35,50,60,,,,,,,
19387.234,52.35,52.35,50,60,,,,,,,
19387.234,52.35,52.35,50,60,,,,,,,
19387.234,52.35,52.35,50,60,,,,,,,
19387.384,52.3,52.3,50,60,,,,,,,
19387.384,52.3,52.3,50,60,,,,,,,
19387.384,52.3,52.3,50,60,,,,,,,
19387.384,52.3,52.3,50,60,,,,,,,
19387.534,52.26,52.26,50,60,,,,,,,
19387.534,52.26,52.26,50,60,,,,,,,
19387.534,52.26,52.26,50,60,,,,,,,
19387.534,52.26,52.26,50,60,,,,,,,
19387.684,52.21,52.21,50,60,,,,,31.59,24.72,
19387.684,52.21,52.21,50,60,,,,,31.59,24.72,
19387.684,52.21,52.21,50,60,,,,,31.59,24.72,
19387.684,52.21,52.21,50,60,,,,,31.59,24.72,
19387.684,52.21,52.21,50,60,,,,,31.59,24.72,
19387.684,52.21,52.21,50,60,,,,,31.59,24.72,
19387.834,52.18,52.18,50,60,,,,,,,
19387.834,52.18,52.18,50,60,,,,,,,
19387.834,52.18,52.18,50,60,,,,,,,
19387.834,52.18,52.18,50,60,,,,,,,
19387.984,52.14,52.14,50,60,,,,,,,
19387.984,52.14,52.14,50,60,,,,,,,
19387.984,52.14,52.14,50,60,,,,,,,
19387.984,52.14,52.14,50,60,,,,,,,
19388.134,52.09,52.09,50,60,,,,,,,
19388.134,52.09,52.09,50,60,,,,,,,
19388.134,52.09,52.09,50,60,,,,,,,
19388.134,52.09,52.09,50,60,,,,,,,
19388.284,52.05,52.05,50,60,,,,,,,
19388.284,52.05,52.05,50,60,,,,,,,
19388.284,52.05,52.05,50,60,,,,,,,
19388.284,52.05,52.05,50,60,,,,,,,
19388.434,52,52,50,60,,,,,,,
19388.434,52,52,50,60,,,,,,,
19388.434,52,52,50,60,,,,,,,
19388.434,52,52,50,60,,,,,,,
19388.584,51.96,51.96,50,60,,,,,,,
19388.584,51.96,51.96,50,60,,,,,,,
19388.584,51.96,51.96,50,60,,,,,,,
19388.584,51.96,51.96,50,60,,,,,,,
19388.656,,,,,,,,,32.04,24.8,
19388.656,,,,,,,,,32.04,24.8,
19388.734,51.91,51.91,50,60,,,,,,,
19388.734,51.91,51.91,50,60,,,,,,,
19388.734,51.91,51.91,50,60,,,,,,,
19388.734,51.91,51.91,50,60,,,,,,,
19388.884,51.86,51.86,50,60,,,,,,,
19388.884,51.86,51.86,50,60,,,,,,,
19388.884,51.86,51.86,50,60,,,,,,,
19388.884,51.86,51.86,50,60,,,,,,,
19389.034,51.82,51.82,50,60,,,,,,,
19389.034,51.82,51.82,50,60,,,,,,,
19389.034,51.82,51.82,50,60,,,,,,,
19389.034,51.82,51.82,50,60,,,,,,,
19389.184,51.78,51.78,50,60,,,,,,,
19389.184,51.78,51.78,50,60,,,,,,,
19389.184,51.78,51.78,50,60,,,,,,,
19389.184,51.78,51.78,50,60,,,,,,,
19389.334,51.74,51.74,50,60,,,,,,,
19389.334,51.74,51.74,50,60,,,,,,,
19389.334,51.74,51.74,50,60,,,,,,,
19389.334,51.74,51.74,50,60,,,,,,,
19389.484,51.71,51.71,50,60,,,,,,,
19389.484,51.71,51.71,50,60,,,,,,,
19389.484,51.71,51.71,50,60,,,,,,,
19389.484,51.71,51.71,50,60,,,,,,,
19389.634,51.67,51.67,50,60,,,,,33.33,24.76,
19389.634,51.67,51.67,50,60,,,,,33.33,24.76,
19389.634,51.67,51.67,50,60,,,,,33.33,24.76,
19389.634,51.67,51.67,50,60,,,,,33.33,24.76,
19389.634,51.67,51.67,50,60,,,,,33.33,24.76,
19389.634,51.67,51.67,50,60,,,,,33.33,24.76,
19389.784,51.62,51.62,50,60,,,,,,,
19389.784,51.62,51.62,50,60,,,,,,,
19389.784,51.62,51.62,50,60,,,,,,,
19389.784,51.62,51.62,50,60,,,,,,,
19389.934,51.59,51.59,50,60,,,,,,,
19389.934,51.59,51.59,50,60,,,,,,,
19389.934,51.59,51.59,50,60,,,,,,,
19389.934,51.59,51.59,50,60,,,,,,,
19390.084,51.57,51.57,50,60,,,,,,,
19390.084,51.57,51.57,50,60,,,,,,,
19390.084,51.57,51.57,50,60,,,,,,,
19390.084,51.57,51.57,50,60,,,,,,,
19390.234,51.52,51.52,50,60,,,,,,,
19390.234,51.52,51.52,50,60,,,,,,,
19390.234,51.52,51.52,50,60,,,,,,,
19390.234,51.52,51.52,50,60,,,,,,,
19390.384,51.48,51.48,50,60,,,,,,,
19390.384,51.48,51.48,50,60,,,,,,,
19390.384,51.48,51.48,50,60,,,,,,,
19390.384,51.48,51.48,50,60,,,,,,,
19390.534,51.45,51.45,50,60,,,,,,,
19390.534,51.45,51.45,50,60,,,,,,,
19390.534,51.45,51.45,50,60,,,,,,,
19390.534,51.45,51.45,50,60,,,,,,,
19390.684,51.42,51.42,50,60,,,,,34.53,24.71,
19390.684,51.42,51.42,50,60,,,,,34.53,24.71,
19390.684,51.42,51.42,50,60,,,,,34.53,24.71,
19390.684,51.42,51.42,50,60,,,,,34.53,24.71,
19390.684,51.42,51.42,50,60,,,,,34.53,24.71,
19390.684,51.42,51.42,50,60,,,,,34.53,24.71,
19390.834,51.38,51.38,50,60,,,,,,,
19390.834,51.38,51.38,50,60,,,,,,,
19390.834,51.38,51.38,50,60,,,,,,,
19390.834,51.38,51.38,50,60,,,,,,,
19390.984,51.34,51.34,50,60,,,,,,,
