timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Controlled Ramp Target,dataQStg1Heatsink,dataQStg1PeltierTop,dataQStage1PeltierBottom,dataQLiquidStg1,liquid2,dataQStg1Slug
21809.466,68.58,68.58,50,70,,,,,,,
21809.466,68.58,68.58,50,70,,,,,,,
21809.466,68.58,68.58,50,70,,,,,,,
21809.466,68.58,68.58,50,70,,,,,,,
21809.616,69.7,69.7,50,70,,,,,,,
21809.616,69.7,69.7,50,70,,,,,,,
21809.616,69.7,69.7,50,70,,,,,,,
21809.616,69.7,69.7,50,70,,,,,,,
21809.764,70.29,70.29,50,70,,,,,,,
21809.764,70.29,70.29,50,70,,,,,,,
21809.764,70.29,70.29,50,70,,,,,,,
21809.764,70.29,70.29,50,70,,,,,,,
21809.914,70.03,70.03,50,70,,,,,28.87,24.79,
21809.914,70.03,70.03,50,70,,,,,28.87,24.79,
21809.914,70.03,70.03,50,70,,,,,28.87,24.79,
21809.914,70.03,70.03,50,70,,,,,28.87,24.79,
21809.914,70.03,70.03,50,70,,,,,28.87,24.79,
21809.914,70.03,70.03,50,70,,,,,28.87,24.79,
21810.064,69.62,69.62,50,70,,,,,,,
21810.064,69.62,69.62,50,70,,,,,,,
21810.064,69.62,69.62,50,70,,,,,,,
21810.064,69.62,69.62,50,70,,,,,,,
21810.214,69.41,69.41,50,70,,,,,,,
21810.214,69.41,69.41,50,70,,,,,,,
21810.214,69.41,69.41,50,70,,,,,,,
21810.214,69.41,69.41,50,70,,,,,,,
21810.364,69.32,69.32,50,70,,,,,,,
21810.364,69.32,69.32,50,70,,,,,,,
21810.364,69.32,69.32,50,70,,,,,,,
21810.364,69.32,69.32,50,70,,,,,,,
21810.514,69.26,69.26,50,70,,,,,,,
21810.514,69.26,69.26,50,70,,,,,,,
21810.514,69.26,69.26,50,70,,,,,,,
21810.514,69.26,69.26,50,70,,,,,,,
21810.664,69.21,69.21,50,70,,,,,,,
21810.664,69.21,69.21,50,70,,,,,,,
21810.664,69.21,69.21,50,70,,,,,,,
21810.664,69.21,69.21,50,70,,,,,,,
21810.814,69.13,69.13,50,70,,,,,28.84,24.78,
21810.814,69.13,69.13,50,70,,,,,28.84,24.78,
21810.814,69.13,69.13,50,70,,,,,28.84,24.78,
21810.814,69.13,69.13,50,70,,,,,28.84,24.78,
21810.814,69.13,69.13,50,70,,,,,28.84,24.78,
21810.814,69.13,69.13,50,70,,,,,28.84,24.78,
21810.964,69.02,69.02,50,70,,,,,,,
21810.964,69.02,69.02,50,70,,,,,,,
21810.964,69.02,69.02,50,70,,,,,,,
21810.964,69.02,69.02,50,70,,,,,,,
21811.114,68.91,68.91,50,70,,,,,,,
21811.114,68.91,68.91,50,70,,,,,,,
21811.114,68.91,68.91,50,70,,,,,,,
21811.114,68.91,68.91,50,70,,,,,,,
21811.264,68.79,68.79,50,70,,,,,,,
21811.264,68.79,68.79,50,70,,,,,,,
21811.264,68.79,68.79,50,70,,,,,,,
21811.264,68.79,68.79,50,70,,,,,,,
21811.414,68.7,68.7,50,70,,,,,,,
21811.414,68.7,68.7,50,70,,,,,,,
21811.414,68.7,68.7,50,70,,,,,,,
21811.414,68.7,68.7,50,70,,,,,,,
21811.564,68.6,68.6,50,70,,,,,,,
21811.564,68.6,68.6,50,70,,,,,,,
21811.564,68.6,68.6,50,70,,,,,,,
21811.564,68.6,68.6,50,70,,,,,,,
21811.714,68.49,68.49,50,70,,,,,,,
21811.714,68.49,68.49,50,70,,,,,,,
21811.714,68.49,68.49,50,70,,,,,,,
21811.714,68.49,68.49,50,70,,,,,,,
21811.864,68.42,68.42,50,70,,,,,28.8,24.8,
21811.864,68.42,68.42,50,70,,,,,28.8,24.8,
21811.864,68.42,68.42,50,70,,,,,28.8,24.8,
21811.864,68.42,68.42,50,70,,,,,28.8,24.8,
21811.864,68.42,68.42,50,70,,,,,28.8,24.8,
21811.864,68.42,68.42,50,70,,,,,28.8,24.8,
21812.014,68.3,68.3,50,70,,,,,,,
21812.014,68.3,68.3,50,70,,,,,,,
21812.014,68.3,68.3,50,70,,,,,,,
21812.014,68.3,68.3,50,70,,,,,,,
21812.164,68.19,68.19,50,70,,,,,,,
21812.164,68.19,68.19,50,70,,,,,,,
21812.164,68.19,68.19,50,70,,,,,,,
21812.164,68.19,68.19,50,70,,,,,,,
21812.314,68.06,68.06,50,70,,,,,,,
21812.314,68.06,68.06,50,70,,,,,,,
21812.314,68.06,68.06,50,70,,,,,,,
21812.314,68.06,68.06,50,70,,,,,,,
21812.464,67.99,67.99,50,70,,,,,,,
21812.464,67.99,67.99,50,70,,,,,,,
21812.464,67.99,67.99,50,70,,,,,,,
21812.464,67.99,67.99,50,70,,,,,,,
21812.614,67.91,67.91,50,70,,,,,,,
21812.614,67.91,67.91,50,70,,,,,,,
21812.614,67.91,67.91,50,70,,,,,,,
21812.614,67.91,67.91,50,70,,,,,,,
21812.764,67.83,67.83,50,70,,,,,,,
21812.764,67.83,67.83,50,70,,,,,,,
21812.764,67.83,67.83,50,70,,,,,,,
21812.764,67.83,67.83,50,70,,,,,,,
21812.915,67.73,67.73,50,70,,,,,29.92,24.8,
21812.915,67.73,67.73,50,70,,,,,29.92,24.8,
21812.915,67.73,67.73,50,70,,,,,29.92,24.8,
21812.915,67.73,67.73,50,70,,,,,29.92,24.8,
21812.915,67.73,67.73,50,70,,,,,29.92,24.8,
21812.915,67.73,67.73,50,70,,,,,29.92,24.8,
21813.064,67.65,67.65,50,70,,,,,,,
21813.064,67.65,67.65,50,70,,,,,,,
21813.064,67.65,67.65,50,70,,,,,,,
21813.064,67.65,67.65,50,70,,,,,,,
21813.214,67.56,67.56,50,70,,,,,,,
21813.214,67.56,67.56,50,70,,,,,,,
21813.214,67.56,67.56,50,70,,,,,,,
21813.214,67.56,67.56,50,70,,,,,,,
21813.364,67.47,67.47,50,70,,,,,,,
21813.364,67.47,67.47,50,70,,,,,,,
21813.364,67.47,67.47,50,70,,,,,,,
21813.364,67.47,67.47,50,70,,,,,,,
21813.514,67.39,67.39,50,70,,,,,,,
21813.514,67.39,67.39,50,70,,,,,,,
21813.514,67.39,67.39,50,70,,,,,,,
21813.514,67.39,67.39,50,70,,,,,,,
21813.664,67.29,67.29,50,70,,,,,,,
21813.664,67.29,67.29,50,70,,,,,,,
21813.664,67.29,67.29,50,70,,,,,,,
21813.664,67.29,67.29,50,70,,,,,,,
21813.814,67.2,67.2,50,70,,,,,31.28,24.77,
21813.814,67.2,67.2,50,70,,,,,31.28,24.77,
21813.814,67.2,67.2,50,70,,,,,31.28,24.77,
21813.814,67.2,67.2,50,70,,,,,31.28,24.77,
21813.814,67.2,67.2,50,70,,,,,31.28,24.77,
21813.814,67.2,67.2,50,70,,,,,31.28,24.77,
21813.964,67.12,67.12,50,70,,,,,,,
21813.964,67.12,67.12,50,70,,,,,,,
21813.964,67.12,67.12,50,70,,,,,,,
21813.964,67.12,67.12,50,70,,,,,,,
21814.114,67.05,67.05,50,70,,,,,,,
21814.114,67.05,67.05,50,70,,,,,,,
21814.114,67.05,67.05,50,70,,,,,,,
21814.114,67.05,67.05,50,70,,,,,,,
21814.264,66.96,66.96,50,70,,,,,,,
21814.264,66.96,66.96,50,70,,,,,,,
21814.264,66.96,66.96,50,70,,,,,,,
21814.264,66.96,66.96,50,70,,,,,,,
21814.414,66.89,66.89,50,70,,,,,,,
21814.414,66.89,66.89,50,70,,,,,,,
21814.414,66.89,66.89,50,70,,,,,,,
21814.414,66.89,66.89,50,70,,,,,,,
21814.564,66.81,66.81,50,70,,,,,,,
21814.564,66.81,66.81,50,70,,,,,,,
21814.564,66.81,66.81,50,70,,,,,,,
21814.564,66.81,66.81,50,70,,,,,,,
21814.714,66.73,66.73,50,70,,,,,,,
21814.714,66.73,66.73,50,70,,,,,,,
21814.714,66.73,66.73,50,70,,,,,,,
21814.714,66.73,66.73,50,70,,,,,,,
21814.864,66.65,66.65,50,70,,,,,36.06,24.74,
21814.864,66.65,66.65,50,70,,,,,36.06,24.74,
21814.864,66.65,66.65,50,70,,,,,36.06,24.74,
21814.864,66.65,66.65,50,70,,,,,36.06,24.74,
21814.864,66.65,66.65,50,70,,,,,36.06,24.74,
21814.864,66.65,66.65,50,70,,,,,36.06,24.74,
21815.014,66.59,66.59,50,70,,,,,,,
21815.014,66.59,66.59,50,70,,,,,,,
21815.014,66.59,66.59,50,70,,,,,,,
21815.014,66.59,66.59,50,70,,,,,,,
