timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Expected TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Output
12167.379,31.96,24,40,65,23.44,32.06,100
12167.379,31.96,24,40,65,23.44,32.06,100
12167.379,31.96,24,40,65,23.44,32.06,100
12167.379,31.96,24,40,65,23.44,32.06,100
12167.379,31.96,24,40,65,23.44,32.06,100
12167.379,31.96,24,40,65,23.44,32.06,100
12167.379,31.96,24,40,65,23.44,32.06,100
12167.529,32.01,24,40,65,,32.05,100
12167.529,32.01,24,40,65,,32.05,100
12167.529,32.01,24,40,65,,32.05,100
12167.529,32.01,24,40,65,,32.05,100
12167.529,32.01,24,40,65,,32.05,100
12167.529,32.01,24,40,65,,32.05,100
12167.679,32.32,24,40,65,,32.05,100
12167.679,32.32,24,40,65,,32.05,100
12167.679,32.32,24,40,65,,32.05,100
12167.679,32.32,24,40,65,,32.05,100
12167.679,32.32,24,40,65,,32.05,100
12167.679,32.32,24,40,65,,32.05,100
12167.831,33.31,24,40,65,,32.03,100
12167.831,33.31,24,40,65,,32.03,100
12167.831,33.31,24,40,65,,32.03,100
12167.831,33.31,24,40,65,,32.03,100
12167.831,33.31,24,40,65,,32.03,100
12167.831,33.31,24,40,65,,32.03,100
12167.981,34.31,24,40,65,23.46,32,100
12167.981,34.31,24,40,65,23.46,32,100
12167.981,34.31,24,40,65,23.46,32,100
12167.981,34.31,24,40,65,23.46,32,100
12167.981,34.31,24,40,65,23.46,32,100
12167.981,34.31,24,40,65,23.46,32,100
12167.981,34.31,24,40,65,23.46,32,100
12168.131,35.82,24,40,65,,31.95,100
12168.131,35.82,24,40,65,,31.95,100
12168.131,35.82,24,40,65,,31.95,100
12168.131,35.82,24,40,65,,31.95,100
12168.131,35.82,24,40,65,,31.95,100
12168.131,35.82,24,40,65,,31.95,100
12168.281,37.04,24,40,65,,31.91,100
12168.281,37.04,24,40,65,,31.91,100
12168.281,37.04,24,40,65,,31.91,100
12168.281,37.04,24,40,65,,31.91,100
12168.281,37.04,24,40,65,,31.91,100
12168.281,37.04,24,40,65,,31.91,100
12168.431,38.28,24,40,65,,31.87,100
12168.431,38.28,24,40,65,,31.87,100
12168.431,38.28,24,40,65,,31.87,100
12168.431,38.28,24,40,65,,31.87,100
12168.431,38.28,24,40,65,,31.87,100
12168.431,38.28,24,40,65,,31.87,100
12168.581,39.95,24,40,65,23.56,31.8,100
12168.581,39.95,24,40,65,23.56,31.8,100
12168.581,39.95,24,40,65,23.56,31.8,100
12168.581,39.95,24,40,65,23.56,31.8,100
12168.581,39.95,24,40,65,23.56,31.8,100
12168.581,39.95,24,40,65,23.56,31.8,100
12168.581,39.95,24,40,65,23.56,31.8,100
12168.731,41.23,24,40,65,,31.74,100
12168.731,41.23,24,40,65,,31.74,100
12168.731,41.23,24,40,65,,31.74,100
12168.731,41.23,24,40,65,,31.74,100
12168.731,41.23,24,40,65,,31.74,100
12168.731,41.23,24,40,65,,31.74,100
12168.881,42.52,24,40,65,,31.68,100
12168.881,42.52,24,40,65,,31.68,100
12168.881,42.52,24,40,65,,31.68,100
12168.881,42.52,24,40,65,,31.68,100
12168.881,42.52,24,40,65,,31.68,100
12168.881,42.52,24,40,65,,31.68,100
12169.031,44.24,24,40,65,,31.6,100
12169.031,44.24,24,40,65,,31.6,100
12169.031,44.24,24,40,65,,31.6,100
12169.031,44.24,24,40,65,,31.6,100
12169.031,44.24,24,40,65,,31.6,100
12169.031,44.24,24,40,65,,31.6,100
12169.181,45.53,24,40,65,23.45,31.53,100
12169.181,45.53,24,40,65,23.45,31.53,100
12169.181,45.53,24,40,65,23.45,31.53,100
12169.181,45.53,24,40,65,23.45,31.53,100
12169.181,45.53,24,40,65,23.45,31.53,100
12169.181,45.53,24,40,65,23.45,31.53,100
12169.181,45.53,24,40,65,23.45,31.53,100
12169.331,46.81,24,40,65,,31.47,100
12169.331,46.81,24,40,65,,31.47,100
12169.331,46.81,24,40,65,,31.47,100
12169.331,46.81,24,40,65,,31.47,100
12169.331,46.81,24,40,65,,31.47,100
12169.331,46.81,24,40,65,,31.47,100
12169.481,48.49,24,40,65,,31.39,100
12169.481,48.49,24,40,65,,31.39,100
12169.481,48.49,24,40,65,,31.39,100
12169.481,48.49,24,40,65,,31.39,100
12169.481,48.49,24,40,65,,31.39,100
12169.481,48.49,24,40,65,,31.39,100
12169.631,49.75,24,40,65,,31.34,100
12169.631,49.75,24,40,65,,31.34,100
12169.631,49.75,24,40,65,,31.34,100
12169.631,49.75,24,40,65,,31.34,100
12169.631,49.75,24,40,65,,31.34,100
12169.631,49.75,24,40,65,,31.34,100
12169.781,51.01,24,40,65,23.54,31.28,100
12169.781,51.01,24,40,65,23.54,31.28,100
12169.781,51.01,24,40,65,23.54,31.28,100
12169.781,51.01,24,40,65,23.54,31.28,100
12169.781,51.01,24,40,65,23.54,31.28,100
12169.781,51.01,24,40,65,23.54,31.28,100
12169.781,51.01,24,40,65,23.54,31.28,100
12169.931,52.66,24,40,65,,31.21,100
12169.931,52.66,24,40,65,,31.21,100
12169.931,52.66,24,40,65,,31.21,100
12169.931,52.66,24,40,65,,31.21,100
12169.931,52.66,24,40,65,,31.21,100
12169.931,52.66,24,40,65,,31.21,100
12170.081,53.88,24,40,65,,31.15,100
12170.081,53.88,24,40,65,,31.15,100
12170.081,53.88,24,40,65,,31.15,100
12170.081,53.88,24,40,65,,31.15,100
12170.081,53.88,24,40,65,,31.15,100
12170.081,53.88,24,40,65,,31.15,100
12170.231,55.1,24,40,65,,31.1,100
12170.231,55.1,24,40,65,,31.1,100
12170.231,55.1,24,40,65,,31.1,100
12170.231,55.1,24,40,65,,31.1,100
12170.231,55.1,24,40,65,,31.1,100
12170.231,55.1,24,40,65,,31.1,100
12170.381,56.69,24,40,65,23.49,31.03,100
12170.381,56.69,24,40,65,23.49,31.03,100
12170.381,56.69,24,40,65,23.49,31.03,100
12170.381,56.69,24,40,65,23.49,31.03,100
12170.381,56.69,24,40,65,23.49,31.03,100
12170.381,56.69,24,40,65,23.49,31.03,100
12170.381,56.69,24,40,65,23.49,31.03,100
12170.531,57.86,24,40,65,,30.96,100
12170.531,57.86,24,40,65,,30.96,100
12170.531,57.86,24,40,65,,30.96,100
12170.531,57.86,24,40,65,,30.96,100
12170.531,57.86,24,40,65,,30.96,100
12170.531,57.86,24,40,65,,30.96,100
12170.681,59.03,24,40,65,,30.91,100
12170.681,59.03,24,40,65,,30.91,100
12170.681,59.03,24,40,65,,30.91,100
12170.681,59.03,24,40,65,,30.91,100
12170.681,59.03,24,40,65,,30.91,100
12170.681,59.03,24,40,65,,30.91,100
12170.831,60.17,24,40,65,,30.86,100
12170.831,60.17,24,40,65,,30.86,100
12170.831,60.17,24,40,65,,30.86,100
12170.831,60.17,24,40,65,,30.86,100
12170.831,60.17,24,40,65,,30.86,100
12170.831,60.17,24,40,65,,30.86,100
12170.981,61.67,24,40,65,23.61,30.8,100
12170.981,61.67,24,40,65,23.61,30.8,100
12170.981,61.67,24,40,65,23.61,30.8,100
12170.981,61.67,24,40,65,23.61,30.8,100
12170.981,61.67,24,40,65,23.61,30.8,100
12170.981,61.67,24,40,65,23.61,30.8,100
12170.981,61.67,24,40,65,23.61,30.8,100
12171.131,62.77,24,40,65,,30.75,100
12171.131,62.77,24,40,65,,30.75,100
12171.131,62.77,24,40,65,,30.75,100
12171.131,62.77,24,40,65,,30.75,100
12171.131,62.77,24,40,65,,30.75,100
12171.131,62.77,24,40,65,,30.75,100
12171.281,63.86,24,40,65,,30.7,100
12171.281,63.86,24,40,65,,30.7,100
12171.281,63.86,24,40,65,,30.7,100
12171.281,63.86,24,40,65,,30.7,100
12171.281,63.86,24,40,65,,30.7,100
12171.281,63.86,24,40,65,,30.7,100
12171.431,65.3,24,40,65,,30.63,100
12171.431,65.3,24,40,65,,30.63,100
12171.431,65.3,24,40,65,,30.63,100
12171.431,65.3,24,40,65,,30.63,100
12171.431,65.3,24,40,65,,30.63,100
12171.431,65.3,24,40,65,,30.63,100
12171.582,66.36,24,40,65,23.68,30.58,100
12171.582,66.36,24,40,65,23.68,30.58,100
12171.582,66.36,24,40,65,23.68,30.58,100
12171.582,66.36,24,40,65,23.68,30.58,100
12171.582,66.36,24,40,65,23.68,30.58,100
12171.582,66.36,24,40,65,23.68,30.58,100
12171.582,66.36,24,40,65,23.68,30.58,100
12171.733,67.42,24,40,65,,30.53,100
12171.733,67.42,24,40,65,,30.53,100
12171.733,67.42,24,40,65,,30.53,100
12171.733,67.42,24,40,65,,30.53,100
12171.733,67.42,24,40,65,,30.53,100
12171.733,67.42,24,40,65,,30.53,100
12171.882,68.76,24,40,65,,30.48,100
12171.882,68.76,24,40,65,,30.48,100
12171.882,68.76,24,40,65,,30.48,100
