timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
992.303,33.11,33.36,90,29.82,31.49
992.303,33.11,33.36,90,29.82,31.49
992.303,33.11,33.36,90,29.82,31.49
992.303,33.11,33.36,90,29.82,31.49
992.451,33.1,33.35,90,29.82,31.47
992.451,33.1,33.35,90,29.82,31.47
992.451,33.1,33.35,90,29.82,31.47
992.451,33.1,33.35,90,29.82,31.47
992.6,33.22,33.36,90,29.82,31.46
992.6,33.22,33.36,90,29.82,31.46
992.6,33.22,33.36,90,29.82,31.46
992.6,33.22,33.36,90,29.82,31.46
992.728,,,,29.82,
992.755,33.61,33.44,90,,31.44
992.755,33.61,33.44,90,,31.44
992.755,33.61,33.44,90,,31.44
992.755,33.61,33.44,90,,31.44
992.9,34.64,33.7,90,,31.39
992.9,34.64,33.7,90,,31.39
992.9,34.64,33.7,90,,31.39
992.9,34.64,33.7,90,,31.39
993.053,35.73,34.07,90,,31.34
993.053,35.73,34.07,90,,31.34
993.053,35.73,34.07,90,,31.34
993.053,35.73,34.07,90,,31.34
993.205,37.02,34.56,90,,31.28
993.205,37.02,34.56,90,,31.28
993.205,37.02,34.56,90,,31.28
993.205,37.02,34.56,90,,31.28
993.315,,,,30.24,
993.351,38.97,35.28,90,,31.2
993.351,38.97,35.28,90,,31.2
993.351,38.97,35.28,90,,31.2
993.351,38.97,35.28,90,,31.2
993.503,40.55,36.04,90,,31.15
993.503,40.55,36.04,90,,31.15
993.503,40.55,36.04,90,,31.15
993.503,40.55,36.04,90,,31.15
993.656,42.17,36.84,90,,31.08
993.656,42.17,36.84,90,,31.08
993.656,42.17,36.84,90,,31.08
993.656,42.17,36.84,90,,31.08
993.806,43.9,37.69,90,,31.01
993.806,43.9,37.69,90,,31.01
993.806,43.9,37.69,90,,31.01
993.806,43.9,37.69,90,,31.01
993.898,,,,31.75,
993.952,46.22,38.72,90,,30.92
993.952,46.22,38.72,90,,30.92
993.952,46.22,38.72,90,,30.92
993.952,46.22,38.72,90,,30.92
994.102,47.9,39.7,90,,30.85
994.102,47.9,39.7,90,,30.85
994.102,47.9,39.7,90,,30.85
994.102,47.9,39.7,90,,30.85
994.255,49.59,40.67,90,,30.79
994.255,49.59,40.67,90,,30.79
994.255,49.59,40.67,90,,30.79
994.255,49.59,40.67,90,,30.79
994.407,51.35,41.64,90,,30.72
994.407,51.35,41.64,90,,30.72
994.407,51.35,41.64,90,,30.72
994.407,51.35,41.64,90,,30.72
994.483,,,,34.47,
994.553,53.64,42.76,90,,30.62
994.553,53.64,42.76,90,,30.62
994.553,53.64,42.76,90,,30.62
994.553,53.64,42.76,90,,30.62
994.703,55.27,43.8,90,,30.57
994.703,55.27,43.8,90,,30.57
994.703,55.27,43.8,90,,30.57
994.703,55.27,43.8,90,,30.57
994.859,56.92,44.81,90,,30.51
994.859,56.92,44.81,90,,30.51
994.859,56.92,44.81,90,,30.51
994.859,56.92,44.81,90,,30.51
995.006,59.07,45.86,90,40.96,30.43
995.006,59.07,45.86,90,40.96,30.43
995.006,59.07,45.86,90,40.96,30.43
995.006,59.07,45.86,90,40.96,30.43
995.006,59.07,45.86,90,40.96,30.43
995.155,60.63,46.93,90,,30.37
995.155,60.63,46.93,90,,30.37
995.155,60.63,46.93,90,,30.37
995.155,60.63,46.93,90,,30.37
995.305,62.14,47.94,90,,30.32
995.305,62.14,47.94,90,,30.32
995.305,62.14,47.94,90,,30.32
995.305,62.14,47.94,90,,30.32
995.462,64.1,48.97,90,,30.25
995.462,64.1,48.97,90,,30.25
995.462,64.1,48.97,90,,30.25
995.462,64.1,48.97,90,,30.25
995.61,65.66,49.96,90,,30.2
995.61,65.66,49.96,90,,30.2
995.61,65.66,49.96,90,,30.2
995.61,65.66,49.96,90,,30.2
995.698,,,,61.72,
995.757,67.22,50.98,90,,30.16
995.757,67.22,50.98,90,,30.16
995.757,67.22,50.98,90,,30.16
995.757,67.22,50.98,90,,30.16
995.908,68.62,51.99,90,,30.11
995.908,68.62,51.99,90,,30.11
995.908,68.62,51.99,90,,30.11
995.908,68.62,51.99,90,,30.11
996.062,69.98,52.95,90,,30.06
996.062,69.98,52.95,90,,30.06
996.062,69.98,52.95,90,,30.06
996.062,69.98,52.95,90,,30.06
996.208,71.76,53.97,90,,30
996.208,71.76,53.97,90,,30
996.208,71.76,53.97,90,,30
