(7361954) systemRequestStateChange: System State Transition WARNING -> ERROR
(7361954) blePeriphNotifySubscription: ENTER NOTIFY
(7361957) systemRequestStateChange: Notify exit state change
***PCR ON***
[183]PCR TEC set to 50°C
(7371363) _setPcrTecTempC: TEC Set Temp 50.000000
(7371364) _resetThermalControlState: RESET Peltier 1 control state
(7371368) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(7371375) _setThermalControlState: thermalControl-1: changing state 3->1
(7371382) tecCurvePredictorSetHoldPower: holdPower is NaN
(7371389) thermalControlSetEnable: Enabling Peltier 1
(7371522) TC: TC-1 = 24.92, modeled = 23.59, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.239
(7371668) TC: TC-1 = 24.94, modeled = 23.62, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.234
(7371817) TC: TC-1 = 24.97, modeled = 23.66, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.237
(7371969) TC: TC-1 = 24.99, modeled = 23.69, target = 50.00, heatSink = -85.90, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.233
(7372117) TC: TC-1 = 25.01, modeled = 23.73, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.233
(7372271) TC: TC-1 = 25.04, modeled = 23.76, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.230
(7372420) TC: TC-1 = 25.05, modeled = 23.80, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.222
(7372570) TC: TC-1 = 25.09, modeled = 23.83, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.236
(7372720) TC: TC-1 = 25.13, modeled = 23.87, target = 50.00, heatSink = -85.79, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.245
(7372870) TC: TC-1 = 25.16, modeled = 23.90, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.246
(7373020) TC: TC-1 = 25.18, modeled = 23.94, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.241
(7373178) TC: TC-1 = 25.21, modeled = 23.98, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.238
(7373324) TC: TC-1 = 25.23, modeled = 24.01, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.233
(7373473) TC: TC-1 = 25.26, modeled = 24.05, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.237
(7373624) TC: TC-1 = 25.29, modeled = 24.08, target = 50.00, heatSink = -86.24, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.235
(7373775) TC: TC-1 = 25.31, modeled = 24.12, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.235
