***PCR ON***
[15]PCR TEC set to 50°C
(1852640) _setPcrTecTempC: TEC Set Temp 50.000000
(1852641) _resetThermalControlState: RESET Peltier 1 control state
(1852645) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(1852652) _setThermalControlState: thermalControl-1: changing state 3->1
(1852659) tecCurvePredictorSetHoldPower: holdPower is NaN
(1852665) thermalControlSetEnable: Enabling Peltier 1
(1852687) TC: TC-1 = 25.09, modeled = 24.46, target = 50.00, heatSink = -86.99, output = 50.0, timeout = 0, exptTempC = 0.00, TecRate = 0.140
(1852803) TC: TC-1 = 25.11, modeled = 24.48, target = 50.00, heatSink = -86.99, output = 100.0, timeout = 150, exptTempC = 0.00, TecRate = 0.137
(1852958) TC: TC-1 = 25.12, modeled = 24.50, target = 50.00, heatSink = -87.03, output = 100.0, timeout = 300, exptTempC = 0.00, TecRate = 0.137
(1853109) TC: TC-1 = 25.13, modeled = 24.52, target = 50.00, heatSink = -86.98, output = 100.0, timeout = 450, exptTempC = 0.00, TecRate = 0.130
(1853255) TC: TC-1 = 25.14, modeled = 24.54, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 600, exptTempC = 0.00, TecRate = 0.126
(1853405) TC: TC-1 = 25.16, modeled = 24.56, target = 50.00, heatSink = -86.55, output = 100.0, timeout = 750, exptTempC = 0.00, TecRate = 0.125
(1853554) TC: TC-1 = 25.17, modeled = 24.58, target = 50.00, heatSink = -86.43, output = 100.0, timeout = 900, exptTempC = 0.00, TecRate = 0.123
(1853704) TC: TC-1 = 25.18, modeled = 24.60, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 1050, exptTempC = 0.00, TecRate = 0.120
(1853860) TC: TC-1 = 25.19, modeled = 24.62, target = 50.00, heatSink = -87.15, output = 100.0, timeout = 1200, exptTempC = 0.00, TecRate = 0.121
(1854006) TC: TC-1 = 25.21, modeled = 24.63, target = 50.00, heatSink = -86.87, output = 100.0, timeout = 1350, exptTempC = 0.00, TecRate = 0.118
(1854156) TC: TC-1 = 25.22, modeled = 24.65, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 1500, exptTempC = 0.00, TecRate = 0.119
(1854307) TC: TC-1 = 25.23, modeled = 24.67, target = 50.00, heatSink = -86.91, output = 100.0, timeout = 1650, exptTempC = 0.00, TecRate = 0.116
(1854456) TC: TC-1 = 25.24, modeled = 24.69, target = 50.00, heatSink = -86.94, output = 100.0, timeout = 1800, exptTempC = 0.00, TecRate = 0.116
(1854610) TC: TC-1 = 25.26, modeled = 24.70, target = 50.00, heatSink = -87.23, output = 100.0, timeout = 1950, exptTempC = 0.00, TecRate = 0.115
(1854766) TC: TC-1 = 25.26, modeled = 24.72, target = 50.00, heatSink = -87.11, output = 100.0, timeout = 2100, exptTempC = 0.00, TecRate = 0.109
(1854909) TC: TC-1 = 25.28, modeled = 24.74, target = 50.00, heatSink = -87.02, output = 100.0, timeout = 2250, exptTempC = 0.00, TecRate = 0.111
(1855061) TC: TC-1 = 25.29, modeled = 24.75, target = 50.00, heatSink = -86.47, output = 100.0, timeout = 2400, exptTempC = 0.00, TecRate = 0.109
(1855210) TC: TC-1 = 25.30, modeled = 24.77, target = 50.00, heatSink = -87.06, output = 100.0, timeout = 2550, exptTempC = 0.00, TecRate = 0.109
