(68167) heapMonitor_checkFreeHeapSize: New heap low water mark 115004
(164167) heapMonitor_checkFreeHeapSize: New heap low water mark 114908
[9]Set PCR TEC:  HEAT: True  POW: 100
(202215) RAW PELTIER: TC-1 = 23.9, HSTemp = 20.3, modeled = 21.5, rawRR C/s = 8.7, output = 100.0
(202264) RAW PELTIER: TC-1 = 24.4, HSTemp = 20.3, modeled = 21.6, rawRR C/s = 9.2, output = 100.0
(202315) RAW PELTIER: TC-1 = 24.9, HSTemp = 20.2, modeled = 21.7, rawRR C/s = 9.5, output = 100.0
(202364) RAW PELTIER: TC-1 = 25.4, HSTemp = 20.2, modeled = 21.9, rawRR C/s = 9.8, output = 100.0
(202414) RAW PELTIER: TC-1 = 25.9, HSTemp = 20.2, modeled = 22.0, rawRR C/s = 10.0, output = 100.0
(202464) RAW PELTIER: TC-1 = 26.5, HSTemp = 20.1, modeled = 22.2, rawRR C/s = 10.2, output = 100.0
(202515) RAW PELTIER: TC-1 = 27.0, HSTemp = 20.1, modeled = 22.4, rawRR C/s = 10.5, output = 100.0
(202564) RAW PELTIER: TC-1 = 27.6, HSTemp = 20.1, modeled = 22.6, rawRR C/s = 10.6, output = 100.0
(202615) RAW PELTIER: TC-1 = 28.2, HSTemp = 20.0, modeled = 22.8, rawRR C/s = 10.7, output = 100.0
(202665) RAW PELTIER: TC-1 = 28.7, HSTemp = 20.0, modeled = 23.0, rawRR C/s = 10.9, output = 100.0
(202715) RAW PELTIER: TC-1 = 29.3, HSTemp = 20.0, modeled = 23.2, rawRR C/s = 11.0, output = 100.0
(202765) RAW PELTIER: TC-1 = 29.9, HSTemp = 19.9, modeled = 23.4, rawRR C/s = 11.1, output = 100.0
(202816) RAW PELTIER: TC-1 = 30.5, HSTemp = 19.9, modeled = 23.7, rawRR C/s = 11.2, output = 100.0
(202864) RAW PELTIER: TC-1 = 31.1, HSTemp = 19.9, modeled = 23.9, rawRR C/s = 11.3, output = 100.0
(202915) RAW PELTIER: TC-1 = 31.7, HSTemp = 19.8, modeled = 24.2, rawRR C/s = 11.3, output = 100.0
(202969) RAW PELTIER: TC-1 = 32.3, HSTemp = 19.8, modeled = 24.5, rawRR C/s = 11.5, output = 100.0
(203015) RAW PELTIER: TC-1 = 32.9, HSTemp = 19.8, modeled = 24.7, rawRR C/s = 11.6, output = 100.0
(203065) RAW PELTIER: TC-1 = 32.9, HSTemp = 19.8, modeled = 25.0, rawRR C/s = 11.6, output = 100.0
(203114) RAW PELTIER: TC-1 = 33.5, HSTemp = 19.7, modeled = 25.3, rawRR C/s = 11.9, output = 100.0
(203166) RAW PELTIER: TC-1 = 34.2, HSTemp = 19.7, modeled = 25.5, rawRR C/s = 11.9, output = 100.0
(203167) heapMonitor_checkFreeHeapSize: New heap low water mark 114740
(203215) RAW PELTIER: TC-1 = 34.8, HSTemp = 19.7, modeled = 25.8, rawRR C/s = 11.8, output = 100.0
(203265) RAW PELTIER: TC-1 = 35.4, HSTemp = 19.7, modeled = 26.1, rawRR C/s = 11.5, output = 100.0
(203315) RAW PELTIER: TC-1 = 36.1, HSTemp = 19.6, modeled = 26.4, rawRR C/s = 11.6, output = 100.0
(203365) RAW PELTIER: TC-1 = 36.7, HSTemp = 19.6, modeled = 26.7, rawRR C/s = 11.6, output = 100.0
(203415) RAW PELTIER: TC-1 = 37.3, HSTemp = 19.6, modeled = 27.0, rawRR C/s = 11.4, output = 100.0
(203465) RAW PELTIER: TC-1 = 37.9, HSTemp = 19.5, modeled = 27.3, rawRR C/s = 11.7, output = 100.0
(203515) RAW PELTIER: TC-1 = 38.5, HSTemp = 19.5, modeled = 27.7, rawRR C/s = 11.3, output = 100.0
(203565) RAW PELTIER: TC-1 = 39.1, HSTemp = 19.5, modeled = 28.0, rawRR C/s = 11.2, output = 100.0
(203615) RAW PELTIER: TC-1 = 39.7, HSTemp = 19.5, modeled = 28.3, rawRR C/s = 11.4, output = 100.0
