***PCR ON***
[161]PCR TEC set to 50°C
(5914843) _setPcrTecTempC: TEC Set Temp 50.000000
(5914844) _resetThermalControlState: RESET Peltier 1 control state
(5914848) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(5914855) _setThermalControlState: thermalControl-1: changing state 3->1
(5914862) tecCurvePredictorSetHoldPower: holdPower is NaN
(5914868) thermalControlSetEnable: Enabling Peltier 1
(5920506) TC: TC-1 = 51.92, modeled = 36.58, target = 50.00, heatSink = -86.35, output = 100.0, timeout = 5600, exptTempC = 0.00, TecRate = 7.376
(5920663) TC: TC-1 = 53.54, modeled = 37.69, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 5750, exptTempC = 0.00, TecRate = 7.377
(5920818) TC: TC-1 = 54.59, modeled = 38.76, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 5900, exptTempC = 0.00, TecRate = 6.732
(5920962) TC: TC-1 = 56.17, modeled = 39.81, target = 50.00, heatSink = -86.05, output = 100.0, timeout = 6050, exptTempC = 0.00, TecRate = 7.019
(5921114) TC: TC-1 = 57.71, modeled = 40.87, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 6200, exptTempC = 0.00, TecRate = 7.055
(5921263) TC: TC-1 = 59.13, modeled = 41.92, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 6350, exptTempC = 0.00, TecRate = 6.983
(5921415) TC: TC-1 = 60.47, modeled = 42.96, target = 50.00, heatSink = -86.39, output = 100.0, timeout = 6500, exptTempC = 0.00, TecRate = 6.889
(5921569) TC: TC-1 = 61.76, modeled = 43.98, target = 50.00, heatSink = -86.50, output = 100.0, timeout = 6650, exptTempC = 0.00, TecRate = 6.783
(5921715) TC: TC-1 = 62.61, modeled = 44.95, target = 50.00, heatSink = -86.09, output = 100.0, timeout = 6800, exptTempC = 0.00, TecRate = 6.386
(5921864) TC: TC-1 = 63.86, modeled = 45.91, target = 50.00, heatSink = -85.90, output = 100.0, timeout = 6950, exptTempC = 0.00, TecRate = 6.364
(5922021) TC: TC-1 = 65.04, modeled = 46.85, target = 50.00, heatSink = -85.94, output = 50.0, timeout = 7100, exptTempC = 0.00, TecRate = 6.285
(5922172) TC: TC-1 = 66.18, modeled = 47.79, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 7200, exptTempC = 0.00, TecRate = 6.199
(5922322) TC: TC-1 = 67.24, modeled = 48.71, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 7350, exptTempC = 0.00, TecRate = 6.071
(5922479) TC: TC-1 = 68.26, modeled = 49.61, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 7500, exptTempC = 0.00, TecRate = 5.953
(5922631) TC: TC-1 = 68.93, modeled = 50.46, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 7650, exptTempC = 0.00, TecRate = 5.608
(5922777) TC: TC-1 = 69.91, modeled = 51.29, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 7800, exptTempC = 0.00, TecRate = 5.560
(5922879) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 51.844826, threshold: 50.200001
(5922915) _setThermalControlState: thermalControl-1: changing state 1->3
(5922916) _setTempReachedCallback: Set Temp Reached
(5922926) TC: TC-1 = 70.84, modeled = 52.12, target = 50.00, heatSink = -85.67, output = -50.0, timeout = 7950, exptTempC = 50.00, TecRate = 5.475
(5923072) TC: TC-1 = 71.76, modeled = 52.93, target = 50.00, heatSink = -86.01, output = -51.5, timeout = 8100, exptTempC = 50.00, TecRate = 5.409
(5923222) TC: TC-1 = 72.62, modeled = 53.73, target = 50.00, heatSink = -86.27, output = -78.4, timeout = 8250, exptTempC = 50.00, TecRate = 5.295
(5923378) TC: TC-1 = 73.41, modeled = 54.51, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 8400, exptTempC = 50.00, TecRate = 5.175
(5923524) TC: TC-1 = 73.95, modeled = 55.26, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 8550, exptTempC = 50.00, TecRate = 4.898
(5923674) TC: TC-1 = 74.75, modeled = 55.99, target = 50.00, heatSink = -86.05, output = -100.0, timeout = 8700, exptTempC = 50.00, TecRate = 4.853
(5923824) TC: TC-1 = 75.50, modeled = 56.71, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 8850, exptTempC = 50.00, TecRate = 4.783
(5923973) TC: TC-1 = 76.22, modeled = 57.42, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 9000, exptTempC = 50.00, TecRate = 4.707
(5924126) TC: TC-1 = 76.88, modeled = 58.11, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 9150, exptTempC = 50.00, TecRate = 4.598
(5924276) TC: TC-1 = 77.31, modeled = 58.78, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 9300, exptTempC = 50.00, TecRate = 4.248
(5924426) TC: TC-1 = 77.98, modeled = 59.43, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 9450, exptTempC = 50.00, TecRate = 4.317
(5924575) TC: TC-1 = 78.61, modeled = 60.07, target = 50.00, heatSink = -85.75, output = -100.0, timeout = 9600, exptTempC = 50.00, TecRate = 4.256
(5924726) TC: TC-1 = 79.20, modeled = 60.70, target = 50.00, heatSink = -86.12, output = -100.0, timeout = 9750, exptTempC = 50.00, TecRate = 4.180
(5924875) TC: TC-1 = 79.77, modeled = 61.32, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 9900, exptTempC = 50.00, TecRate = 4.116
(5925032) TC: TC-1 = 80.35, modeled = 61.94, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 10050, exptTempC = 50.00, TecRate = 4.060
(5925176) TC: TC-1 = 80.71, modeled = 62.51, target = 50.00, heatSink = -86.39, output = -100.0, timeout = 10200, exptTempC = 50.00, TecRate = 3.864
(5925327) TC: TC-1 = 81.23, modeled = 63.09, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 10350, exptTempC = 50.00, TecRate = 3.821
(5925477) TC: TC-1 = 81.72, modeled = 63.65, target = 50.00, heatSink = -85.87, output = -100.0, timeout = 10500, exptTempC = 50.00, TecRate = 3.751
(5925628) TC: TC-1 = 82.20, modeled = 64.21, target = 50.00, heatSink = -86.54, output = -100.0, timeout = 10650, exptTempC = 50.00, TecRate = 3.694
(5925778) TC: TC-1 = 82.68, modeled = 64.76, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 10800, exptTempC = 50.00, TecRate = 3.638
(5925933) TC: TC-1 = 82.99, modeled = 65.29, target = 50.00, heatSink = -86.32, output = -100.0, timeout = 10950, exptTempC = 50.00, TecRate = 3.405
(5926079) TC: TC-1 = 83.44, modeled = 65.81, target = 50.00, heatSink = -86.21, output = -100.0, timeout = 11100, exptTempC = 50.00, TecRate = 3.439
(5926229) TC: TC-1 = 83.88, modeled = 66.32, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 11250, exptTempC = 50.00, TecRate = 3.400
(5926380) TC: TC-1 = 84.27, modeled = 66.82, target = 50.00, heatSink = -86.20, output = -100.0, timeout = 11400, exptTempC = 50.00, TecRate = 3.332
(5926530) TC: TC-1 = 84.65, modeled = 67.32, target = 50.00, heatSink = -86.31, output = -100.0, timeout = 11550, exptTempC = 50.00, TecRate = 3.275
(5926680) TC: TC-1 = 85.02, modeled = 67.80, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 11700, exptTempC = 50.00, TecRate = 3.208
(5926840) TC: TC-1 = 85.38, modeled = 68.28, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 11850, exptTempC = 50.00, TecRate = 3.155
(5926987) TC: TC-1 = 85.63, modeled = 68.74, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 12000, exptTempC = 50.00, TecRate = 3.029
(5927136) TC: TC-1 = 86.00, modeled = 69.19, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 12150, exptTempC = 50.00, TecRate = 3.003
(5927286) TC: TC-1 = 86.34, modeled = 69.63, target = 50.00, heatSink = -86.46, output = -100.0, timeout = 12300, exptTempC = 50.00, TecRate = 2.963
(5927435) TC: TC-1 = 86.65, modeled = 70.07, target = 50.00, heatSink = -86.43, output = -100.0, timeout = 12450, exptTempC = 50.00, TecRate = 2.909
(5927588) TC: TC-1 = 86.97, modeled = 70.51, target = 50.00, heatSink = -86.16, output = -100.0, timeout = 12600, exptTempC = 50.00, TecRate = 2.865
(5927737) TC: TC-1 = 87.16, modeled = 70.93, target = 50.00, heatSink = -86.35, output = -100.0, timeout = 12750, exptTempC = 50.00, TecRate = 2.695
(5927887) TC: TC-1 = 87.46, modeled = 71.33, target = 50.00, heatSink = -86.28, output = -100.0, timeout = 12900, exptTempC = 50.00, TecRate = 2.710
