[22]Set PCR TEC:  HEAT: True  POW: 100
(117596) RAW PELTIER: TC-1 = 22.1, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 0.0, output = 100.0
(117645) RAW PELTIER: TC-1 = 22.1, HSTemp = 22.0, modeled = 22.3, rawRR C/s = -0.0, output = 100.0
(117696) RAW PELTIER: TC-1 = 22.1, HSTemp = 22.0, modeled = 22.3, rawRR C/s = -0.0, output = 100.0
(117745) RAW PELTIER: TC-1 = 22.1, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 0.0, output = 100.0
(117796) RAW PELTIER: TC-1 = 22.1, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 0.1, output = 100.0
(117844) RAW PELTIER: TC-1 = 22.2, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 0.4, output = 100.0
(117896) RAW PELTIER: TC-1 = 22.2, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 0.8, output = 100.0
(117945) RAW PELTIER: TC-1 = 22.3, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 1.4, output = 100.0
(117996) RAW PELTIER: TC-1 = 22.4, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 2.3, output = 100.0
(118046) RAW PELTIER: TC-1 = 22.6, HSTemp = 22.0, modeled = 22.3, rawRR C/s = 3.3, output = 100.0
(118099) RAW PELTIER: TC-1 = 22.8, HSTemp = 22.0, modeled = 22.4, rawRR C/s = 4.1, output = 100.0
(118151) RAW PELTIER: TC-1 = 23.0, HSTemp = 22.0, modeled = 22.4, rawRR C/s = 5.0, output = 100.0
(118199) RAW PELTIER: TC-1 = 23.0, HSTemp = 22.0, modeled = 22.4, rawRR C/s = 5.0, output = 100.0
(118249) RAW PELTIER: TC-1 = 23.4, HSTemp = 22.0, modeled = 22.5, rawRR C/s = 5.8, output = 100.0
(118297) RAW PELTIER: TC-1 = 23.7, HSTemp = 22.0, modeled = 22.5, rawRR C/s = 6.6, output = 100.0
(118348) RAW PELTIER: TC-1 = 24.1, HSTemp = 22.0, modeled = 22.6, rawRR C/s = 7.4, output = 100.0
(118397) RAW PELTIER: TC-1 = 24.5, HSTemp = 22.0, modeled = 22.7, rawRR C/s = 8.0, output = 100.0
(118448) RAW PELTIER: TC-1 = 25.0, HSTemp = 22.0, modeled = 22.8, rawRR C/s = 8.5, output = 100.0
(118496) RAW PELTIER: TC-1 = 25.5, HSTemp = 22.0, modeled = 22.9, rawRR C/s = 8.8, output = 100.0
(118548) RAW PELTIER: TC-1 = 25.9, HSTemp = 22.0, modeled = 23.0, rawRR C/s = 9.0, output = 100.0
(118597) RAW PELTIER: TC-1 = 26.5, HSTemp = 22.0, modeled = 23.2, rawRR C/s = 9.5, output = 100.0
(118647) RAW PELTIER: TC-1 = 27.0, HSTemp = 22.0, modeled = 23.3, rawRR C/s = 9.8, output = 100.0
(118697) RAW PELTIER: TC-1 = 27.5, HSTemp = 22.0, modeled = 23.5, rawRR C/s = 9.8, output = 100.0
(118748) RAW PELTIER: TC-1 = 28.0, HSTemp = 22.0, modeled = 23.7, rawRR C/s = 10.3, output = 100.0
(118798) RAW PELTIER: TC-1 = 28.6, HSTemp = 22.0, modeled = 23.8, rawRR C/s = 10.2, output = 100.0
(118848) RAW PELTIER: TC-1 = 29.1, HSTemp = 22.0, modeled = 24.0, rawRR C/s = 10.4, output = 100.0
(118897) RAW PELTIER: TC-1 = 29.7, HSTemp = 22.0, modeled = 24.2, rawRR C/s = 10.8, output = 100.0
(118952) RAW PELTIER: TC-1 = 30.3, HSTemp = 22.0, modeled = 24.4, rawRR C/s = 11.0, output = 100.0
(119004) RAW PELTIER: TC-1 = 30.9, HSTemp = 22.0, modeled = 24.7, rawRR C/s = 11.1, output = 100.0
(119055) RAW PELTIER: TC-1 = 31.5, HSTemp = 22.0, modeled = 24.9, rawRR C/s = 11.2, output = 100.0
(119099) RAW PELTIER: TC-1 = 31.5, HSTemp = 22.0, modeled = 25.1, rawRR C/s = 11.2, output = 100.0
(119151) RAW PELTIER: TC-1 = 32.1, HSTemp = 22.0, modeled = 25.3, rawRR C/s = 11.2, output = 100.0
(119169) heapMonitor_checkFreeHeapSize: New heap low water mark 114848
(119200) RAW PELTIER: TC-1 = 32.7, HSTemp = 22.0, modeled = 25.6, rawRR C/s = 11.4, output = 100.0
(119251) RAW PELTIER: TC-1 = 33.3, HSTemp = 22.0, modeled = 25.8, rawRR C/s = 11.5, output = 100.0
(119300) RAW PELTIER: TC-1 = 33.9, HSTemp = 22.0, modeled = 26.1, rawRR C/s = 11.5, output = 100.0
(119352) RAW PELTIER: TC-1 = 34.5, HSTemp = 22.0, modeled = 26.4, rawRR C/s = 11.5, output = 100.0
(119400) RAW PELTIER: TC-1 = 35.1, HSTemp = 22.0, modeled = 26.6, rawRR C/s = 11.5, output = 100.0
(119451) RAW PELTIER: TC-1 = 35.7, HSTemp = 22.0, modeled = 26.9, rawRR C/s = 11.5, output = 100.0
(119500) RAW PELTIER: TC-1 = 36.3, HSTemp = 22.0, modeled = 27.2, rawRR C/s = 11.6, output = 100.0
(119551) RAW PELTIER: TC-1 = 37.0, HSTemp = 22.0, modeled = 27.5, rawRR C/s = 11.6, output = 100.0
(119600) RAW PELTIER: TC-1 = 37.6, HSTemp = 22.0, modeled = 27.8, rawRR C/s = 11.6, output = 100.0
(119651) RAW PELTIER: TC-1 = 38.2, HSTemp = 22.0, modeled = 28.1, rawRR C/s = 11.6, output = 100.0
(119700) RAW PELTIER: TC-1 = 38.8, HSTemp = 22.0, modeled = 28.4, rawRR C/s = 11.6, output = 100.0
(119751) RAW PELTIER: TC-1 = 39.4, HSTemp = 22.0, modeled = 28.8, rawRR C/s = 11.5, output = 100.0
(119800) RAW PELTIER: TC-1 = 40.0, HSTemp = 22.0, modeled = 29.1, rawRR C/s = 11.5, output = 100.0
(119853) RAW PELTIER: TC-1 = 40.6, HSTemp = 22.0, modeled = 29.4, rawRR C/s = 11.5, output = 100.0
(119906) RAW PELTIER: TC-1 = 41.2, HSTemp = 22.0, modeled = 29.8, rawRR C/s = 11.5, output = 100.0
(119958) RAW PELTIER: TC-1 = 41.8, HSTemp = 22.0, modeled = 30.1, rawRR C/s = 11.4, output = 100.0
(120002) RAW PELTIER: TC-1 = 41.8, HSTemp = 22.0, modeled = 30.4, rawRR C/s = 11.4, output = 100.0
(120053) RAW PELTIER: TC-1 = 42.4, HSTemp = 22.0, modeled = 30.7, rawRR C/s = 11.4, output = 100.0
(120102) RAW PELTIER: TC-1 = 43.0, HSTemp = 22.0, modeled = 31.0, rawRR C/s = 11.3, output = 100.0
(120153) RAW PELTIER: TC-1 = 43.6, HSTemp = 22.0, modeled = 31.4, rawRR C/s = 11.3, output = 100.0
(120202) RAW PELTIER: TC-1 = 44.3, HSTemp = 22.0, modeled = 31.7, rawRR C/s = 11.3, output = 100.0
(120253) RAW PELTIER: TC-1 = 44.9, HSTemp = 22.0, modeled = 32.1, rawRR C/s = 11.2, output = 100.0
(120302) RAW PELTIER: TC-1 = 45.4, HSTemp = 22.0, modeled = 32.4, rawRR C/s = 11.2, output = 100.0
(120354) RAW PELTIER: TC-1 = 46.0, HSTemp = 22.0, modeled = 32.7, rawRR C/s = 11.1, output = 100.0
(120402) RAW PELTIER: TC-1 = 46.6, HSTemp = 22.0, modeled = 33.1, rawRR C/s = 11.0, output = 100.0
(120453) RAW PELTIER: TC-1 = 47.2, HSTemp = 22.0, modeled = 33.4, rawRR C/s = 11.0, output = 100.0
(120502) RAW PELTIER: TC-1 = 47.8, HSTemp = 22.0, modeled = 33.8, rawRR C/s = 10.9, output = 100.0
(120554) RAW PELTIER: TC-1 = 48.4, HSTemp = 22.0, modeled = 34.2, rawRR C/s = 10.9, output = 100.0
(120602) RAW PELTIER: TC-1 = 48.9, HSTemp = 22.0, modeled = 34.5, rawRR C/s = 10.8, output = 100.0
(120653) RAW PELTIER: TC-1 = 49.5, HSTemp = 22.0, modeled = 34.9, rawRR C/s = 10.8, output = 100.0
(120704) RAW PELTIER: TC-1 = 50.1, HSTemp = 22.0, modeled = 35.2, rawRR C/s = 11.1, output = 100.0
