***Stage1 ON***
[77]TC TEC set to 50°C
(3092529) _setStage1TecTempC: TEC Set Temp 50.000000
(3092530) _resetThermalControlState: RESET Peltier 0 control state
(3092534) thermalControlSetTargetTempC: [0] MAX RAMPING  goto 50.0
(3092541) _setThermalControlState: thermalControl-0: changing state 3->1
(3092549) tecCurvePredictorSetHoldPower: Not setting hold Power for ST1
(3092556) thermalControlSetEnable: Enabling Peltier 0
(3106343) TC: TC-1 = 69.61, modeled = 44.58, target = 50.00, heatSink = -86.50, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 12.090
(3106496) TC: TC-1 = 72.02, modeled = 46.37, target = 50.00, heatSink = -86.74, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 11.874
(3106649) TC: TC-1 = 73.54, modeled = 48.05, target = 50.00, heatSink = -86.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 11.087
(3106792) TC: TC-1 = 75.72, modeled = 49.70, target = 50.00, heatSink = -86.40, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 10.931
(3106944) TC: TC-1 = 77.67, modeled = 51.31, target = 50.00, heatSink = -85.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 10.638
(3107093) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 52.875736, threshold: 50.200001
(3107096) TC: TC-1 = 79.47, modeled = 52.88, target = 50.00, heatSink = -86.47, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 10.303
(3107131) _setThermalControlState: thermalControl-1: changing state 1->3
(3107132) _setTempReachedCallback: Set Temp Reached
(3107239) TC: TC-1 = 81.12, modeled = 54.38, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 9.929
(3107388) TC: TC-1 = 82.13, modeled = 55.79, target = 50.00, heatSink = -86.82, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 9.172
(3107539) TC: TC-1 = 83.62, modeled = 57.14, target = 50.00, heatSink = -86.63, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 8.917
(3107688) TC: TC-1 = 84.92, modeled = 58.44, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 8.556
(3107839) TC: TC-1 = 86.08, modeled = 59.68, target = 50.00, heatSink = -86.74, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 8.171
(3107989) TC: TC-1 = 87.10, modeled = 60.87, target = 50.00, heatSink = -86.70, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 7.760
(3108142) TC: TC-1 = 88.09, modeled = 62.00, target = 50.00, heatSink = -86.62, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 7.417
(3108297) TC: TC-1 = 88.70, modeled = 63.06, target = 50.00, heatSink = -86.70, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.728
(3108442) TC: TC-1 = 89.55, modeled = 64.06, target = 50.00, heatSink = -86.62, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.574
(3108592) TC: TC-1 = 90.33, modeled = 65.02, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.299
(3108741) TC: TC-1 = 91.08, modeled = 65.94, target = 50.00, heatSink = -86.39, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 6.060
(3108892) TC: TC-1 = 91.76, modeled = 66.82, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.808
(3109042) TC: TC-1 = 92.37, modeled = 67.67, target = 50.00, heatSink = -86.58, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.547
(3109197) TC: TC-1 = 92.92, modeled = 68.48, target = 50.00, heatSink = -86.78, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 5.293
(3109342) TC: TC-1 = 93.27, modeled = 69.23, target = 50.00, heatSink = -86.82, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.956
(3109493) TC: TC-1 = 93.77, modeled = 69.95, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.777
(3109643) TC: TC-1 = 94.23, modeled = 70.65, target = 50.00, heatSink = -86.62, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.609
(3109794) TC: TC-1 = 94.66, modeled = 71.33, target = 50.00, heatSink = -86.70, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.440
(3109947) TC: TC-1 = 95.05, modeled = 71.97, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 4.273
(3110096) TC: TC-1 = 95.29, modeled = 72.59, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.970
(3110245) TC: TC-1 = 95.64, modeled = 73.18, target = 50.00, heatSink = -86.63, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.894
(3110396) TC: TC-1 = 95.97, modeled = 73.75, target = 50.00, heatSink = -86.31, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.774
(3110547) TC: TC-1 = 96.26, modeled = 74.31, target = 50.00, heatSink = -86.94, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.641
(3110698) TC: TC-1 = 96.51, modeled = 74.84, target = 50.00, heatSink = -86.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.510
(3110852) TC: TC-1 = 96.76, modeled = 75.36, target = 50.00, heatSink = -86.90, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.399
(3110998) TC: TC-1 = 96.93, modeled = 75.85, target = 50.00, heatSink = -86.94, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.241
(3111148) TC: TC-1 = 97.16, modeled = 76.32, target = 50.00, heatSink = -86.52, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.154
(3111298) TC: TC-1 = 97.37, modeled = 76.79, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 3.069
(3111447) TC: TC-1 = 97.58, modeled = 77.24, target = 50.00, heatSink = -86.78, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.991
(3111601) TC: TC-1 = 97.76, modeled = 77.68, target = 50.00, heatSink = -86.82, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.903
(3111750) TC: TC-1 = 97.88, modeled = 78.11, target = 50.00, heatSink = -86.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.755
(3111900) TC: TC-1 = 98.03, modeled = 78.51, target = 50.00, heatSink = -86.63, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.701
(3112050) TC: TC-1 = 98.19, modeled = 78.91, target = 50.00, heatSink = -85.82, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.639
(3112199) TC: TC-1 = 98.33, modeled = 79.30, target = 50.00, heatSink = -86.13, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.572
(3112350) TC: TC-1 = 98.47, modeled = 79.68, target = 50.00, heatSink = -86.59, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.520
(3112506) TC: TC-1 = 98.62, modeled = 80.06, target = 50.00, heatSink = -86.74, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.470
(3112652) TC: TC-1 = 98.70, modeled = 80.42, target = 50.00, heatSink = -86.90, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.379
(3112801) TC: TC-1 = 98.82, modeled = 80.77, target = 50.00, heatSink = -86.67, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.335
(3112953) TC: TC-1 = 98.95, modeled = 81.12, target = 50.00, heatSink = -86.74, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 2.296
