(9304031) systemRequestStateChange: System State Transition WARNING -> ERROR
(9304031) blePeriphNotifySubscription: ENTER NOTIFY
(9304034) systemRequestStateChange: Notify exit state change
***PCR ON***
[199]PCR TEC set to 50°C
(9316296) _setPcrTecTempC: TEC Set Temp 50.000000
(9316297) _resetThermalControlState: RESET Peltier 1 control state
(9316301) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9316308) _setThermalControlState: thermalControl-1: changing state 3->1
(9316315) tecCurvePredictorSetHoldPower: holdPower is NaN
(9316321) thermalControlSetEnable: Enabling Peltier 1
(9316424) TC: TC-1 = 22.00, modeled = 21.05, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.148
(9316579) TC: TC-1 = 22.00, modeled = 21.07, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.142
(9316722) TC: TC-1 = 22.01, modeled = 21.09, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.142
(9316873) TC: TC-1 = 22.01, modeled = 21.11, target = 50.00, heatSink = -85.75, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.138
(9317022) TC: TC-1 = 22.02, modeled = 21.13, target = 50.00, heatSink = -85.82, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.137
(9317173) TC: TC-1 = 22.03, modeled = 21.16, target = 50.00, heatSink = -85.93, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.137
(9317329) TC: TC-1 = 22.04, modeled = 21.18, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.138
(9317475) TC: TC-1 = 22.04, modeled = 21.20, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.135
(9317624) TC: TC-1 = 22.05, modeled = 21.22, target = 50.00, heatSink = -85.46, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.135
(9317775) TC: TC-1 = 22.06, modeled = 21.24, target = 50.00, heatSink = -86.13, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.132
(9317925) TC: TC-1 = 22.06, modeled = 21.26, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.132
(9318078) TC: TC-1 = 22.08, modeled = 21.28, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.136
(9318227) TC: TC-1 = 22.09, modeled = 21.30, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.133
(9318377) TC: TC-1 = 22.11, modeled = 21.32, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.143
(9318529) TC: TC-1 = 22.13, modeled = 21.34, target = 50.00, heatSink = -85.42, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.150
(9318677) TC: TC-1 = 22.15, modeled = 21.36, target = 50.00, heatSink = -86.09, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.155
(9318827) TC: TC-1 = 22.17, modeled = 21.39, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.157
(9318982) TC: TC-1 = 22.19, modeled = 21.41, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.162
(9319129) TC: TC-1 = 22.21, modeled = 21.44, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.165
(9319278) TC: TC-1 = 22.24, modeled = 21.46, target = 50.00, heatSink = -85.83, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.175
