(9622697) systemRequestStateChange: System State Transition WARNING -> ERROR
(9622697) blePeriphNotifySubscription: ENTER NOTIFY
(9622700) systemRequestStateChange: Notify exit state change
***PCR ON***
[203]PCR TEC set to 50°C
(9635906) _setPcrTecTempC: TEC Set Temp 50.000000
(9635907) _resetThermalControlState: RESET Peltier 1 control state
(9635911) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(9635918) _setThermalControlState: thermalControl-1: changing state 3->1
(9635925) tecCurvePredictorSetHoldPower: holdPower is NaN
(9635932) thermalControlSetEnable: Enabling Peltier 1
(9635947) TC: TC-1 = 22.19, modeled = 21.67, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.124
(9636090) TC: TC-1 = 22.21, modeled = 21.69, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.127
(9636240) TC: TC-1 = 22.23, modeled = 21.71, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.130
(9636396) TC: TC-1 = 22.24, modeled = 21.73, target = 50.00, heatSink = -85.89, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.127
(9636543) TC: TC-1 = 22.25, modeled = 21.75, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.121
(9636692) TC: TC-1 = 22.27, modeled = 21.77, target = 50.00, heatSink = -85.83, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.128
(9636843) TC: TC-1 = 22.29, modeled = 21.79, target = 50.00, heatSink = -85.72, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.130
(9636993) TC: TC-1 = 22.32, modeled = 21.81, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.135
(9637145) TC: TC-1 = 22.34, modeled = 21.83, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.137
(9637301) TC: TC-1 = 22.36, modeled = 21.85, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.134
(9637445) TC: TC-1 = 22.39, modeled = 21.87, target = 50.00, heatSink = -85.79, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.148
