***PCR ON***
[211]PCR TEC set to 50°C
(10892298) _setPcrTecTempC: TEC Set Temp 50.000000
(10892300) _resetThermalControlState: RESET Peltier 1 control state
(10892303) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(10892310) _setThermalControlState: thermalControl-1: changing state 3->1
(10892318) tecCurvePredictorSetHoldPower: holdPower is NaN
(10892324) thermalControlSetEnable: Enabling Peltier 1
(10892354) TC: TC-1 = 24.05, modeled = 21.38, target = 50.00, heatSink = -86.04, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.392
(10892508) TC: TC-1 = 24.07, modeled = 21.44, target = 50.00, heatSink = -86.04, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.386
(10892664) TC: TC-1 = 24.09, modeled = 21.49, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.376
(10892807) TC: TC-1 = 24.11, modeled = 21.55, target = 50.00, heatSink = -85.72, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.372
(10892957) TC: TC-1 = 24.13, modeled = 21.60, target = 50.00, heatSink = -85.56, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.366
(10893107) TC: TC-1 = 24.15, modeled = 21.66, target = 50.00, heatSink = -85.90, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.364
(10893258) TC: TC-1 = 24.17, modeled = 21.71, target = 50.00, heatSink = -86.08, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.360
(10893414) TC: TC-1 = 24.19, modeled = 21.77, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.357
(10893560) TC: TC-1 = 24.21, modeled = 21.82, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.346
(10893709) TC: TC-1 = 24.23, modeled = 21.87, target = 50.00, heatSink = -85.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.343
(10893860) TC: TC-1 = 24.24, modeled = 21.92, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.336
