(7682527) systemRequestStateChange: System State Transition WARNING -> ERROR
(7682527) blePeriphNotifySubscription: ENTER NOTIFY
(7682530) systemRequestStateChange: Notify exit state change
***PCR ON***
[187]PCR TEC set to 50°C
(7695936) _setPcrTecTempC: TEC Set Temp 50.000000
(7695940) _resetThermalControlState: RESET Peltier 1 control state
(7695941) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(7695948) _setThermalControlState: thermalControl-1: changing state 3->1
(7695955) tecCurvePredictorSetHoldPower: holdPower is NaN
(7695962) thermalControlSetEnable: Enabling Peltier 1
(7696051) TC: TC-1 = 23.31, modeled = 21.74, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.310
(7696203) TC: TC-1 = 23.33, modeled = 21.79, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.301
(7696348) TC: TC-1 = 23.37, modeled = 21.83, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.300
(7696499) TC: TC-1 = 23.40, modeled = 21.88, target = 50.00, heatSink = -85.83, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.296
(7696649) TC: TC-1 = 23.43, modeled = 21.92, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.292
(7696798) TC: TC-1 = 23.45, modeled = 21.96, target = 50.00, heatSink = -86.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.285
(7696952) TC: TC-1 = 23.48, modeled = 22.00, target = 50.00, heatSink = -86.16, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.281
(7697107) TC: TC-1 = 23.50, modeled = 22.05, target = 50.00, heatSink = -86.19, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.268
(7697252) TC: TC-1 = 23.53, modeled = 22.09, target = 50.00, heatSink = -86.27, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.271
(7697401) TC: TC-1 = 23.56, modeled = 22.13, target = 50.00, heatSink = -85.76, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.272
(7697551) TC: TC-1 = 23.59, modeled = 22.17, target = 50.00, heatSink = -85.68, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.273
(7697701) TC: TC-1 = 23.62, modeled = 22.21, target = 50.00, heatSink = -86.23, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.273
(7697852) TC: TC-1 = 23.66, modeled = 22.25, target = 50.00, heatSink = -86.04, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.274
(7698010) TC: TC-1 = 23.69, modeled = 22.29, target = 50.00, heatSink = -86.05, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.274
(7698157) TC: TC-1 = 23.71, modeled = 22.33, target = 50.00, heatSink = -86.01, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.266
(7698306) TC: TC-1 = 23.75, modeled = 22.37, target = 50.00, heatSink = -85.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.273
(7698456) TC: TC-1 = 23.79, modeled = 22.41, target = 50.00, heatSink = -85.76, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.281
(7698607) TC: TC-1 = 23.83, modeled = 22.46, target = 50.00, heatSink = -86.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.286
(7698757) TC: TC-1 = 23.88, modeled = 22.50, target = 50.00, heatSink = -86.20, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.293
(7698915) TC: TC-1 = 23.92, modeled = 22.54, target = 50.00, heatSink = -86.24, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.299
