(3837566) TC: TC-1 = 27.85, modeled = 25.64, target = 50.00, heatSink = -89.26, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.232
(3837716) TC: TC-1 = 27.85, modeled = 25.68, target = 50.00, heatSink = -89.59, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.228
(3837867) TC: TC-1 = 27.84, modeled = 25.71, target = 50.00, heatSink = -89.81, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.222
(3838023) TC: TC-1 = 27.83, modeled = 25.74, target = 50.00, heatSink = -89.40, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.219
(3838174) TC: TC-1 = 27.83, modeled = 25.78, target = 50.00, heatSink = -90.07, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.217
(3838320) TC: TC-1 = 27.82, modeled = 25.81, target = 50.00, heatSink = -89.87, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.208
(3838470) TC: TC-1 = 27.82, modeled = 25.84, target = 50.00, heatSink = -89.66, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.205
(3838621) TC: TC-1 = 27.81, modeled = 25.87, target = 50.00, heatSink = -89.52, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.203
(3838770) TC: TC-1 = 27.81, modeled = 25.90, target = 50.00, heatSink = -89.92, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.198
(3838924) TC: TC-1 = 27.80, modeled = 25.93, target = 50.00, heatSink = -89.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.194
(3839080) TC: TC-1 = 27.80, modeled = 25.96, target = 50.00, heatSink = -90.35, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.194
(3839223) TC: TC-1 = 27.79, modeled = 25.99, target = 50.00, heatSink = -89.97, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.188
(3839375) TC: TC-1 = 27.79, modeled = 26.01, target = 50.00, heatSink = -89.75, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.184
(3839524) TC: TC-1 = 27.78, modeled = 26.04, target = 50.00, heatSink = -89.86, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.180
(3839674) TC: TC-1 = 27.78, modeled = 26.07, target = 50.00, heatSink = -90.13, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.175
(3839830) TC: TC-1 = 27.78, modeled = 26.09, target = 50.00, heatSink = -90.24, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.177
(3839976) TC: TC-1 = 27.78, modeled = 26.12, target = 50.00, heatSink = -90.40, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.182
(3840125) TC: TC-1 = 27.80, modeled = 26.15, target = 50.00, heatSink = -89.76, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.194
(3840277) TC: TC-1 = 27.82, modeled = 26.18, target = 50.00, heatSink = -89.81, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.203
(3840426) TC: TC-1 = 27.83, modeled = 26.21, target = 50.00, heatSink = -89.73, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.211
(3840579) TC: TC-1 = 27.86, modeled = 26.24, target = 50.00, heatSink = -90.02, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.220
(3840728) TC: TC-1 = 27.87, modeled = 26.28, target = 50.00, heatSink = -90.12, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.219
(3840879) TC: TC-1 = 27.90, modeled = 26.31, target = 50.00, heatSink = -89.74, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.235
(3841030) TC: TC-1 = 27.95, modeled = 26.35, target = 50.00, heatSink = -88.83, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.255
(3841180) TC: TC-1 = 28.01, modeled = 26.39, target = 50.00, heatSink = -90.13, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.284
(3841330) TC: TC-1 = 28.08, modeled = 26.43, target = 50.00, heatSink = -89.63, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.318
(3841487) TC: TC-1 = 28.16, modeled = 26.49, target = 50.00, heatSink = -90.29, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.350
(3841632) TC: TC-1 = 28.22, modeled = 26.54, target = 50.00, heatSink = -90.40, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.360
(3841782) TC: TC-1 = 28.31, modeled = 26.59, target = 50.00, heatSink = -90.02, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.386
(3841931) TC: TC-1 = 28.39, modeled = 26.65, target = 50.00, heatSink = -89.84, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.404
(3842082) TC: TC-1 = 28.47, modeled = 26.72, target = 50.00, heatSink = -90.03, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.416
(3842236) TC: TC-1 = 28.54, modeled = 26.78, target = 50.00, heatSink = -90.13, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.425
(3842384) TC: TC-1 = 28.59, modeled = 26.84, target = 50.00, heatSink = -89.96, output = 0.0, timeout = 0, exptTempC = 50.00, TecRate = 0.413
