***PCR ON***
[41]PCR TEC set to 50°C
(96141) _setPcrTecTempC: TEC Set Temp 50.000000
(96142) _resetThermalControlState: RESET Peltier 1 control state
(96145) thermalControlSetTargetTempC: [1] MAX RAMPING  goto 50.0
(96152) _setThermalControlState: thermalControl-1: changing state 3->1
(96159) tecCurvePredictorSetHoldPower: holdPower is NaN
(96165) thermalControlSetEnable: Enabling Peltier 1
(101784) TC: TC-1 = 24.95, modeled = 22.50, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 5600, exptTempC = 0.00, TecRate = 0.740
(101935) TC: TC-1 = 26.17, modeled = 22.70, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 5750, exptTempC = 0.00, TecRate = 1.683
(102092) TC: TC-1 = 27.45, modeled = 23.04, target = 50.00, heatSink = -85.90, output = 100.0, timeout = 5900, exptTempC = 0.00, TecRate = 2.151
(102235) TC: TC-1 = 29.96, modeled = 23.56, target = 50.00, heatSink = -86.16, output = 100.0, timeout = 6050, exptTempC = 0.00, TecRate = 4.001
(102386) TC: TC-1 = 32.83, modeled = 24.31, target = 50.00, heatSink = -85.57, output = 100.0, timeout = 6200, exptTempC = 0.00, TecRate = 5.514
(102535) TC: TC-1 = 35.85, modeled = 25.28, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 6350, exptTempC = 0.00, TecRate = 6.844
(102686) TC: TC-1 = 38.91, modeled = 26.42, target = 50.00, heatSink = -86.19, output = 100.0, timeout = 6500, exptTempC = 0.00, TecRate = 7.969
(102841) TC: TC-1 = 42.00, modeled = 27.71, target = 50.00, heatSink = -85.97, output = 100.0, timeout = 6650, exptTempC = 0.00, TecRate = 8.913
(102987) TC: TC-1 = 44.00, modeled = 29.02, target = 50.00, heatSink = -85.86, output = 100.0, timeout = 6800, exptTempC = 0.00, TecRate = 8.885
(103138) TC: TC-1 = 46.90, modeled = 30.42, target = 50.00, heatSink = -85.57, output = 100.0, timeout = 6950, exptTempC = 0.00, TecRate = 9.518
(103287) TC: TC-1 = 49.48, modeled = 31.88, target = 50.00, heatSink = -85.89, output = 100.0, timeout = 7100, exptTempC = 0.00, TecRate = 9.798
(103436) TC: TC-1 = 51.88, modeled = 33.37, target = 50.00, heatSink = -85.94, output = 100.0, timeout = 7250, exptTempC = 0.00, TecRate = 9.924
(103590) TC: TC-1 = 54.28, modeled = 34.87, target = 50.00, heatSink = -86.01, output = 100.0, timeout = 7400, exptTempC = 0.00, TecRate = 10.059
(103745) TC: TC-1 = 55.81, modeled = 36.33, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 7550, exptTempC = 0.00, TecRate = 9.186
(103889) TC: TC-1 = 58.06, modeled = 37.77, target = 50.00, heatSink = -86.23, output = 100.0, timeout = 7700, exptTempC = 0.00, TecRate = 9.616
(104040) TC: TC-1 = 60.15, modeled = 39.21, target = 50.00, heatSink = -85.60, output = 100.0, timeout = 7850, exptTempC = 0.00, TecRate = 9.587
(104189) TC: TC-1 = 62.08, modeled = 40.64, target = 50.00, heatSink = -85.79, output = 100.0, timeout = 8000, exptTempC = 0.00, TecRate = 9.462
(104340) TC: TC-1 = 63.90, modeled = 42.04, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 8150, exptTempC = 0.00, TecRate = 9.299
(104495) TC: TC-1 = 65.64, modeled = 43.42, target = 50.00, heatSink = -86.04, output = 100.0, timeout = 8300, exptTempC = 0.00, TecRate = 9.117
(104642) TC: TC-1 = 66.76, modeled = 44.72, target = 50.00, heatSink = -86.08, output = 100.0, timeout = 8450, exptTempC = 0.00, TecRate = 8.535
(104798) TC: TC-1 = 68.43, modeled = 45.99, target = 50.00, heatSink = -85.86, output = 50.0, timeout = 8600, exptTempC = 0.00, TecRate = 8.472
(104948) TC: TC-1 = 69.97, modeled = 47.25, target = 50.00, heatSink = -85.97, output = -100.0, timeout = 8700, exptTempC = 0.00, TecRate = 8.312
(105098) TC: TC-1 = 71.36, modeled = 48.47, target = 50.00, heatSink = -85.86, output = -100.0, timeout = 8850, exptTempC = 0.00, TecRate = 8.079
(105250) TC: TC-1 = 72.70, modeled = 49.66, target = 50.00, heatSink = -85.94, output = -100.0, timeout = 9000, exptTempC = 0.00, TecRate = 7.866
(105402) TC: TC-1 = 73.55, modeled = 50.78, target = 50.00, heatSink = -85.79, output = -100.0, timeout = 9150, exptTempC = 0.00, TecRate = 7.351
(105547) TC: TC-1 = 74.81, modeled = 51.87, target = 50.00, heatSink = -85.93, output = -100.0, timeout = 9300, exptTempC = 0.00, TecRate = 7.229
(105597) _thermalBrakeCheck: HEATING MAX RAMP: SWITCH to STEADY STATE - THERMAL BRAKE! model: 52.229557, threshold: 50.200001
(105633) _setThermalControlState: thermalControl-1: changing state 1->3
(105634) _setTempReachedCallback: Set Temp Reached
(105689) TC: TC-1 = 75.97, modeled = 52.94, target = 50.00, heatSink = -85.25, output = -55.3, timeout = 9450, exptTempC = 50.00, TecRate = 7.054
(105840) TC: TC-1 = 77.05, modeled = 53.98, target = 50.00, heatSink = -85.90, output = -100.0, timeout = 9600, exptTempC = 50.00, TecRate = 6.861
(105990) TC: TC-1 = 78.07, modeled = 54.99, target = 50.00, heatSink = -86.19, output = -100.0, timeout = 9750, exptTempC = 50.00, TecRate = 6.675
(106147) TC: TC-1 = 79.06, modeled = 55.97, target = 50.00, heatSink = -86.27, output = -100.0, timeout = 9900, exptTempC = 50.00, TecRate = 6.494
(106292) TC: TC-1 = 79.71, modeled = 56.89, target = 50.00, heatSink = -86.08, output = -100.0, timeout = 10050, exptTempC = 50.00, TecRate = 6.118
(106442) TC: TC-1 = 80.64, modeled = 57.79, target = 50.00, heatSink = -85.54, output = -100.0, timeout = 10200, exptTempC = 50.00, TecRate = 6.002
