Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: JW
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
23,432,243,24,34,46,66,38
23,430,242,24,34,46,66,38
23,429,241,24,34,46,66,38
23,428,241,25,34,46,66,37
23,427,240,24,34,46,66,37
23,427,240,25,34,46,66,37
23,426,240,24,34,46,66,37
23,426,239,24,34,46,66,37
23,426,239,24,34,46,66,37
23,425,239,24,34,46,66,37
23,425,239,24,34,46,66,37
23,427,240,24,34,46,66,37
23,425,239,24,34,46,66,37
23,424,239,25,34,46,66,37
23,425,239,25,34,46,66,37
23,424,238,25,34,46,66,37
23,426,239,24,34,46,66,37
23,425,239,24,34,46,66,37
23,424,238,24,34,46,65,37
23,423,238,24,34,46,65,37
23,423,238,24,34,46,65,37
23,423,238,24,34,46,65,37
23,425,239,24,34,46,66,37
23,425,239,24,34,46,66,37
23,423,238,24,34,46,65,37
23,425,239,24,34,46,66,37
23,425,239,24,34,46,66,37
23,423,238,25,34,46,65,37
23,422,238,24,34,46,65,37
23,422,238,24,34,46,65,37

Passed test

Comments:
