Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: JW
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
23,423,236,24,34,44,65,37
23,423,236,24,33,44,65,37
23,421,234,24,33,44,64,36
22,420,234,24,33,44,64,36
22,420,234,24,33,44,64,36
23,419,233,24,33,44,64,36
23,420,234,24,33,44,64,36
22,419,233,24,33,44,64,36
22,418,233,24,33,44,64,36
22,418,233,24,33,44,64,36
22,418,233,24,33,44,64,36
22,417,232,24,33,44,64,36
22,417,232,24,33,44,64,36
22,417,232,24,33,44,64,36
22,417,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,418,233,24,33,44,64,36
22,416,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,418,233,24,33,44,64,36
22,416,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,418,233,24,33,44,64,36
22,416,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,416,232,24,33,44,64,36
22,415,232,24,33,44,64,36

Passed test

Comments:
