Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: JW
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
25,442,254,26,36,48,68,39
24,441,253,26,36,48,68,39
24,439,252,26,36,48,68,39
24,439,252,26,36,48,68,39
24,439,252,26,36,48,68,39
24,438,251,26,36,48,68,39
24,439,252,26,36,48,68,39
24,437,251,26,36,48,68,39
24,437,251,26,35,48,67,39
24,437,250,26,36,48,67,39
24,437,250,26,35,48,67,39
24,436,250,26,35,48,67,39
24,436,250,26,36,48,67,39
24,435,250,26,36,48,67,39
24,437,251,26,36,48,68,39
24,435,250,26,36,48,67,39
24,435,249,26,36,48,67,39
24,436,250,26,36,48,68,39
24,435,249,26,36,48,67,39
24,434,249,26,36,48,67,39
24,435,249,26,36,48,67,39
24,434,249,26,36,48,67,39
24,433,249,26,36,48,67,39
24,433,249,26,36,48,67,39
24,434,249,26,36,48,67,39
24,433,249,26,36,48,67,39
24,433,249,26,36,48,67,39
24,433,249,26,36,48,67,39
24,433,249,26,36,48,67,39
24,433,249,26,36,48,67,39

Passed test

Comments:
