,Activation,Heat Kill,Ramp Rate
82,62.26,89.27,
83,62.26,89.33,
84,62.29,89.3,
85,62.27,89.39,
86,62.31,89.3,
87,62.31,89.33,
88,62.35,89.34,
89,62.37,89.35,
90,62.34,89.36,
91,62.35,89.35,
92,62.37,89.35,
93,62.42,89.38,
94,62.43,89.4,
95,62.45,89.35,
96,62.48,89.38,
97,62.44,89.4,
98,62.45,89.39,
99,62.5,89.41,
100,62.48,89.4,
101,62.53,89.42,
102,62.51,89.42,
103,62.57,89.44,
104,62.56,89.41,
105,62.57,89.4,
106,62.57,89.44,
107,62.58,89.44,
108,62.64,89.45,
109,62.61,89.42,
110,62.64,89.47,
111,62.68,89.52,
112,62.65,89.47,
113,62.68,89.44,
114,62.67,89.45,
115,62.68,89.43,
116,62.74,89.43,
117,62.74,89.46,
118,62.72,89.5,
119,62.75,89.51,
120,62.72,89.49,
121,62.74,89.5,
122,62.86,89.45,
123,62.77,89.52,
124,62.8,89.55,
125,62.79,89.59,
126,62.81,89.51,
127,62.8,89.57,
128,62.81,89.54,
129,62.84,89.51,
130,62.89,89.51,
131,62.89,89.54,
132,62.89,89.52,
133,62.89,89.51,
134,62.88,89.53,
135,62.95,89.53,
136,62.89,89.55,
137,62.93,89.54,
138,62.94,89.57,
139,62.98,89.57,
140,62.97,89.57,
141,62.98,89.58,
142,62.95,89.57,
143,62.97,89.59,
144,62.99,89.57,
145,62.98,89.6,
146,63.01,89.57,
147,63.0,89.56,
148,63.06,89.58,
149,63.05,89.62,
150,63.11,89.56,
151,63.05,89.7,
152,63.07,89.61,
153,63.08,89.6,
154,63.1,89.58,
155,63.08,89.61,
156,63.11,89.62,
157,63.19,89.63,
158,63.12,89.63,
159,63.12,89.67,
160,63.13,89.59,
161,63.14,89.62,
162,63.17,89.64,
163,63.18,89.64,
164,63.18,89.64,
165,63.18,89.65,
166,63.18,89.63,
167,63.23,89.76,
168,63.22,89.65,
169,63.2,89.65,
170,63.22,89.68,
171,63.22,89.65,
172,63.24,89.7,
173,63.26,89.61,
174,63.24,89.72,
175,63.27,89.64,
176,63.26,89.66,
177,63.25,89.68,
178,63.3,89.7,
179,63.3,89.66,
180,63.31,89.75,
181,63.37,89.68,
182,63.32,89.68,
183,63.32,89.71,
184,63.33,89.69,
185,63.31,89.68,
186,63.33,89.71,
187,63.35,89.68,
188,63.32,89.76,
189,63.37,89.7,
190,63.34,89.7,
191,63.44,89.71,
192,63.4,89.77,
193,63.38,89.74,
194,63.42,89.71,
195,63.33,89.75,
196,63.4,89.71,
197,63.4,89.74,
198,63.42,89.7,
199,63.4,89.73,
200,63.43,89.72,
201,63.43,89.72,
202,63.44,89.76,
203,63.49,89.73,
204,63.43,89.76,
205,,89.83,
206,,89.76,
207,,89.75,
208,,89.76,
209,,89.74,
210,,89.76,
211,,89.85,
212,,89.77,
213,,89.77,
214,,89.77,
215,,89.77,
216,,89.77,
217,,89.76,
218,,89.75,
219,,89.75,
220,,89.77,
221,,89.78,
222,,89.77,
223,,89.77,
224,,89.81,
225,,89.77,
226,,89.78,
227,,89.8,
228,,89.81,
229,,89.8,
230,,89.76,
231,,89.84,
232,,89.81,
233,,89.89,
234,,89.81,
235,,89.83,
236,,89.87,
237,,89.81,
238,,89.81,
239,,89.79,
240,,89.88,
241,,89.79,
242,,89.81,
243,,89.86,
244,,89.85,
245,,89.82,
246,,89.85,
247,,89.81,
248,,89.8,
249,,89.8,
250,,89.8,
251,,89.9,
252,,89.88,
253,,89.86,
254,,89.86,
255,,89.9,
256,,89.89,
257,,89.84,
258,,89.83,
259,,89.86,
260,,89.82,
261,,89.86,
262,,89.93,
263,,89.84,
264,,89.88,
265,,89.83,
266,,89.94,
267,,89.92,
268,,89.83,
269,,89.85,
