,Activation,Heat Kill,Ramp Rate
0,58.66,89.37,63.0
1,59.53,89.5,62.99
2,60.23,89.77,62.91
3,60.92,89.94,63.01
4,61.58,90.1,63.01
5,62.11,90.19,63.11
6,62.59,90.3,63.08
7,63.0,90.33,63.15
8,63.25,90.33,63.29
9,63.58,90.27,63.32
10,63.71,90.22,63.44
11,63.71,90.12,63.68
12,63.9,90.07,64.02
13,63.8,89.98,64.53
14,63.9,89.95,65.07
15,63.87,89.85,65.68
16,63.75,89.75,66.35
17,63.76,89.72,66.99
18,63.61,89.6,67.66
19,63.65,89.6,68.24
20,63.45,89.54,68.85
21,63.39,89.61,69.46
22,63.3,89.5,70.04
23,63.33,89.47,70.57
24,63.2,89.44,71.13
25,63.13,89.42,71.71
26,63.09,89.41,72.25
27,63.04,89.38,72.8
28,63.07,89.35,73.28
29,62.95,89.36,73.81
30,62.9,89.33,74.24
31,62.89,89.3,74.8
32,62.85,89.27,75.2
33,62.89,89.23,75.7
34,62.83,89.22,76.19
35,62.77,89.22,76.62
36,62.71,89.21,77.13
37,62.7,89.13,77.56
38,62.72,89.17,77.96
39,62.79,89.06,78.48
40,62.91,89.11,78.82
41,62.78,89.1,79.25
42,62.76,89.08,79.61
43,62.85,89.05,80.03
44,62.77,88.94,80.39
45,62.83,89.02,80.71
46,62.75,89.0,81.14
47,62.7,88.98,81.42
48,62.71,88.97,81.75
49,62.72,88.94,82.14
50,62.8,88.94,82.51
51,62.7,88.94,82.83
52,62.7,88.92,83.15
53,62.78,88.9,83.54
54,62.77,88.88,83.77
55,62.78,88.84,84.08
56,62.76,88.83,84.34
57,62.76,88.83,84.71
58,62.71,88.82,85.0
59,62.75,88.79,85.24
60,62.71,88.79,85.57
61,62.7,88.69,85.79
62,62.76,88.78,86.05
63,62.79,88.77,86.3
64,62.69,88.77,86.59
65,62.69,88.68,86.84
66,62.68,88.72,87.11
67,62.77,88.7,87.36
68,62.7,88.7,87.49
69,62.68,88.68,87.81
70,62.67,88.69,88.04
71,62.68,88.68,88.28
72,62.78,88.64,88.51
73,62.68,88.65,88.79
74,62.68,88.65,88.88
75,62.66,88.64,89.15
76,62.75,88.64,89.37
77,62.74,88.6,89.5
78,62.69,88.59,
79,62.69,88.57,
80,62.76,88.6,
81,62.67,88.59,
82,62.69,88.51,
83,62.76,88.53,
84,62.78,88.57,
85,62.77,88.57,
86,62.68,88.57,
87,62.71,88.55,
88,62.69,88.54,
89,62.78,88.55,
90,62.68,88.47,
91,62.69,88.48,
92,62.7,88.52,
93,62.7,88.44,
94,62.68,88.49,
95,62.78,88.43,
96,62.75,88.5,
97,62.78,88.42,
98,62.78,88.42,
99,62.78,88.46,
100,62.68,88.45,
101,62.68,88.46,
102,62.71,88.46,
103,62.78,88.46,
104,62.72,88.45,
105,62.79,88.39,
106,62.71,88.45,
107,62.74,88.45,
108,62.63,88.37,
109,62.72,88.45,
110,62.73,88.43,
111,62.71,88.44,
112,62.74,88.35,
113,62.79,88.45,
114,62.72,88.42,
115,62.71,88.34,
116,62.72,88.43,
117,62.73,88.4,
118,62.8,88.43,
119,62.74,88.41,
120,62.7,88.41,
121,62.74,88.35,
122,62.75,88.41,
123,62.74,88.42,
124,62.76,88.39,
125,62.76,88.32,
126,62.75,88.39,
127,62.77,88.37,
128,62.76,88.37,
129,62.83,88.38,
130,62.77,88.37,
131,62.78,88.38,
132,62.74,88.29,
133,62.78,88.3,
134,62.78,88.38,
135,62.78,88.38,
136,62.77,88.32,
137,62.84,88.4,
138,62.86,88.39,
139,62.76,88.28,
140,62.78,88.31,
141,62.81,88.28,
142,62.78,88.39,
143,62.78,88.31,
144,62.79,88.32,
145,62.78,88.36,
146,62.79,88.31,
147,62.81,88.33,
148,62.76,88.36,
149,62.8,88.39,
150,62.76,88.3,
151,62.82,88.36,
152,62.82,88.36,
153,62.8,88.36,
154,62.79,88.34,
155,62.85,88.3,
156,62.84,88.39,
157,62.9,88.35,
158,62.86,88.35,
159,62.86,88.37,
160,62.82,88.27,
161,62.86,88.38,
162,62.84,88.35,
163,62.79,88.3,
164,62.89,88.35,
165,62.85,88.4,
166,62.94,88.36,
167,62.87,88.29,
168,62.88,88.39,
169,62.88,88.33,
170,62.88,88.3,
171,62.89,88.31,
172,62.93,88.35,
173,62.9,88.35,
174,62.89,88.35,
175,62.91,88.32,
176,62.89,88.28,
177,62.9,88.35,
178,62.88,88.37,
179,62.92,88.31,
180,62.91,88.35,
181,62.93,88.37,
182,62.89,88.38,
183,62.91,88.35,
184,62.94,88.37,
185,62.94,88.29,
186,62.92,88.38,
187,62.94,88.38,
188,62.94,88.36,
189,62.94,88.28,
190,62.95,88.3,
191,63.01,88.36,
192,62.94,88.38,
193,62.95,88.3,
194,62.97,88.36,
195,62.94,88.35,
196,62.94,88.37,
197,62.96,88.37,
198,62.97,88.38,
199,62.96,88.38,
200,62.89,88.33,
201,62.96,88.31,
202,62.95,88.38,
203,62.96,88.38,
204,,88.36,
205,,88.37,
206,,88.33,
207,,88.4,
208,,88.39,
209,,88.32,
210,,88.33,
211,,88.33,
212,,88.34,
213,,88.37,
214,,88.35,
215,,88.32,
216,,88.32,
217,,88.39,
218,,88.4,
219,,88.39,
220,,88.34,
221,,88.4,
222,,88.39,
223,,88.39,
224,,88.4,
225,,88.35,
226,,88.4,
227,,88.4,
228,,88.43,
229,,88.45,
230,,88.44,
231,,88.42,
232,,88.41,
233,,88.42,
234,,88.35,
235,,88.39,
236,,88.43,
237,,88.45,
238,,88.45,
239,,88.42,
240,,88.42,
241,,88.42,
242,,88.37,
243,,88.45,
244,,88.43,
245,,88.43,
246,,88.45,
247,,88.45,
248,,88.46,
249,,88.38,
250,,88.45,
251,,88.45,
252,,88.45,
253,,88.46,
254,,88.46,
255,,88.45,
256,,88.43,
257,,88.43,
258,,88.46,
259,,88.37,
260,,88.46,
261,,88.46,
262,,88.45,
263,,88.45,
264,,88.39,
265,,88.47,
266,,88.41,
267,,88.4,
268,,88.48,
269,,88.48,
270,,88.48,
271,,88.41,
272,,88.41,
273,,88.43,
274,,88.48,
275,,88.49,
276,,88.46,
277,,88.49,
278,,88.42,
279,,88.42,
280,,88.48,
281,,88.46,
282,,88.52,
283,,88.47,
284,,88.51,
285,,88.47,
286,,88.51,
287,,88.48,
288,,88.5,
289,,88.52,
290,,88.49,
291,,88.44,
292,,88.51,
293,,88.51,
294,,88.57,
295,,88.54,
296,,88.57,
297,,88.63,
298,,88.58,
299,,88.62,
300,,88.51,
301,,88.53,
302,,88.44,
303,,88.48,
304,,88.47,
305,,88.46,
306,,88.46,
307,,88.44,
308,,88.44,
309,,88.42,
310,,88.41,
311,,88.42,
312,,88.35,
313,,88.38,
314,,88.41,
315,,88.43,
316,,88.35,
317,,88.45,
318,,88.44,
319,,88.41,
320,,88.43,
321,,88.36,
322,,88.34,
323,,88.34,
324,,88.37,
325,,88.4,
326,,88.35,
327,,88.4,
328,,88.41,
329,,88.41,
330,,88.44,
331,,88.44,
332,,88.43,
333,,88.43,
334,,88.36,
335,,88.42,
336,,88.39,
337,,88.44,
338,,88.45,
339,,88.45,
340,,88.38,
341,,88.42,
342,,88.45,
343,,88.4,
344,,88.37,
345,,88.43,
346,,88.46,
347,,88.4,
348,,88.4,
349,,88.4,
350,,88.46,
351,,88.46,
352,,88.49,
353,,88.47,
354,,88.47,
355,,88.49,
356,,88.41,
357,,88.49,
358,,88.41,
359,,88.46,
360,,88.5,
361,,88.43,
362,,88.47,
363,,88.52,
364,,88.41,
365,,88.48,
366,,88.42,
367,,88.51,
368,,88.55,
369,,88.51,
370,,88.5,
371,,88.51,
372,,88.44,
373,,88.46,
374,,88.47,
375,,88.54,
376,,88.46,
377,,88.49,
378,,88.55,
379,,88.51,
380,,88.51,
