,Activation,Heat Kill,Ramp Rate
0,61.44,91.12,64.24
1,61.78,91.28,64.25
2,62.05,91.38,64.24
3,62.16,91.44,64.23
4,62.28,91.42,64.28
5,62.36,91.44,64.41
6,62.43,91.39,64.88
7,62.49,91.35,65.14
8,62.53,91.26,65.6
9,62.48,91.16,66.69
10,62.48,91.08,68.47
11,62.46,90.98,69.6
12,62.39,90.84,69.91
13,62.35,90.84,70.0
14,62.31,90.8,70.0
15,62.13,90.77,70.18
16,62.01,90.75,70.58
17,61.9,90.7,71.26
18,61.81,90.69,72.0
19,61.66,90.66,73.15
20,61.54,90.68,74.31
21,61.39,90.61,75.24
22,61.26,90.58,75.87
23,61.11,90.6,76.45
24,61.01,90.52,76.87
25,61.04,90.56,77.22
26,61.01,90.54,77.54
27,61.07,90.51,78.0
28,61.11,90.51,78.38
29,61.12,90.52,78.84
30,61.12,90.5,79.16
31,61.1,90.46,79.39
32,61.13,90.52,79.55
33,61.16,90.48,79.77
34,61.18,90.51,79.94
35,61.19,90.45,80.23
36,61.15,90.48,80.5
37,61.16,90.42,80.82
38,61.19,90.46,81.18
39,61.22,90.43,81.52
40,61.28,90.41,81.84
41,61.28,90.44,82.24
42,61.27,90.48,82.56
43,61.32,90.42,82.96
44,61.3,90.4,83.34
45,61.33,90.43,83.7
46,61.39,90.41,83.98
47,61.49,90.4,84.25
48,61.45,90.4,84.57
49,61.47,90.43,84.85
50,61.53,90.39,85.11
51,61.49,90.41,85.41
52,61.56,90.41,85.67
53,61.66,90.45,85.99
54,61.61,90.41,86.19
55,61.68,90.46,86.47
56,61.67,90.41,86.71
57,61.72,90.43,86.94
58,61.72,90.44,87.16
59,61.72,90.43,87.48
60,61.77,90.48,87.67
61,61.81,90.41,87.94
62,61.84,90.47,88.19
63,61.9,90.46,88.4
64,61.89,90.48,88.67
65,61.91,90.48,88.85
66,61.97,90.38,89.03
67,61.96,90.45,89.33
68,61.99,90.45,89.52
69,62.04,90.51,89.69
70,62.07,90.46,89.98
71,62.07,90.45,90.11
72,62.14,90.47,90.34
73,62.13,90.52,90.56
74,62.23,90.47,90.72
75,62.24,90.41,90.94
76,62.26,90.51,91.12
77,62.25,90.48,91.28
78,62.31,90.52,
79,62.3,90.51,
80,62.4,90.52,
81,62.35,90.51,
82,62.38,90.53,
83,62.44,90.54,
84,62.42,90.45,
85,62.5,90.56,
86,62.47,90.5,
87,62.49,90.53,
88,62.54,90.55,
89,62.54,90.53,
90,62.57,90.54,
91,62.63,90.55,
92,62.62,90.55,
93,62.68,90.58,
94,62.73,90.59,
95,62.68,90.52,
96,62.77,90.58,
97,62.74,90.6,
98,62.78,90.63,
99,62.79,90.59,
100,62.78,90.58,
101,62.87,90.52,
102,62.89,90.61,
103,62.87,90.61,
104,62.92,90.57,
105,62.89,90.6,
106,62.96,90.63,
107,62.93,90.63,
108,62.95,90.61,
109,62.98,90.65,
110,62.99,90.61,
111,63.02,90.64,
112,63.05,90.65,
113,63.11,90.66,
114,63.06,90.67,
115,63.12,90.67,
116,63.12,90.64,
117,63.14,90.67,
118,63.15,90.59,
119,63.18,90.63,
120,63.22,90.71,
121,63.19,90.7,
122,63.24,90.68,
123,63.28,90.7,
124,63.28,90.64,
125,63.28,90.72,
126,63.28,90.71,
127,63.29,90.72,
128,63.31,90.68,
129,63.33,90.65,
130,63.34,90.73,
131,63.36,90.67,
132,63.4,90.71,
133,63.42,90.72,
134,63.45,90.76,
135,63.47,90.75,
136,63.51,90.77,
137,63.49,90.74,
138,63.51,90.74,
139,63.5,90.77,
140,63.48,90.79,
141,63.53,90.82,
142,63.56,90.73,
143,63.57,90.7,
144,63.62,90.78,
145,63.6,90.77,
146,63.65,90.74,
147,63.59,90.78,
148,63.61,90.73,
149,63.63,90.77,
150,63.68,90.8,
151,63.67,90.82,
152,63.71,90.74,
153,63.74,90.76,
154,63.72,90.82,
155,63.71,90.82,
156,63.71,90.81,
157,63.81,90.84,
158,63.79,90.78,
159,63.8,90.84,
160,63.76,90.84,
161,63.77,90.81,
162,63.76,90.78,
163,63.81,90.86,
164,63.79,90.86,
165,63.83,90.88,
166,63.86,90.92,
167,63.9,90.91,
168,63.88,90.93,
169,63.86,90.83,
170,63.9,90.88,
171,63.89,90.89,
172,63.96,90.91,
173,63.92,90.84,
174,63.99,90.85,
175,63.97,90.89,
176,63.95,90.93,
177,63.99,90.87,
178,63.97,90.94,
179,64.02,90.95,
180,64.0,90.93,
181,64.04,90.94,
182,64.0,90.9,
183,63.92,90.96,
184,64.05,90.97,
185,64.04,90.9,
186,64.06,90.97,
187,64.03,90.92,
188,64.05,90.96,
189,64.1,91.0,
190,64.11,90.96,
191,64.1,90.92,
192,64.13,90.98,
193,64.15,91.0,
194,64.13,90.93,
195,64.09,91.03,
196,64.12,91.03,
197,64.12,91.0,
198,64.19,90.95,
199,64.15,90.95,
200,64.19,90.95,
201,64.21,90.95,
202,64.19,91.02,
203,64.25,91.03,
204,64.23,91.07,
205,,91.03,
206,,91.04,
207,,90.97,
208,,91.05,
209,,91.05,
210,,91.05,
211,,91.04,
212,,90.98,
213,,91.06,
214,,91.08,
215,,91.06,
216,,91.07,
217,,91.02,
218,,91.05,
219,,91.02,
220,,91.02,
221,,91.03,
222,,91.08,
223,,91.02,
224,,90.99,
225,,91.07,
226,,91.09,
227,,91.03,
228,,91.14,
229,,91.02,
230,,91.13,
231,,91.11,
232,,91.09,
233,,91.06,
234,,91.12,
235,,91.07,
236,,91.08,
237,,91.08,
238,,91.08,
239,,91.12,
240,,91.15,
241,,91.15,
242,,91.06,
243,,91.06,
244,,91.14,
245,,91.16,
246,,91.09,
247,,91.08,
248,,91.11,
249,,91.1,
250,,91.09,
251,,91.11,
252,,91.13,
253,,91.17,
254,,91.17,
255,,91.17,
256,,91.17,
257,,91.13,
258,,91.2,
259,,91.15,
260,,91.21,
261,,91.11,
262,,91.11,
263,,91.21,
264,,91.12,
265,,91.17,
266,,91.21,
267,,91.15,
268,,91.22,
269,,91.22,
270,,91.21,
271,,91.24,
272,,91.17,
273,,91.17,
274,,91.22,
275,,91.17,
276,,91.23,
277,,91.25,
278,,91.26,
279,,91.17,
280,,91.18,
281,,91.18,
