,timeSinceBoot,PCR Temp,PCR Modeled TempC,PCR Target TempC,PCR Thermocouple TempC,PCR HeatSink TempC
148,82.553,57.65,55.1,55.0,,24.14
149,82.703,57.61,55.1,55.0,,24.14
150,82.853,57.57,55.1,55.0,,24.14
151,83.002,57.53,55.1,55.0,,24.15
152,83.002,,,,55.14,
153,83.154,57.49,55.09,55.0,,24.15
154,83.304,57.46,55.09,55.0,,24.15
155,83.455,57.43,55.09,55.0,,24.16
156,83.455,,,,55.12,
157,83.604,57.38,55.08,55.0,,24.15
158,83.755,57.33,55.08,55.0,,24.15
159,83.905,57.3,55.07,55.0,,24.16
160,84.055,57.27,55.07,55.0,,24.15
161,84.055,,,,55.12,
162,84.204,57.25,55.07,55.0,,24.15
163,84.354,57.21,55.06,55.0,,24.16
164,84.504,57.18,55.06,55.0,,24.16
165,84.655,57.15,55.05,55.0,,24.15
166,84.655,,,,55.05,
167,84.805,57.12,55.05,55.0,,24.16
168,84.954,57.09,55.05,55.0,,24.16
169,85.104,57.07,55.05,55.0,,24.16
170,85.254,57.05,55.05,55.0,,24.16
171,85.254,,,,55.62,
172,85.404,57.01,55.04,55.0,,24.16
173,85.554,57.0,55.04,55.0,,24.16
174,85.704,56.97,55.04,55.0,,24.15
175,85.704,,,,55.01,
176,85.854,56.95,55.03,55.0,,24.16
177,86.005,56.94,55.04,55.0,,24.16
178,86.154,56.92,55.03,55.0,,24.16
179,86.304,56.91,55.04,55.0,,24.16
180,86.304,,,,55.89,
181,86.454,56.9,55.04,55.0,,24.16
182,86.604,56.88,55.04,55.0,,24.17
183,86.754,56.86,55.04,55.0,,24.16
184,86.903,56.84,55.04,55.0,,24.16
185,86.903,,,,55.09,
186,87.054,56.84,55.04,55.0,,24.18
187,87.204,56.81,55.04,55.0,,24.17
188,87.354,56.8,55.04,55.0,,24.17
189,87.504,56.77,55.03,55.0,,24.17
190,87.511,,,,55.85,
191,87.655,56.76,55.03,55.0,,24.17
192,87.805,56.75,55.03,55.0,,24.17
193,87.955,56.72,55.03,55.0,,24.17
194,87.955,,,,54.98,
195,88.105,56.7,55.02,55.0,,24.17
196,88.254,56.67,55.01,55.0,,24.17
197,88.404,56.67,55.01,55.0,,24.17
198,88.554,56.64,55.01,55.0,,24.16
199,88.628,,,,56.28,
200,88.729,56.65,55.01,55.0,,24.18
201,88.877,56.64,55.01,55.0,,24.17
202,89.027,56.63,55.01,55.0,,24.17
203,89.178,56.63,55.01,55.0,,24.17
204,89.178,,,,54.94,
205,89.328,56.61,55.01,55.0,,24.17
206,89.478,56.6,55.01,55.0,,24.17
207,89.627,56.59,55.01,55.0,,24.16
208,89.627,,,,55.05,
209,89.777,56.59,55.01,55.0,,24.17
210,89.927,56.59,55.01,55.0,,24.18
211,90.077,56.6,55.02,55.0,,24.17
