timeSinceBoot,Stage1 TempC,Stage1 Modeled TempC,Stage1 Target TempC,Stage1 Thermocouple TempC,Stage1 Heatsink,Stage1 Alternate1 Thermocouple TempC
286.253,25.65,24,62,20.65,26.23,20.86
286.253,25.65,24,62,20.65,26.23,20.86
286.253,25.65,24,62,20.65,26.23,20.86
286.253,25.65,24,62,20.65,26.23,20.86
286.432,25.66,24,62,20.65,26.23,20.86
286.432,25.66,24,62,20.65,26.23,20.86
286.432,25.66,24,62,20.65,26.23,20.86
286.432,25.66,24,62,20.65,26.23,20.86
286.587,25.78,24,62,20.65,26.21,20.86
286.587,25.78,24,62,20.65,26.21,20.86
286.587,25.78,24,62,20.65,26.21,20.86
286.587,25.78,24,62,20.65,26.21,20.86
286.587,25.78,24,62,20.65,26.21,20.86
286.587,25.78,24,62,20.65,26.21,20.86
286.737,26.08,24,62,,26.17,
286.737,26.08,24,62,,26.17,
286.737,26.08,24,62,,26.17,
286.737,26.08,24,62,,26.17,
286.885,26.87,24,62,,26.09,
286.885,26.87,24,62,,26.09,
286.885,26.87,24,62,,26.09,
286.885,26.87,24,62,,26.09,
287.034,27.63,24,62,,26.02,
287.034,27.63,24,62,,26.02,
287.034,27.63,24,62,,26.02,
287.034,27.63,24,62,,26.02,
287.184,28.51,24,62,,25.95,
287.184,28.51,24,62,,25.95,
287.184,28.51,24,62,,25.95,
287.184,28.51,24,62,,25.95,
287.263,,,,20.67,,20.86
287.263,,,,20.67,,20.86
287.339,29.48,24,62,,25.86,
287.339,29.48,24,62,,25.86,
287.339,29.48,24,62,,25.86,
287.339,29.48,24,62,,25.86,
287.484,30.91,24,62,,25.76,
287.484,30.91,24,62,,25.76,
287.484,30.91,24,62,,25.76,
287.484,30.91,24,62,,25.76,
287.634,32,24,62,,25.67,
287.634,32,24,62,,25.67,
287.634,32,24,62,,25.67,
287.634,32,24,62,,25.67,
287.785,33.18,24,62,,25.58,
287.785,33.18,24,62,,25.58,
287.785,33.18,24,62,,25.58,
287.785,33.18,24,62,,25.58,
287.906,,,,20.74,,20.91
287.906,,,,20.74,,20.91
287.936,34.74,24,62,,25.48,
287.936,34.74,24,62,,25.48,
287.936,34.74,24,62,,25.48,
287.936,34.74,24,62,,25.48,
288.085,35.88,24,62,,25.4,
288.085,35.88,24,62,,25.4,
288.085,35.88,24,62,,25.4,
288.085,35.88,24,62,,25.4,
288.235,37.07,24,62,,25.33,
288.235,37.07,24,62,,25.33,
288.235,37.07,24,62,,25.33,
288.235,37.07,24,62,,25.33,
288.39,38.24,24,62,,25.25,
288.39,38.24,24,62,,25.25,
288.39,38.24,24,62,,25.25,
288.39,38.24,24,62,,25.25,
288.493,,,,20.8,,20.95
288.493,,,,20.8,,20.95
288.537,39.76,24,62,,25.16,
288.537,39.76,24,62,,25.16,
288.537,39.76,24,62,,25.16,
288.537,39.76,24,62,,25.16,
288.696,40.9,24,62,,25.08,
288.696,40.9,24,62,,25.08,
288.696,40.9,24,62,,25.08,
288.696,40.9,24,62,,25.08,
288.842,42.04,24,62,,25,
288.842,42.04,24,62,,25,
288.842,42.04,24,62,,25,
288.842,42.04,24,62,,25,
288.987,43.52,24,62,,24.89,
288.987,43.52,24,62,,24.89,
288.987,43.52,24,62,,24.89,
288.987,43.52,24,62,,24.89,
289.102,,,,20.72,,20.86
289.102,,,,20.72,,20.86
289.137,44.64,24,62,,24.83,
289.137,44.64,24,62,,24.83,
289.137,44.64,24,62,,24.83,
289.137,44.64,24,62,,24.83,
289.292,45.72,24,62,,24.77,
289.292,45.72,24,62,,24.77,
289.292,45.72,24,62,,24.77,
289.292,45.72,24,62,,24.77,
289.438,47.15,24,62,,24.7,
289.438,47.15,24,62,,24.7,
289.438,47.15,24,62,,24.7,
289.438,47.15,24,62,,24.7,
289.588,48.2,24,62,20.77,24.64,20.91
289.588,48.2,24,62,20.77,24.64,20.91
289.588,48.2,24,62,20.77,24.64,20.91
289.588,48.2,24,62,20.77,24.64,20.91
289.588,48.2,24,62,20.77,24.64,20.91
289.588,48.2,24,62,20.77,24.64,20.91
289.743,49.25,24,62,,24.58,
289.743,49.25,24,62,,24.58,
289.743,49.25,24,62,,24.58,
289.743,49.25,24,62,,24.58,
289.889,50.62,24,62,,24.51,
289.889,50.62,24,62,,24.51,
289.889,50.62,24,62,,24.51,
289.889,50.62,24,62,,24.51,
290.039,51.61,24,62,,24.46,
290.039,51.61,24,62,,24.46,
290.039,51.61,24,62,,24.46,
290.039,51.61,24,62,,24.46,
290.194,52.6,24,62,20.75,24.4,20.94
290.194,52.6,24,62,20.75,24.4,20.94
290.194,52.6,24,62,20.75,24.4,20.94
