Text,X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
69.42,69.42,49.94888306,69.53,41.11238098,69.69,5.166704655,69.56,45.74044418,69.61,31.83032036,69.69,5.166704655,69.63,29.94888306,69.69,0,69.69,5.166704655
69.85,69.85,49.48348236,69.96,40.3784256,70.13,5.067521095,70,44.82795334,70.05,31.26726151,70.13,5.067521095,70.09,29.34615135,70.13,0,70.13,5.067521095
70.27,70.27,48.55878448,70.43,39.74364853,70.55,4.960708141,70.47,44.01617432,70.5,30.67521095,70.55,4.960708141,70.52,28.76783371,70.55,0,70.55,4.960708141
70.76,70.76,47.66003036,70.88,39.07530212,71.01,4.869153976,70.92,43.06401062,70.96,30.05722046,71.01,4.869153976,70.98,28.1727314,71.01,0,71.01,4.869153976
71.18,71.18,47.02830505,71.31,38.50614166,71.45,4.774548054,71.34,42.25833511,71.38,29.46212006,71.45,4.774548054,71.4,27.69054794,71.45,0,71.45,4.774548054
71.64,71.64,46.26688004,71.76,37.90341187,71.93,4.675364494,71.8,41.409935,71.84,28.81818962,71.93,4.675364494,71.88,27.13054085,71.93,0,71.93,4.675364494
72.11,72.11,45.16212845,72.21,37.21217728,72.33,4.576180458,72.24,40.5661087,72.27,28.2887001,72.33,4.576180458,72.29,26.4515152,72.33,0,72.33,4.576180458
72.48,72.48,44.76234055,72.57,36.78492355,72.69,4.516670704,72.59,40.07171631,72.62,27.79278183,72.69,4.516670704,72.65,26.06851387,72.69,0,72.69,4.516670704
72.9,72.9,43.84374619,73,36.08300781,73.15,4.411383152,73.04,39.15159988,73.07,27.22819901,73.15,4.411383152,73.1,25.37117577,73.15,0,73.15,4.411383152
73.38,73.38,43.09910583,73.45,35.52758026,73.64,4.312199593,73.49,38.36728287,73.54,26.68039894,73.64,4.312199593,73.57,24.73487473,73.64,0,73.64,4.312199593
73.81,73.81,42.58029938,73.96,34.85160446,74.08,4.237430573,74.01,37.54177094,74.04,26.03494263,74.08,4.237430573,74.06,24.20386124,74.08,0,74.08,4.237430573
74.31,74.31,41.77309799,74.39,34.24887466,74.53,4.155031681,74.41,36.8322258,74.44,25.64888954,74.53,4.155031681,74.47,23.66674232,74.53,0,74.53,4.155031681
74.66,74.66,41.07575989,74.8,33.80636215,74.95,4.078736782,74.84,36.00518799,74.89,25.09193611,74.95,4.078736782,74.91,23.23033524,74.95,0,74.95,4.078736782
75.11,75.11,40.28534317,75.23,33.24483109,75.33,4.000915527,75.28,35.2635994,75.31,24.53040314,75.33,4.000915527,75.31,22.77714157,75.33,0,75.33,4.000915527
75.52,75.52,39.57427216,75.66,32.7138176,75.77,3.927672148,75.69,34.59677887,75.72,24.12451363,75.77,3.927672148,75.73,22.37277794,75.77,0,75.77,3.927672148
75.98,75.98,39.06767273,76.06,32.17670059,76.26,3.842221737,76.1,33.94979858,76.15,23.58739662,76.26,3.842221737,76.19,21.86465263,76.26,0,76.26,3.842221737
76.41,76.41,38.25589371,76.52,31.67925453,76.72,3.762874842,76.56,33.26619339,76.6,23.10826302,76.72,3.762874842,76.65,21.44503021,76.72,0,76.72,3.762874842
76.85,76.85,37.6684227,76.99,31.12382698,77.08,3.710994244,77.03,32.55817413,77.06,22.60013771,77.08,3.710994244,77.08,21.00556946,77.08,0,77.08,3.710994244
77.24,77.24,37.01686096,77.38,30.62180519,77.46,3.64385438,77.42,31.9142437,77.43,22.25833511,77.46,3.64385438,77.44,20.55390167,77.46,0,77.46,3.64385438
77.68,77.68,36.46753693,77.77,30.23880386,77.92,3.575188875,77.78,31.33897972,77.81,21.74258041,77.92,3.575188875,77.86,20.1159687,77.92,0,77.92,3.575188875
