X,1: Sample 1,X,2: Sample 2,X,3: Sample 3,X,4: Sample 4,X,5: Sample 5,X,6: Sample 6,X,7: Sample 7,X,(unknown),X,Series9,X,Series10
13,-0.422836902,14,-0.283292587,19,-0.176454332,9,-0.245539471,22,-0.16915391,27,-0.23221558,24,-0.165646375,8,-0.164556962,10,-0.118081372,9.688891925,-0.164556962
14,-0.039383758,15,-0.161974332,20,-0.139290879,10,-0.118081372,23,-0.141671961,28,-0.033331196,25,-0.07098084,40,-0.164556962,11,0.03130591,13.07564532,-0.164556962
15,0.096033097,16,-0.017591489,21,-0.078061476,11,0.03130591,24,-0.096367756,29,0.191673183,26,-0.04817938,,,14,-0.039383758,14.98211262,-0.164556962
16,0.120811321,17,0.094329737,22,0.003422479,12,0.086798509,25,-0.029058933,30,0.411396679,27,0.002764522,,,15,0.096033097,19.58735377,-0.164556962
17,0.166039933,18,0.109526857,23,0.120811289,13,0.088963634,26,0.068285298,31,0.606105873,28,0.016377136,,,15,-0.161974332,20.89604689,-0.164556962
18,0.178518737,19,0.187562045,24,0.262177358,14,0.085167553,27,0.208805922,32,0.762959855,29,0.017651578,,,16,-0.017591489,22.49485923,-0.164556962
19,0.184192867,20,0.296243954,25,0.418432303,15,0.088423364,28,0.380789313,33,0.869888992,30,0.042986198,,,20,-0.139290879,27.41678573,-0.164556962
20,0.233339459,21,0.373952222,26,0.563834726,16,0.092726821,29,0.588178264,34,0.933875781,31,0.054828075,,,21,-0.078061476,,
21,0.304605332,22,0.470058383,27,0.699471364,17,0.100682803,30,0.804176409,35,0.973736892,32,0.053072275,,,23,-0.141671961,,
22,0.412064319,23,0.586189508,28,0.81022986,18,0.119202709,31,1.004117939,36,0.995967757,33,0.057158155,,,24,-0.096367756,,
23,0.534265908,24,0.713000047,29,0.899491179,19,0.129160206,32,1.17324051,37,1.008233896,34,0.049539141,,,25,-0.07098084,,
24,0.674262417,25,0.828687024,30,0.966539003,20,0.151231387,33,1.296866145,38,1.010245003,35,0.055994678,,,26,-0.04817938,,
25,0.803614307,26,0.922254546,31,1.005337166,21,0.191843676,34,1.380198399,39,1.013726102,36,0.06235566,,,28,-0.033331196,,
26,0.917168082,27,1.005193141,32,1.024982215,22,0.250350022,35,1.432405283,,,37,0.061781232,,,29,0.191673183,,
27,1.017281463,28,1.070994059,33,1.031317355,23,0.337443599,36,1.457960145,,,38,0.057738817,,,,,,
28,1.099007513,29,1.123611412,34,1.032364311,24,0.455446081,37,1.471886265,,,39,0.061781232,,,,,,
29,1.170501446,30,1.160625128,35,1.03512348,25,0.585501602,38,1.476777268,,,,,,,,,,
30,1.239001935,31,1.178342304,36,1.038472156,26,0.711328625,39,1.47874039,,,,,,,,,,
31,1.281080203,32,1.187087834,37,1.039320468,27,0.827604207,,,,,,,,,,,,
32,1.306709552,33,1.188421084,38,1.038835905,28,0.916750826,,,,,,,,,,,,
33,1.340485553,34,1.188292238,39,1.039985808,29,0.983923105,,,,,,,,,,,,
34,1.351391286,35,1.191629912,,,30,1.02515736,,,,,,,,,,,,
35,1.349469099,36,1.194180023,,,31,1.045200573,,,,,,,,,,,,
36,1.351981009,37,1.196673063,,,32,1.05459354,,,,,,,,,,,,
37,1.354683506,38,1.194857517,,,33,1.058433595,,,,,,,,,,,,
38,1.360212114,39,1.195533956,,,34,1.05756384,,,,,,,,,,,,
39,1.355268778,,,,,35,1.062871192,,,,,,,,,,,,
40,1.0665254,,,,,,,,,,,,,,,,,,
41,1.066241025,,,,,,,,,,,,,,,,,,
42,1.067093592,,,,,,,,,,,,,,,,,,
43,1.067263904,,,,,,,,,,,,,,,,,,
