Text,1: Assay1: 0.2uM,2: Assay1: 0.1uM,3: Assay1: neg,4: Assay2: 0.2uM,5: Assay2: 0.1uM,6: Assay2: neg,7: Assay3: 0.2uM,8: Assay3: 0.1uM,9: Assay3: neg
1,3.245594025,2.980087042,2.615396261,3.068589211,3.706416368,2.615396261,3.520256281,2.290379286,2.615396261
2,3.349355221,3.027390003,2.633707285,3.123521805,3.794918776,2.633707285,3.576714754,2.325474977,2.633707285
3,3.41191721,3.077744722,2.645914316,3.147936106,3.846799374,2.645914316,3.649958134,2.355993032,2.645914316
4,3.448539019,3.109788656,2.656595707,3.178454161,3.887998819,2.656595707,3.688105583,2.360570669,2.656595707
5,3.407339573,3.097581387,2.642862558,3.164721251,3.834592104,2.642862558,3.613336325,2.334630251,2.642862558
6,3.463798046,3.167773008,2.687113762,3.253223419,3.923094511,2.687113762,3.717097759,2.368200302,2.687113762
7,3.450064898,3.176928282,2.697795153,3.24101615,3.909361362,2.697795153,3.682002068,2.337682247,2.697795153
8,3.443961143,3.201342821,2.71305418,3.291371107,3.965819836,2.71305418,3.706416368,2.330052614,2.71305418
9,3.462272167,3.231860876,2.732890844,3.355458975,4.057374001,2.732890844,3.738460302,2.323949099,2.732890844
10,3.462272167,3.245594025,2.754253387,3.369192123,4.155031681,2.754253387,3.744564056,2.316319466,2.754253387
11,3.469901562,3.271534204,2.767986536,3.436331749,4.348821163,2.767986536,3.77660799,2.320897341,2.767986536
12,3.479057074,3.283741474,2.783245564,3.451590776,4.661631107,2.783245564,3.781185627,2.31021595,2.783245564
13,3.491264105,3.294422865,2.793926954,3.443961143,4.808117867,2.793926954,3.790341139,2.305638313,2.793926954
14,3.523308039,3.308156013,2.806134224,3.440909386,4.814221382,2.806134224,3.782711506,2.291905165,2.806134224
15,4.058899879,3.346303463,2.821393251,3.451590776,4.80354023,2.821393251,3.804074049,2.293431044,2.821393251
16,4.393072605,3.514152765,2.827496767,3.482108831,4.812695503,2.827496767,3.807126045,2.296482801,2.827496767
17,4.466315746,3.785763264,2.819867134,3.463798046,4.824902534,2.819867134,3.791867018,2.284275532,2.819867134
18,4.611276627,4.068055153,2.816815376,3.501945496,4.847791195,2.816815376,3.77660799,2.278172016,2.816815376
19,4.654001713,4.112306595,2.832074404,3.532463551,4.902723789,2.832074404,3.807126045,2.296482801,2.832074404
20,4.673838615,4.365606308,2.858014822,3.569085121,4.933241844,2.858014822,3.839169979,2.288853168,2.858014822
21,4.856946468,4.80354023,2.905317783,3.628595352,5.003433228,2.905317783,3.830014467,2.282749653,2.905317783
22,5.162127018,5.191119194,2.966353893,3.738460302,5.142290592,2.966353893,3.984130621,2.291905165,2.966353893
23,5.728236675,5.777065754,3.04417491,3.910887241,5.366598129,3.04417491,4.055848122,2.291905165,3.04417491
24,6.567482948,6.681925774,3.070115089,4.223697186,5.761806488,3.070115089,4.100099087,2.308690071,3.070115089
25,7.869077682,7.989624023,3.065537453,4.731822491,6.440833092,3.065537453,4.17944622,2.337682247,3.065537453
26,9.507896423,9.565880775,3.231860876,5.523766041,7.437247276,3.231860876,4.313725471,2.403295994,3.231860876
27,11.4091711,11.18638897,3.277637959,6.565957069,8.731212616,3.277637959,4.548714638,2.484168768,3.277637959
28,13.55153751,12.94575405,3.389028788,7.908751011,10.31052113,3.389028788,4.995803833,2.66422534,3.389028788
29,15.70611095,14.60135841,3.421072721,9.36293602,11.84252644,3.421072721,5.781643391,3.004501343,3.421072721
30,17.95376587,16.11810493,3.424124479,10.83695698,13.22346878,3.424124479,7.252613068,3.633173227,3.424124479
31,20.48371124,17.30067825,3.486686468,12.16144085,14.18326092,3.486686468,9.748989105,4.657053471,3.486686468
32,22.24765396,17.90340996,3.517204523,13.02662659,14.68375683,3.517204523,13.47371674,6.115816116,3.517204523
33,23.40886497,18.21011734,3.512626886,13.49507904,14.92637539,3.512626886,18.28030777,7.87212944,3.512626886
34,25.04768372,18.25741959,3.523308039,13.6507206,15.02708435,3.523308039,23.18761063,9.489585876,3.523308039
35,25.60463905,18.25284195,3.503471375,13.67666149,15.00419617,3.503471375,27.37773705,10.66605663,3.503471375
36,25.50545502,18.37186241,3.520256281,13.745327,15.14457893,3.520256281,30.44327545,11.49156952,3.520256281
37,25.63515663,18.46341705,3.537041187,13.82925129,15.24223709,3.537041187,32.08361816,11.98596191,3.537041187
38,25.7755394,18.55344391,3.535515308,13.85061455,15.2346077,3.535515308,33.01899719,12.26977921,3.535515308
39,26.06546211,18.48783112,3.524834156,13.83840656,15.25749588,3.524834156,33.35469437,12.31708241,3.524834156
40,25.80605698,18.51224518,3.535515308,13.86739922,15.26207352,3.535515308,33.4905014,12.39948082,3.535515308
