X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
71.07590361,1.773046296,71.07590361,1.408314444,71.07590361,0.217734253,71.07590361,1.912655702,71.07590361,1.355276697,71.07590361,0.217734253,71.07590361,1.270855334,71.07590361,0,71.07590361,0.217734253
71.49493976,1.787472124,71.49493976,1.39597587,71.49493976,0.215085334,71.49493976,1.872799037,71.49493976,1.350310501,71.49493976,0.215085334,71.49493976,1.286212812,71.49493976,0,71.49493976,0.215085334
71.9139759,1.784457911,71.9139759,1.396558035,71.9139759,0.213278122,71.9139759,1.831649266,71.9139759,1.332856003,71.9139759,0.213278122,71.9139759,1.320937165,71.9139759,0,71.9139759,0.213278122
72.33301205,1.746914255,72.33301205,1.396948006,72.33301205,0.21037334,72.33301205,1.799195065,72.33301205,1.306586758,72.33301205,0.21037334,72.33301205,1.348255439,72.33301205,0,72.33301205,0.21037334
72.75204819,1.690516516,72.75204819,1.388216958,72.75204819,0.206236503,72.75204819,1.780339841,72.75204819,1.273402088,72.75204819,0.206236503,72.75204819,1.352239193,72.75204819,0,72.75204819,0.206236503
73.17108434,1.630294837,73.17108434,1.365205979,73.17108434,0.200800249,73.17108434,1.763426983,73.17108434,1.237760594,73.17108434,0.200800249,73.17108434,1.325674187,73.17108434,0,73.17108434,0.200800249
73.59012048,1.599854414,73.59012048,1.334792843,73.59012048,0.193985091,73.59012048,1.747153569,73.59012048,1.208172756,73.59012048,0.193985091,73.59012048,1.269594071,73.59012048,0,73.59012048,0.193985091
74.00915663,1.619111416,74.00915663,1.304362917,74.00915663,0.18822211,74.00915663,1.74430151,74.00915663,1.186993502,74.00915663,0.18822211,74.00915663,1.204941553,74.00915663,0,74.00915663,0.18822211
74.42819277,1.654741814,74.42819277,1.274505282,74.42819277,0.184974987,74.42819277,1.744243691,74.42819277,1.178640594,74.42819277,0.184974987,74.42819277,1.142895181,74.42819277,0,74.42819277,0.184974987
74.84722892,1.657725391,74.84722892,1.253280569,74.84722892,0.18309153,74.84722892,1.722083215,74.84722892,1.178153018,74.84722892,0.18309153,74.84722892,1.088615768,74.84722892,0,74.84722892,0.18309153
75.26626506,1.615641061,75.26626506,1.240435837,75.26626506,0.180400703,75.26626506,1.675135265,75.26626506,1.168806616,75.26626506,0.180400703,75.26626506,1.048649739,75.26626506,0,75.26626506,0.180400703
75.6853012,1.562236288,75.6853012,1.225117835,75.6853012,0.176342479,75.6853012,1.621239011,75.6853012,1.151156598,75.6853012,0.176342479,75.6853012,1.025344409,75.6853012,0,75.6853012,0.176342479
76.10433735,1.531972304,76.10433735,1.203853548,76.10433735,0.171785225,76.10433735,1.577892869,76.10433735,1.131050941,76.10433735,0.171785225,76.10433735,1.019775802,76.10433735,0,76.10433735,0.171785225
76.52337349,1.520032106,76.52337349,1.185596026,76.52337349,0.167092281,76.52337349,1.556236913,76.52337349,1.110267008,76.52337349,0.167092281,76.52337349,1.035689667,76.52337349,0,76.52337349,0.167092281
76.94240964,1.519552499,76.94240964,1.177468514,76.94240964,0.16275864,76.94240964,1.55473251,76.94240964,1.093430555,76.94240964,0.16275864,76.94240964,1.074506413,76.94240964,0,76.94240964,0.16275864
77.36144578,1.536443863,77.36144578,1.17727777,77.36144578,0.158885976,77.36144578,1.557304203,77.36144578,1.080348066,77.36144578,0.158885976,77.36144578,1.121553754,77.36144578,0,77.36144578,0.158885976
77.78048193,1.565932272,77.78048193,1.188545664,77.78048193,0.155102622,77.78048193,1.547982091,77.78048193,1.059135414,77.78048193,0.155102622,77.78048193,1.160407682,77.78048193,0,77.78048193,0.155102622
78.19951807,1.5899116,78.19951807,1.206733507,78.19951807,0.151428946,78.19951807,1.524754931,78.19951807,1.027120417,78.19951807,0.151428946,78.19951807,1.178223275,78.19951807,0,78.19951807,0.151428946
78.61855422,1.602555651,78.61855422,1.217384631,78.61855422,0.147433016,78.61855422,1.498890308,78.61855422,1.001296218,78.61855422,0.147433016,78.61855422,1.16141981,78.61855422,0,78.61855422,0.147433016
79.03759036,1.628709245,79.03759036,1.225918354,79.03759036,0.143157536,79.03759036,1.487729843,79.03759036,0.988361152,79.03759036,0.143157536,79.03759036,1.115397075,79.03759036,0,79.03759036,0.143157536
79.45662651,1.694732558,79.45662651,1.246032157,79.45662651,0.13951761,79.45662651,1.500384099,79.45662651,0.979253274,79.45662651,0.13951761,79.45662651,1.070308505,79.45662651,0,79.45662651,0.13951761
79.87566265,1.792452098,79.87566265,1.27484869,79.87566265,0.136466709,79.87566265,1.523313192,79.87566265,0.965053258,79.87566265,0.136466709,79.87566265,1.062947243,79.87566265,0,79.87566265,0.136466709
80.2946988,1.912442728,80.2946988,1.295596017,80.2946988,0.133316817,80.2946988,1.529132525,80.2946988,0.947716363,80.2946988,0.133316817,80.2946988,1.114683963,80.2946988,0,80.2946988,0.133316817
80.71373494,2.036734303,80.71373494,1.294674001,80.71373494,0.129995723,80.71373494,1.51991477,80.71373494,0.950250395,80.71373494,0.129995723,80.71373494,1.226677611,80.71373494,0,80.71373494,0.129995723
81.13277108,2.109353171,81.13277108,1.268355442,81.13277108,0.127275407,81.13277108,1.559550692,81.13277108,1.017594439,81.13277108,0.127275407,81.13277108,1.400555715,81.13277108,0,81.13277108,0.127275407
81.55180723,2.102712784,81.55180723,1.220916567,81.55180723,0.12551234,81.55180723,1.744258637,81.55180723,1.208942499,81.55180723,0.12551234,81.55180723,1.645097158,81.55180723,0,81.55180723,0.12551234
81.97084337,2.02348742,81.97084337,1.161508453,81.97084337,0.123944028,81.97084337,2.172977746,81.97084337,1.597606808,81.97084337,0.123944028,81.97084337,1.982325581,81.97084337,0,81.97084337,0.123944028
82.38987952,1.881846571,82.38987952,1.094013787,82.38987952,0.122269594,82.38987952,2.935423788,82.38987952,2.23986227,82.38987952,0.122269594,82.38987952,2.444305406,82.38987952,0,82.38987952,0.122269594
82.80891566,1.689029231,82.80891566,1.022965879,82.80891566,0.121064882,82.80891566,4.05857243,82.80891566,3.119059728,82.80891566,0.121064882,82.80891566,3.031299468,82.80891566,0,82.80891566,0.121064882
83.22795181,1.46975479,83.22795181,0.95226202,83.22795181,0.120036862,83.22795181,5.431920428,83.22795181,4.106966484,83.22795181,0.120036862,83.22795181,3.657812181,83.22795181,0,83.22795181,0.120036862
83.64698795,1.275285625,83.64698795,0.87785207,83.64698795,0.118130124,83.64698795,6.724060413,83.64698795,4.940817266,83.64698795,0.118130124,83.64698795,4.145086351,83.64698795,0,83.64698795,0.118130124
84.0660241,1.15182924,84.0660241,0.80702532,84.0660241,0.115196929,84.0660241,7.392916355,84.0660241,5.23129132,84.0660241,0.115196929,84.0660241,4.225981591,84.0660241,0,84.0660241,0.115196929
84.48506024,1.13683822,84.48506024,0.782429109,84.48506024,0.11146591,84.48506024,7.006455917,84.48506024,4.703208149,84.48506024,0.11146591,84.48506024,3.691300195,84.48506024,0,84.48506024,0.11146591
84.90409639,1.305793905,84.90409639,0.879951343,84.90409639,0.107030783,84.90409639,5.650664006,84.90409639,3.53271804,84.90409639,0.107030783,84.90409639,2.680637454,84.90409639,0,84.90409639,0.107030783
85.32313253,1.791570206,85.32313253,1.195413134,85.32313253,0.102470624,85.32313253,3.876654674,85.32313253,2.217267303,85.32313253,0.102470624,85.32313253,1.605627768,85.32313253,0,85.32313253,0.102470624
85.74216867,2.735828075,85.74216867,1.815709267,85.74216867,0.098886161,85.74216867,2.27408543,85.74216867,1.15462512,85.74216867,0.098886161,85.74216867,0.779810504,85.74216867,0,85.74216867,0.098886161
