Text,X,1: Assay1: 0.2uM,X,2: Assay1: 0.1uM,X,3: Assay1: neg,X,4: Assay2: 0.2uM,X,5: Assay2: 0.1uM,X,6: Assay2: neg,X,7: Assay3: 0.2uM,X,8: Assay3: 0.1uM,X,9: Assay3: neg
60.05,60.05,40.61798859,60.62,29.68947983,60.88,5.149919987,60.84,22.96330261,60.93,24.33051109,60.88,5.149919987,60.95,53.64156723,60.92,21.45876312,60.88,5.149919987
61.06,61.06,40.93843079,61.03,30.04043579,61.19,5.130083084,61.07,23.20897293,61.09,24.71046066,61.19,5.130083084,61.16,54.4136734,61.18,21.55336761,61.19,5.130083084
61.28,61.28,41.05744934,61.34,30.0694294,61.46,5.096513271,61.37,23.07164192,61.39,24.74708176,61.46,5.096513271,61.41,54.54642487,61.43,21.45876312,61.46,5.096513271
61.64,61.64,40.49897003,61.71,29.7856102,61.85,5.021744251,61.73,22.72373581,61.75,24.46021271,61.85,5.021744251,61.78,54.08865356,61.8,21.16273689,61.85,5.021744251
61.95,61.95,40.22125626,62.05,29.44533539,62.16,4.965285778,62.08,22.42160606,62.09,24.19165421,62.16,4.965285778,62.12,53.66750717,62.13,20.89417839,62.16,4.965285778
62.34,62.34,39.80315781,62.42,29.01502991,62.56,4.896620274,62.45,22.02029419,62.47,23.80712509,62.56,4.896620274,62.5,52.84809494,62.52,20.57221413,62.56,4.896620274
62.71,62.71,39.09056091,62.83,28.51911163,62.96,4.805066109,62.87,21.66170692,62.9,23.4073391,62.96,4.805066109,62.92,52.17059708,62.93,20.19836807,62.96,4.805066109
63.17,63.17,38.28183365,63.24,28.01556396,63.37,4.728770733,63.28,21.20241165,63.3,23.01365662,63.37,4.728770733,63.32,51.27641678,63.34,19.86114311,63.37,4.728770733
63.51,63.51,37.82711411,63.6,27.54711151,63.76,4.652475834,63.67,20.87739372,63.69,22.5650425,63.76,4.652475834,63.73,50.54245758,63.74,19.51934052,63.76,4.652475834
63.97,63.97,37.00007629,64.06,27.00846863,64.27,4.554818153,64.12,20.36621666,64.16,22.09811592,64.27,4.554818153,64.21,49.57045746,64.24,19.11955452,64.27,4.554818153
64.46,64.46,36.229496,64.56,26.4362545,64.75,4.46173811,64.61,19.9343853,64.65,21.65407753,64.75,4.46173811,64.69,48.60913849,64.71,18.74570847,64.75,4.46173811
64.96,64.96,35.43450165,65.06,25.82742119,65.27,4.374761581,65.11,19.47814178,65.13,21.14290047,65.27,4.374761581,65.17,47.69054794,65.2,18.29709244,65.27,4.374761581
