Text,1: Assay1: 0.2uM,2: Assay1: 0.1uM,3: Assay1: neg,4: Assay2: 0.2uM,5: Assay2: 0.1uM,6: Assay2: neg,7: Assay3: 0.2uM,8: Assay3: 0.1uM,9: Assay3: neg
1,6.803997993,10.54856205,3.529411793,5.56191349,4.771496296,3.529411793,4.005493164,0,3.529411793
2,6.236362457,10.91783047,3.572137117,5.604638577,4.834058285,3.572137117,4.049744606,0,3.572137117
3,6.031891346,11.31761646,3.613336325,5.690089226,4.890516281,3.613336325,4.25421524,0,3.613336325
4,6.320286751,11.51293182,3.649958134,5.763332367,4.922560692,3.649958134,4.124513626,0,3.649958134
5,6.353856564,11.82726765,3.682002068,5.780117512,4.942397118,3.682002068,4.226748943,0,3.682002068
6,6.213473797,12.0088501,3.712520123,5.860990524,4.979018688,3.712520123,4.235904694,0,3.712520123
7,6.129549026,12.11108589,3.710994244,5.821316719,4.93934536,3.710994244,4.145876408,0,3.710994244
8,6.160067081,12.28198719,3.779659748,5.944914818,5.02327013,3.779659748,4.219119549,0,3.779659748
9,6.216525555,12.40405846,3.790341139,5.986114502,5.070572853,3.790341139,4.222171307,0,3.790341139
10,6.1387043,12.4956131,3.784237385,5.980010509,5.087357998,3.784237385,4.145876408,0,3.784237385
11,6.182955742,12.55512333,3.819333076,6.140230179,5.210956097,3.819333076,4.206912518,0,3.819333076
12,6.103608608,12.56122684,3.817807198,6.265354156,5.348287106,3.817807198,4.180972099,0,3.817807198
13,6.178378105,12.63599586,3.855954885,6.556801796,5.6229496,3.855954885,4.232852459,0,3.855954885
14,6.129549026,12.65278053,3.808651924,6.569008827,5.658045292,3.808651924,4.200808525,0,3.808651924
15,6.167696476,12.64209938,3.85137701,6.872663498,5.821316719,3.85137701,4.255741119,0,3.85137701
16,6.123445511,12.6665144,3.833066225,6.94438076,5.815213203,3.833066225,4.200808525,0,3.833066225
17,6.201266289,12.79316425,3.860532522,7.151903629,5.944914818,3.860532522,4.25421524,0,3.860532522
18,6.163118839,12.84504509,3.823910952,7.156481266,5.915922642,3.823910952,4.182497978,0,3.823910952
19,6.356908321,13.09681892,3.857480764,7.425040245,6.048676491,3.857480764,4.275578022,0,3.857480764
20,6.402685642,13.19142437,3.845273495,7.460135937,6.019684315,3.845273495,4.213016033,0,3.845273495
21,6.750591278,13.64461708,3.921568632,7.888914108,6.245517731,3.921568632,4.330510616,0,3.921568632
22,7.118333817,14.26871109,3.903257847,8.053711891,6.292820454,3.903257847,4.417486668,0,3.903257847
23,8.152894974,15.19951153,4.174868584,8.680857658,6.678874016,4.174868584,4.48462677,0,4.174868584
24,9.416342735,16.52094269,4.093995571,9.143205643,7.025253773,4.093995571,4.77912569,0,4.093995571
25,11.32524586,18.539711,4.307621956,10.33798695,7.985046387,4.307621956,4.892042637,0,4.307621956
26,13.58510685,20.59205055,4.496833801,11.63652992,9.1935606,4.496833801,4.911879063,0,4.496833801
27,16.62470436,23.38139915,4.721141338,13.9299612,11.26573563,4.721141338,5.148394108,0,4.721141338
28,19.44457245,25.72518539,4.69520092,16.32868004,13.50118256,4.69520092,5.400167942,0,4.69520092
29,23.02891541,28.84260368,4.707408428,19.67803383,16.48432159,4.707408428,6.085298061,0,4.707408428
30,26.01358032,31.0566864,4.892042637,22.59250832,19.06767464,4.892042637,7.10460043,0,4.892042637
31,29.59945107,33.81399155,4.972915173,26.30807877,22.14846992,4.972915173,9.083695412,0,4.972915173
32,32.17975235,35.16441727,4.954604626,29.11879158,24.13977242,4.954604626,11.69146252,0,4.954604626
33,35.5535202,36.56214142,5.030899525,32.33844376,26.08377266,5.030899525,15.40856075,0,5.030899525
34,37.83779526,36.64606857,4.992752075,34.54337311,26.82383537,4.992752075,18.78995895,0,4.992752075
35,40.38452911,37.00160217,5.038528919,36.88258362,27.61272621,5.038528919,21.98977661,0,5.038528919
36,41.71816635,36.88105774,4.988174438,37.48073578,27.43724632,4.988174438,23.36308861,0,4.988174438
37,43.60875702,37.38918304,5.079728603,38.67246628,28.06744576,5.079728603,24.60364723,0,5.079728603
38,43.36461258,36.92835999,5.043106556,38.42527008,27.76073837,5.043106556,24.58533669,0,5.043106556
39,44.69825363,37.4288559,5.108720303,39.16075516,28.19562149,5.108720303,25.28419876,0,5.108720303
40,44.19165421,37.01838684,5.070572853,38.90440369,27.78515244,5.070572853,25.01716614,0,5.070572853
