Index,Text,S1,S2,S3,S4,S5,S6
0,1,4.792858601,3.71557188,3.079270601,4.713511944,3.33714819,3.369192123
1,2,4.913404942,3.865110159,3.256275177,4.751659393,3.437857628,3.471427441
2,3,4.895094395,3.843747616,3.266956568,4.675364494,3.442435265,3.433279991
3,4,4.930190086,3.877317429,3.327992678,4.654001713,3.515678644,3.514152765
4,5,4.991226196,3.935301781,3.424124479,4.644846439,3.576714754,3.543144941
5,6,5.03700304,4.008544922,3.474479198,4.6204319,3.63164711,3.575188875
6,7,5.08430624,4.077210426,3.506523132,4.551766396,3.642328501,3.564507484
7,8,5.227740765,4.167238712,3.559929848,4.501411438,3.678950071,3.566033363
8,9,5.331502438,4.258792877,3.608758688,4.455634594,3.729305029,3.581292391
9,10,5.418478489,4.332036495,3.634699106,4.377813339,3.749141693,3.552300215
10,11,5.510032654,4.45105648,3.70489049,4.364080429,3.822385073,3.567559242
11,12,5.528343678,4.5731287,3.747615814,4.30151844,3.884947062,3.553826094
12,13,5.604638577,4.678416252,3.799496412,4.264896393,3.953612566,3.567559242
13,14,5.748073578,4.814221382,3.857480764,4.229800701,4.036011219,3.552300215
14,15,5.772488117,4.930190086,3.906309605,4.193179131,4.126039505,3.559929848
15,16,5.912870884,5.06141758,3.959716082,4.162661076,4.226748943,3.555352211
16,17,5.984588623,5.221637249,4.002441406,4.148928165,4.33966589,3.566033363
17,18,6.095979214,5.409323215,4.068055153,4.194705009,4.489204407,3.562981606
18,19,6.167696476,5.598535061,4.129091263,4.310673714,4.673838615,3.595025539
19,20,6.335546017,5.82894659,4.200808525,4.568551064,4.882886887,3.614862204
20,21,6.454566479,5.993743896,4.242008209,5.047684669,5.125505447,3.608758688
21,22,6.591897488,6.256198883,4.304570198,5.960174084,5.493247986,3.607232809
22,23,6.854352474,6.509498596,4.383916855,7.4555583,6.059357643,3.651484013
23,24,7.167162418,6.816205025,4.448004723,9.542992592,6.861982346,3.686579704
24,25,7.785152912,7.078660488,4.515144348,12.14465523,8.101015091,3.817807198
25,26,8.635080338,7.405203342,4.640268326,15.00572205,9.796292305,4.023804188
26,27,9.633020401,8.06897068,4.774548054,17.86068535,11.9249258,4.460212231
27,28,10.78202534,8.653390884,4.882886887,20.56305885,14.19394207,5.22011137
28,29,12.18890667,9.143205643,5.040054798,23.01213074,16.43549156,6.608682156
29,30,13.75905991,9.642175674,5.314717293,25.08430672,18.65262794,8.879224777
30,31,15.11558723,10.27847672,5.770962238,27.00236511,20.57526588,12.15533638
31,32,16.51636505,11.10246468,6.637674332,28.65033913,22.21713638,16.29663467
32,33,18.04226685,12.32776356,7.99420166,30.2433815,23.93072319,20.71259689
33,34,19.56969643,13.91012478,10.48447418,31.56633949,25.29182816,24.60059547
34,35,21.06202698,15.92431545,14.22903824,32.66041183,26.17685127,27.75005722
35,36,22.95872498,18.16281319,18.55344391,33.63546371,26.88792229,30.12130928
36,37,24.68451881,20.399786,21.80819321,34.32364273,27.30296707,31.65026283
37,38,26.01815796,22.47348785,23.72320175,35.05455017,27.62645912,32.88166809
38,39,26.97032166,23.8651104,24.70588303,35.42992401,27.21141434,33.62325287
39,40,27.59441566,25.01716614,25.59853554,35.93652344,27.40672874,34.15121841
