Text,S1,X,S2,X,S3,X,S4,X,S5,X,S6,,2.527890884
61.15,0.553989632,61.15,0.328461683,61.15,0.180425114,61.15,0.390332917,61.15,0.301802183,61.15,0.453110848,,
61.55927711,0.553989632,61.55927711,0.328461683,61.55927711,0.180425114,61.55927711,0.390332917,61.55927711,0.301802183,61.55927711,0.453110848,,
61.96855422,0.887704761,61.96855422,0.761388624,61.96855422,0.647400738,61.96855422,0.827665949,61.96855422,0.632066334,61.96855422,0.854652811,,
62.37783133,1.180684674,62.37783133,1.120976969,62.37783133,1.048691109,62.37783133,1.188100613,62.37783133,0.929100344,62.37783133,1.213054663,,
62.78710843,1.36174721,62.78710843,1.334127773,62.78710843,1.303525741,62.78710843,1.414756479,62.78710843,1.120045226,62.78710843,1.446180315,,
63.19638554,1.441237662,63.19638554,1.422388116,63.19638554,1.417243564,63.19638554,1.5201675,63.19638554,1.218996605,63.19638554,1.577861597,,
63.60566265,1.450508544,63.60566265,1.440750198,63.60566265,1.441601721,63.60566265,1.549866619,63.60566265,1.257580807,63.60566265,1.642829924,,
64.01493976,1.412946025,64.01493976,1.430281116,64.01493976,1.431525055,64.01493976,1.533846676,64.01493976,1.260049238,64.01493976,1.662675001,,
64.42421687,1.361573545,64.42421687,1.406411771,64.42421687,1.410987944,64.42421687,1.491905533,64.42421687,1.249695534,64.42421687,1.649751562,,
64.83349398,1.317829881,64.83349398,1.383612206,64.83349398,1.39320727,64.83349398,1.44745758,64.83349398,1.224418923,64.83349398,1.618731931,,
65.24277108,1.279655497,65.24277108,1.369123024,65.24277108,1.388722329,65.24277108,1.410709956,65.24277108,1.180650719,65.24277108,1.583286038,,
65.65204819,1.24768737,65.65204819,1.35280531,65.65204819,1.3859073,65.65204819,1.379476227,65.65204819,1.135280257,65.65204819,1.540661782,,
66.0613253,1.235416472,66.0613253,1.3305801,66.0613253,1.370779633,66.0613253,1.352444529,66.0613253,1.1109652,66.0613253,1.495931839,,
66.47060241,1.243188747,66.47060241,1.311524084,66.47060241,1.35097965,66.47060241,1.339996197,66.47060241,1.113721175,66.47060241,1.466526081,,
66.87987952,1.253230995,66.87987952,1.298620829,66.87987952,1.340522913,66.87987952,1.351810135,66.87987952,1.135283796,66.87987952,1.461271676,,
67.28915663,1.252714611,67.28915663,1.292788653,67.28915663,1.340845394,67.28915663,1.376835994,67.28915663,1.158019225,67.28915663,1.47515138,,
67.69843373,1.24330366,67.69843373,1.286971104,67.69843373,1.338580789,67.69843373,1.393427206,67.69843373,1.157865131,67.69843373,1.494569855,,
68.10771084,1.230108885,68.10771084,1.270525237,68.10771084,1.324440981,68.10771084,1.39258533,68.10771084,1.137626651,68.10771084,1.503460692,,
68.51698795,1.209582031,68.51698795,1.242544765,68.51698795,1.29734088,68.51698795,1.37577441,68.51698795,1.114490987,68.51698795,1.491052513,,
68.92626506,1.188285324,68.92626506,1.214915107,68.92626506,1.262319182,68.92626506,1.348956232,68.92626506,1.099695347,68.92626506,1.468653852,,
69.33554217,1.178797266,69.33554217,1.198280098,69.33554217,1.241078017,69.33554217,1.3200586,69.33554217,1.090445994,69.33554217,1.457923621,,
69.74481928,1.181882951,69.74481928,1.190741477,69.74481928,1.248274479,69.74481928,1.30112682,69.74481928,1.075030777,69.74481928,1.463268704,,
