Index,Text,X,S1,X,S2,X,S3,X,S4,X,S5,X,S6
0,60.057,,,60.057,13.50500011,60.031,58.51699829,60.033,88.63999939,60.038,88.82800293,60.032,61.23799896
1,60.07,,,60.07,13.49699974,60.048,58.5019989,60.049,88.56300354,60.051,88.76200104,60.047,61.17900085
2,60.085,,,60.085,13.48700047,60.064,58.44100189,60.061,88.4980011,60.066,88.73999786,60.062,61.15599823
3,60.101,,,60.101,13.48099995,60.08,58.36700058,60.078,88.4980011,60.081,88.70400238,60.076,61.10800171
4,60.117,,,60.117,13.47099972,60.09,58.30699921,60.092,88.43099976,60.096,88.65499878,60.092,61.03300095
5,60.129,,,60.129,13.48700047,60.104,58.30099869,60.107,88.38600159,60.112,88.58499908,60.108,61.02899933
6,60.144,,,60.144,13.52099991,60.123,58.29800034,60.122,88.31400299,60.127,88.54000092,60.121,60.94900131
7,60.158,,,60.158,13.43599987,60.136,58.24200058,60.138,88.26999664,60.14,88.43699646,60.138,60.93600082
8,60.172,,,60.172,13.45699978,60.152,58.24300003,60.15,88.23400116,60.155,88.39900208,60.152,60.85699844
9,60.188,,,60.188,13.44200039,60.161,58.24000168,60.166,88.18099976,60.169,88.33499908,60.167,60.83499908
10,60.203,,,60.203,13.40400028,60.176,58.13199997,60.182,88.11599731,60.185,88.28199768,60.183,60.81800079
11,60.217,,,60.217,13.42199993,60.19,58.11500168,60.195,88.06300354,60.199,88.29199982,60.197,60.7140007
12,60.232,,,60.232,13.41699982,60.206,58.05799866,60.209,87.96800232,60.212,88.13200378,60.212,60.72999954
13,60.245,,,60.245,13.38700008,60.219,58.04000092,60.224,87.92900085,60.228,88.11000061,60.226,60.6570015
14,60.261,,,60.261,13.43200016,60.235,57.99100113,60.239,87.81900024,60.242,88.07900238,60.242,60.62799835
15,60.276,,,60.276,13.37300014,60.248,57.99499893,60.254,87.74299622,60.258,88.00099945,60.256,60.58399963
16,60.291,,,60.291,13.35000038,60.263,57.89300156,60.27,87.76000214,60.275,87.92099762,60.271,60.57300186
17,60.305,,,60.305,13.32199955,60.278,57.89300156,60.283,87.72399902,60.291,87.91500092,60.286,60.47800064
18,60.319,,,60.319,13.35700035,60.292,57.84500122,60.298,87.63600159,60.305,87.93199921,60.303,60.44100189
19,60.332,,,60.332,13.33699989,60.309,57.81900024,60.313,87.60399628,60.32,87.72399902,60.316,60.38000107
20,60.347,,,60.347,13.33300018,60.324,57.75999832,60.328,87.51799774,60.334,87.75800323,60.329,60.36000061
21,60.363,,,60.363,13.29100037,60.339,57.71699905,60.343,87.44000244,60.347,87.69000244,60.342,60.28099823
22,60.378,,,60.378,13.25699997,60.351,57.62200165,60.358,87.44499969,60.362,87.65299988,60.358,60.27500153
23,60.39,,,60.39,13.25399971,60.365,57.64400101,60.371,87.39299774,60.375,87.64299774,60.374,60.23400116
24,60.406,,,60.406,13.21800041,60.379,57.62400055,60.386,87.35600281,60.39,87.57299805,60.387,60.18899918
25,60.422,,,60.422,13.23600006,60.393,57.5530014,60.402,87.26699829,60.406,87.45899963,60.403,60.11700058
