Index,Text,X,S1,X,S2,X,S3,X,S4,X,S5,X,S6,,,,,,,
29,71.71,71.71,29.52925873,71.8,27.00694275,71.85,29.51247406,71.89,37.05348206,71.93,28.26123428,71.97,36.25238419,,1.050788705,1.106279545,1.758254659,1.300482318,0.901668705,1.279674886
30,72.15,72.15,29.0669117,72.26,26.52017975,72.3,28.73884201,72.33,36.48126984,72.36,27.86450005,72.38,35.68932724,,1.183505171,0.949036195,1.644995146,1.142566976,1.086742122,1.663608098
31,72.56,72.56,28.58167458,72.65,26.13107491,72.67,28.064394,72.69,36.01281738,72.75,27.41893578,72.79,35.00724792,,1.277400429,1.678494057,2.432725086,1.569497229,1.1160878,1.8659646
32,72.91,72.91,28.13458443,73.06,25.54360199,73.12,27.21294022,73.17,35.46349335,73.19,27.02830505,73.18,34.35416031,,1.083089804,0.975380686,1.540864686,1.065138275,0.924518059,1.475038725
33,73.42,73.42,27.58220863,73.51,25.04615784,73.55,26.42709923,73.57,34.92027283,73.6,26.55680084,73.63,33.60189056,,1.196449455,1.078531955,2.056498955,1.352509591,1.144426523,1.789465818
34,73.86,73.86,27.05577087,73.97,24.57160378,74.02,25.52223969,74.06,34.32516861,74.09,26.05325317,74.11,32.8145256,,1.173487143,1.249790214,1.663957333,1.264317833,1.079027976,1.70029231
35,74.28,74.28,26.56290627,74.39,24.04669189,74.44,24.82337761,74.47,33.79415512,74.52,25.60006142,74.55,32.10040283,,0.993533667,0.925712578,1.414006556,1.095258933,0.908758378,1.210547556
36,74.73,74.73,26.11581612,74.82,23.63012123,74.87,24.18707466,74.89,33.3012886,74.93,25.19112015,74.95,31.55565643,,1.161766068,1.418395477,1.401051614,1.328225568,0.967563295,1.473881977
37,75.17,75.17,25.60463905,75.26,23.00602722,75.32,23.57061195,75.36,32.71686935,75.4,24.7653923,75.43,30.90714836,,1.191656929,1.329712643,0.824714833,1.086298619,1.071761905,1.326079595
38,75.59,75.59,25.10414314,75.69,22.44754791,75.73,23.22423172,75.77,32.26062393,75.82,24.3152523,75.85,30.35019493,,0.830769,1.152907467,0.688353644,1.207156711,1.071523022,1.088477244
39,76.04,76.04,24.73029709,76.11,21.92873955,76.15,22.91447258,76.19,31.71740341,76.23,23.83306694,76.27,29.86038017,,1.018374891,1.310282174,0.978565217,1.1377915,0.825977326,1.353408978
