Test Report 


Serial Number: A-AB2
Build Config: G.02
ESP Firmware Version: 1.3.0-d
STM Firmware Version: B0.2.4s
Technician ID: jw
Mac Address: 78:21:84:43:e4:8c
Hardware ID: 265b56b2-48cf-5e81-8c34-dd8ceaba982f
Board Version: 5.5


System Fluorimeter Test:

Lowering lifter...
Heating PCR to 30°C...
Blue LED Stabilized

Ch415,Ch445,Ch480,Ch515,Ch555,Ch590,Ch630,Ch680
11,184,100,4,8,21,16,18
11,183,100,4,8,21,16,18
10,183,99,4,8,21,16,18
10,182,99,4,8,21,16,18
10,183,99,4,8,21,16,18
11,183,99,4,8,21,16,18
10,182,99,4,8,21,16,18
10,182,99,4,8,21,16,18
10,181,99,4,8,21,15,18
10,182,99,4,8,21,16,18
10,181,99,4,8,21,16,18
10,181,98,4,8,21,15,18
10,181,98,4,8,21,15,18
10,181,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,181,98,4,8,21,16,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,180,98,4,8,21,15,18
10,181,98,4,8,21,15,18
10,181,99,4,8,21,16,18
10,180,98,4,8,21,15,18
10,181,98,4,8,21,16,18

Passed test

Comments:
